😀	笑脸
👨🏽‍⚖️	男评委 ： 中等 肤色
👨🏽‍⚖	男评委 ： 中等 肤色
👨🏾‍⚖️	男 法官 ： 中黑 肤色
👨🏾‍⚖	男 法官 ： 中黑 肤色
👨🏿‍⚖️	男 法官 ： 深色 肤色
👨🏿‍⚖	男 法官 ： 深色 肤色
👩‍⚖️	女 法官
👩‍⚖	女 法官
👩🏻‍⚖️	女 法官 ： 浅肤色
👩🏻‍⚖	女 法官 ： 浅肤色
👩🏼‍⚖️	女 评委 ： 中浅 肤色
👩🏼‍⚖	女 评委 ： 中浅 肤色
👩🏽‍⚖️	女 法官 ： 中等 肤色
👩🏽‍⚖	女 法官 ： 中等 肤色
👩🏾‍⚖️	女 法官 ： 中黑 肤色
👩🏾‍⚖	女 法官 ： 中黑 肤色
👩🏿‍⚖️	女 法官 ： 深色 肤色
👩🏿‍⚖	女 法官 ： 深色 肤色
👨‍🌾	男 农民
👨🏻‍🌾	男 农民 ： 浅肤色
👨🏼‍🌾	男 农民 ： 中浅 肤色
👨🏽‍🌾	男 农民 ： 中等 肤色
👨🏾‍🌾	男 农民 ： 中黑 肤色
👨🏿‍🌾	男 农民 ： 深色 肤色
👩‍🌾	女 农民
👩🏻‍🌾	女 农民 ： 浅肤色
👩🏼‍🌾	女 农民 ： 中浅 肤色
👩🏽‍🌾	女 农民 ： 中等 肤色
👩🏾‍🌾	女 农民 ： 中黑 肤色
👩🏿‍🌾	女 农民 ： 深色 肤色
👨‍🍳	男 厨师
👨🏻‍🍳	男 厨师 ： 浅肤色
👨🏼‍🍳	男 厨师 ： 中浅 肤色
👨🏽‍🍳	男 厨师 ： 中等 肤色
👨🏾‍🍳	男 厨师 ： 中 深 肤色
👨🏿‍🍳	男 厨师 ： 深色 肤色
👩‍🍳	女 厨师
👩🏻‍🍳	女 厨师 ： 浅肤色
👩🏼‍🍳	女 厨师 ： 中浅 肤色
👩🏽‍🍳	女 厨师 ： 中等 肤色
👩🏾‍🍳	女 厨师 ： 中黑 肤色
👩🏿‍🍳	女 厨师 ： 深色 肤色
👨‍🔧	男 机械师
👨🏻‍🔧	男 机械师 ： 浅肤色
👨🏼‍🔧	男 机械师 ： 中浅 肤色
👨🏽‍🔧	男 机械师 ： 中等 肤色
👨🏾‍🔧	男 机械师 ： 中 深 肤色
👨🏿‍🔧	男 机械师 ： 深色 肤色
👩‍🔧	女 机械师
👩🏻‍🔧	女 机械师 ： 浅肤色
👩🏼‍🔧	女 机械师 ： 中浅 肤色
👩🏽‍🔧	女 机械师 ： 中等 肤色
👩🏾‍🔧	女 机械师 ： 中黑 肤色
👩🏿‍🔧	女 机械师 ： 深色 肤色
👨‍🏭	男工厂 工人
👨🏻‍🏭	男工厂 工人 ： 浅肤色
👨🏼‍🏭	男工厂 工人 ： 中浅 肤色
👨🏽‍🏭	男工厂 工人 ： 中等 肤色
👨🏾‍🏭	男工厂 工人 ： 中黑 肤色
👨🏿‍🏭	男工厂 工人 ： 深色 肤色
👩‍🏭	女 工厂 工人
👩🏻‍🏭	女 工厂 工人 ： 浅肤色
👩🏼‍🏭	工厂 女工 ： 中浅 肤色
👩🏽‍🏭	女 工厂 工人 ： 中等 肤色
👩🏾‍🏭	女 工厂 工人 ： 中黑 肤色
👩🏿‍🏭	女 工厂 工人 ： 深色 肤色
👨‍💼	男性 办公室 职员
👨🏻‍💼	男性 办公室 职员 ： 浅肤色
👨🏼‍💼	男性 办公室 职员 ： 中浅 肤色
👨🏽‍💼	男性 办公室 职员 ： 中等 肤色
👨🏾‍💼	男性 办公室 职员 ： 中黑 肤色
👨🏿‍💼	男性 办公室 职员 ： 深色 肤色
👩‍💼	女 办公室 职员
👩🏻‍💼	女 上班族 ： 浅肤色
👩🏼‍💼	女 上班族 ： 中浅 肤色
👩🏽‍💼	女 上班族 ： 中等 肤色
👩🏾‍💼	女 上班族 ： 中黑 肤色
👩🏿‍💼	女 上班族 ： 深色 肤色
👨‍🔬	人类 科学家
👨🏻‍🔬	男 科学家 ： 浅 肤色
👨🏼‍🔬	男 科学家 ： 中浅 肤色
👨🏽‍🔬	男 科学家 ： 中等 肤色
👨🏾‍🔬	男 科学家 ： 中 黑 肤色
👨🏿‍🔬	男 科学家 ： 深色 肤色
👩‍🔬	女 科学家
👩🏻‍🔬	女 科学家 ： 浅 肤色
👩🏼‍🔬	女 科学家 ： 中浅 肤色
👩🏽‍🔬	女 科学家 ： 中等 肤色
👩🏾‍🔬	女 科学家 ： 中 黑 肤色
👩🏿‍🔬	女 科学家 ： 深色 肤色
👨‍💻	男 技术 专家
👨🏻‍💻	男 技术员 ： 浅肤色
👨🏼‍💻	男 技术员 ： 中浅 肤色
👨🏽‍💻	男 技术员 ： 中等 肤色
👨🏾‍💻	男 技术员 ： 中 深 肤色
👨🏿‍💻	男 技术员 ： 深色 肤色
👩‍💻	女 技术员
👩🏻‍💻	女 技术员 ： 浅肤色
👩🏼‍💻	女 技术员 ： 中浅 肤色
👩🏽‍💻	女 技术员 ： 中等 肤色
👩🏾‍💻	女 技术员 ： 中黑 肤色
👩🏿‍💻	女 技术员 ： 深色 肤色
👨‍🎤	男 歌手
👨🏻‍🎤	男 歌手 ： 浅肤色
👨🏼‍🎤	男 歌手 ： 中浅 肤色
👨🏽‍🎤	男 歌手 ： 中等 肤色
👨🏾‍🎤	男 歌手 ： 中黑 肤色
👨🏿‍🎤	男 歌手 ： 深色 肤色
👩‍🎤	女 歌手
👩🏻‍🎤	女 歌手 ： 浅肤色
👩🏼‍🎤	女 歌手 ： 中浅 肤色
👩🏽‍🎤	女 歌手 ： 中等 肤色
👩🏾‍🎤	女 歌手 ： 中黑 肤色
👩🏿‍🎤	女 歌手 ： 深色 肤色
👨‍🎨	男 艺术家
👨🏻‍🎨	男 艺术家 ： 浅 肤色
👨🏼‍🎨	男 艺术家 ： 中浅 肤色
👨🏽‍🎨	男 艺术家 ： 中等 肤色
👨🏾‍🎨	男 艺术家 ： 中 黑 肤色
👨🏿‍🎨	男 艺术家 ： 深色 肤色
👩‍🎨	女 艺术家
👩🏻‍🎨	女 艺术家 ： 浅 肤色
👩🏼‍🎨	女 艺术家 ： 中浅 肤色
👩🏽‍🎨	女 艺术家 ： 中等 肤色
👩🏾‍🎨	女 艺术家 ： 中 黑 肤色
👩🏿‍🎨	女 艺术家 ： 深色 肤色
👨‍✈️	男 飞行员
👨‍✈	男 飞行员
👨🏻‍✈️	男 飞行员 ： 浅肤色
👨🏻‍✈	男 飞行员 ： 浅肤色
👨🏼‍✈️	男 飞行员 ： 中浅 肤色
👨🏼‍✈	男 飞行员 ： 中浅 肤色
👨🏽‍✈️	男 飞行员 ： 中等 肤色
👨🏽‍✈	男 飞行员 ： 中等 肤色
👨🏾‍✈️	男 飞行员 ： 中黑 肤色
👨🏾‍✈	男 飞行员 ： 中黑 肤色
👨🏿‍✈️	男 飞行员 ： 深色 肤色
👨🏿‍✈	男 飞行员 ： 深色 肤色
👩‍✈️	女 飞行员
👩‍✈	女 飞行员
👩🏻‍✈️	女 飞行员 ： 浅肤色
👩🏻‍✈	女 飞行员 ： 浅肤色
👩🏼‍✈️	女 飞行员 ： 中浅 肤色
👩🏼‍✈	女 飞行员 ： 中浅 肤色
👩🏽‍✈️	女 飞行员 ： 中等 肤色
👩🏽‍✈	女 飞行员 ： 中等 肤色
👩🏾‍✈️	女 飞行员 ： 中黑 肤色
👩🏾‍✈	女 飞行员 ： 中黑 肤色
👩🏿‍✈️	女 飞行员 ： 深色 肤色
👩🏿‍✈	女 飞行员 ： 深色 肤色
👨‍🚀	男宇 航员
👨🏻‍🚀	男宇 航员 ： 浅肤色
👨🏼‍🚀	男宇 航员 ： 中浅 肤色
👨🏽‍🚀	男宇 航员 ： 中等 肤色
👨🏾‍🚀	男宇 航员 ： 中 深 肤色
👨🏿‍🚀	男宇 航员 ： 深色 肤色
👩‍🚀	女 宇航员
👩🏻‍🚀	女 宇航员 ： 浅肤色
👩🏼‍🚀	女 宇航员 ： 中浅 肤色
👩🏽‍🚀	女 宇航员 ： 中等 肤色
👩🏾‍🚀	女 宇航员 ： 中黑 肤色
👩🏿‍🚀	女 宇航员 ： 深色 肤色
👨‍🚒	男 消防员
👨🏻‍🚒	男 消防员 ： 浅肤色
👨🏼‍🚒	男 消防员 ： 中浅 肤色
👨🏽‍🚒	男 消防员 ： 中等 肤色
👨🏾‍🚒	男 消防员 ： 中黑 肤色
👨🏿‍🚒	男 消防员 ： 深色 肤色
👩‍🚒	女 消防员
👩🏻‍🚒	女 消防员 ： 浅肤色
👩🏼‍🚒	女 消防员 ： 中浅 肤色
👩🏽‍🚒	女 消防员 ： 中等 肤色
👩🏾‍🚒	女 消防员 ： 中黑 肤色
👩🏿‍🚒	女 消防员 ： 深色 肤色
👮	警官
👮🏻	警官 ： 浅肤色
👮🏼	警官 ： 中浅 肤色
👮🏽	警官 ： 中等 肤色
👮🏾	警官 ： 中黑 肤色
👮🏿	警官 ： 深色 肤色
👮‍♂️	男 警察
👮‍♂	男 警察
👮🏻‍♂️	男 警官 ： 浅肤色
👮🏻‍♂	男 警官 ： 浅肤色
👮🏼‍♂️	男 警官 ： 中浅 肤色
👮🏼‍♂	男 警官 ： 中浅 肤色
👮🏽‍♂️	男 警官 ： 中等 肤色
👮🏽‍♂	男 警官 ： 中等 肤色
👮🏾‍♂️	男 警官 ： 中黑 肤色
👮🏾‍♂	男 警官 ： 中黑 肤色
👮🏿‍♂️	男 警官 ： 深色 肤色
👮🏿‍♂	男 警官 ： 深色 肤色
👮‍♀️	女 警察
👮‍♀	女 警察
👮🏻‍♀️	女 警官 ： 浅肤色
👮🏻‍♀	女 警官 ： 浅肤色
👮🏼‍♀️	女 警官 ： 中浅 肤色
👮🏼‍♀	女 警官 ： 中浅 肤色
👮🏽‍♀️	女 警官 ： 中等 肤色
👮🏽‍♀	女 警官 ： 中等 肤色
👮🏾‍♀️	女 警官 ： 中黑 肤色
👮🏾‍♀	女 警官 ： 中黑 肤色
👮🏿‍♀️	女 警官 ： 深色 肤色
👮🏿‍♀	女 警官 ： 深色 肤色
🕵️	侦探
🕵	侦探
🕵🏻	侦探 ： 浅肤色
🕵🏼	侦探 ： 中浅 肤色
🕵🏽	侦探 ： 中等 肤色
🕵🏾	侦探 ： 中黑 肤色
🕵🏿	侦探 ： 深色 肤色
🕵️‍♂️	男 侦探
🕵‍♂️	男 侦探
🕵️‍♂	男 侦探
🕵‍♂	男 侦探
🕵🏻‍♂️	男 侦探 ： 浅肤色
🕵🏻‍♂	男 侦探 ： 浅肤色
🕵🏼‍♂️	男 侦探 ： 中浅 肤色
🕵🏼‍♂	男 侦探 ： 中浅 肤色
🕵🏽‍♂️	男 侦探 ： 中等 肤色
🕵🏽‍♂	男 侦探 ： 中等 肤色
🕵🏾‍♂️	男 侦探 ： 中黑 肤色
🕵🏾‍♂	男 侦探 ： 中黑 肤色
🕵🏿‍♂️	男 侦探 ： 深色 肤色
🕵🏿‍♂	男 侦探 ： 深色 肤色
🕵️‍♀️	女 侦探
🕵‍♀️	女 侦探
🕵️‍♀	女 侦探
🕵‍♀	女 侦探
🕵🏻‍♀️	女 侦探 ： 浅肤色
🕵🏻‍♀	女 侦探 ： 浅肤色
🕵🏼‍♀️	女 侦探 ： 中浅 肤色
🕵🏼‍♀	女 侦探 ： 中浅 肤色
🕵🏽‍♀️	女 侦探 ： 中等 肤色
🕵🏽‍♀	女 侦探 ： 中等 肤色
🕵🏾‍♀️	女 侦探 ： 中黑 肤色
🕵🏾‍♀	女 侦探 ： 中黑 肤色
🕵🏿‍♀️	女 侦探 ： 深色 肤色
🕵🏿‍♀	女 侦探 ： 深色 肤色
💂	警卫
💂🏻	后卫 ： 浅肤色
💂🏼	后卫 ： 中浅 肤色
💂🏽	后卫 ： 中等 肤色
💂🏾	警卫 ： 中黑 肤色
💂🏿	警卫 ： 深色 肤色
💂‍♂️	男子 警卫
💂‍♂	男子 警卫
💂🏻‍♂️	男 警卫 ： 浅肤色
💂🏻‍♂	男 后卫 ： 浅肤色
💂🏼‍♂️	男 警卫 ： 中浅 肤色
💂🏼‍♂	男 警卫 ： 中浅 肤色
💂🏽‍♂️	男 后卫 ： 中等 肤色
💂🏽‍♂	男 后卫 ： 中等 肤色
💂🏾‍♂️	男 警卫 ： 中黑 肤色
💂🏾‍♂	男 警卫 ： 中黑 肤色
💂🏿‍♂️	男 警卫 ： 深色 肤色
💂🏿‍♂	男 警卫 ： 深色 肤色
💂‍♀️	女 警卫
💂‍♀	女 警卫
💂🏻‍♀️	女 守卫 ： 浅肤色
💂🏻‍♀	女 守卫 ： 浅肤色
💂🏼‍♀️	女 守卫 ： 中浅 肤色
💂🏼‍♀	女 守卫 ： 中浅 肤色
💂🏽‍♀️	女 守卫 ： 中等 肤色
💂🏽‍♀	女 守卫 ： 中等 肤色
💂🏾‍♀️	女 守卫 ： 中黑 肤色
💂🏾‍♀	女 守卫 ： 中黑 肤色
💂🏿‍♀️	女 守卫 ： 深色 肤色
💂🏿‍♀	女 守卫 ： 深色 肤色
👷	建筑 工人
👷🏻	建筑 工人 ： 浅肤色
👷🏼	建筑 工人 ： 中浅 肤色
👷🏽	建筑 工人 ： 中等 肤色
👷🏾	建筑 工人 ： 中黑 肤色
👷🏿	建筑 工人 ： 深色 肤色
👷‍♂️	男 建筑 工人
👷‍♂	男 建筑 工人
👷🏻‍♂️	男 建筑 工人 ： 浅肤色
👷🏻‍♂	男 建筑 工人 ： 浅肤色
👷🏼‍♂️	男 建筑 工人 ： 中浅 肤色
👷🏼‍♂	男 建筑 工人 ： 中浅 肤色
👷🏽‍♂️	男 建筑 工人 ： 中等 肤色
👷🏽‍♂	男 建筑 工人 ： 中等 肤色
👷🏾‍♂️	男 建筑 工人 ： 中黑 肤色
👷🏾‍♂	男 建筑 工人 ： 中黑 肤色
👷🏿‍♂️	男 建筑 工人 ： 深色 肤色
👷🏿‍♂	男 建筑 工人 ： 深色 肤色
👷‍♀️	女 建筑 工人
👷‍♀	女 建筑 工人
👷🏻‍♀️	女 建筑 工人 ： 浅肤色
👷🏻‍♀	女 建筑 工人 ： 浅肤色
👷🏼‍♀️	女 建筑 工人 ： 中浅 肤色
👷🏼‍♀	女 建筑 工人 ： 中浅 肤色
👷🏽‍♀️	女 建筑 工人 ： 中等 肤色
👷🏽‍♀	女 建筑 工人 ： 中等 肤色
👷🏾‍♀️	女 建筑 工人 ： 中黑 肤色
👷🏾‍♀	女 建筑 工人 ： 中黑 肤色
👷🏿‍♀️	女 建筑 工人 ： 深色 肤色
👷🏿‍♀	女 建筑 工人 ： 深色 肤色
🤴	王子
🤴🏻	王子 ： 浅肤色
🤴🏼	王子 ： 中浅 肤色
🤴🏽	王子 ： 中等 肤色
🤴🏾	王子 ： 中黑 肤色
🤴🏿	王子 ： 深色 肤色
👸	公主
👸🏻	公主 ： 浅肤色
👸🏼	公主 ： 中浅 肤色
👸🏽	公主 ： 中等 肤色
👸🏾	公主 ： 中黑 肤色
👸🏿	公主 ： 深色 肤色
👳	戴头巾 的 人
👳🏻	戴头巾 的 人 ： 浅肤色
👳🏼	戴头巾 的 人 ： 中浅 肤色
👳🏽	戴头巾 的 人 ： 中等 肤色
👳🏾	戴头巾 的 人 ： 中黑 肤色
👳🏿	戴头巾 的 人 ： 深色 肤色
👳‍♂️	戴头巾 的 男人
👳‍♂	戴头巾 的 男人
👳🏻‍♂️	戴头巾 的 男人 ： 浅肤色
👳🏻‍♂	戴头巾 的 男人 ： 浅肤色
👳🏼‍♂️	戴头巾 的 男人 ： 中浅 肤色
👳🏼‍♂	戴头巾 的 男人 ： 中浅 肤色
👳🏽‍♂️	戴头巾 的 男人 ： 中等 肤色
👳🏽‍♂	戴头巾 的 男人 ： 中等 肤色
👳🏾‍♂️	戴头巾 的 男人 ： 中黑 肤色
👳🏾‍♂	戴头巾 的 男人 ： 中黑 肤色
👳🏿‍♂️	戴头巾 的 男人 ： 深色 肤色
👳🏿‍♂	戴头巾 的 男人 ： 深色 肤色
👳‍♀️	戴头巾 的 女人
👳‍♀	戴头巾 的 女人
👳🏻‍♀️	戴头巾 的 女人 ： 浅肤色
👳🏻‍♀	戴头巾 的 女人 ： 浅肤色
👳🏼‍♀️	戴头巾 的 女人 ： 中浅 肤色
👳🏼‍♀	戴头巾 的 女人 ： 中浅 肤色
👳🏽‍♀️	戴头巾 的 女人 ： 中等 肤色
👳🏽‍♀	戴头巾 的 女人 ： 中等 肤色
👳🏾‍♀️	戴头巾 的 女人 ： 中黑 肤色
👳🏾‍♀	戴头巾 的 女人 ： 中黑 肤色
👳🏿‍♀️	戴头巾 的 女人 ： 深色 肤色
👳🏿‍♀	戴头巾 的 女人 ： 深色 肤色
👲	戴 中国 帽 的 男人
👲🏻	戴 中国 帽 的 男人 ： 浅肤色
👲🏼	戴 中国 帽 的 男人 ： 中浅 肤色
👲🏽	戴 中国 帽 的 男人 ： 中等 肤色
👲🏾	戴 中国 帽 的 男人 : 中 黑 肤色
👲🏿	戴 中国 帽 的 男人 ： 深色 肤色
🧕	戴头巾 的 女人
🧕🏻	戴头巾 的 女人 ： 浅肤色
🧕🏼	戴头巾 的 女人 ： 中浅 肤色
🧕🏽	戴头巾 的 女人 ： 中等 肤色
🧕🏾	戴头巾 的 女人 ： 中黑 肤色
🧕🏿	戴头巾 的 女人 ： 深色 肤色
🧔	有 胡子 的 人
🧔🏻	有 胡子 的 人 ： 浅肤色
🧔🏼	有 胡子 的 人 ： 中浅 肤色
🧔🏽	有 胡子 的 人 ： 中等 肤色
🧔🏾	有 胡子 的 人 ： 中黑 肤色
🧔🏿	有 胡子 的 人 ： 深色 肤色
👱	金发人
👱🏻	金发人 ： 浅肤色
👱🏼	金发人 ： 中浅 肤色
👱🏽	金发人 ： 中等 肤色
👱🏾	金发人 ： 中黑 肤色
👱🏿	金发人 ： 深色 肤色
👱‍♂️	金发 男子
👱‍♂	金发 男子
👱🏻‍♂️	金发男 ： 浅肤色
👱🏻‍♂	金发男 ： 浅肤色
👱🏼‍♂️	金发男 ： 中浅 肤色
👱🏼‍♂	金发男 ： 中浅 肤色
👱🏽‍♂️	金发男 ： 中等 肤色
👱🏽‍♂	金发男 ： 中等 肤色
👱🏾‍♂️	金发男 ： 中黑 肤色
👱🏾‍♂	金发男 ： 中黑 肤色
👱🏿‍♂️	金发男 ： 深色 肤色
👱🏿‍♂	金发男 ： 深色 肤色
👱‍♀️	金发 女人
👱‍♀	金发 女人
👱🏻‍♀️	金发 女人 ： 浅肤色
👱🏻‍♀	金发 女人 ： 浅肤色
👱🏼‍♀️	金发 女人 ： 中浅 肤色
👱🏼‍♀	金发 女人 ： 中浅 肤色
👱🏽‍♀️	金发 女人 ： 中等 肤色
👱🏽‍♀	金发 女人 ： 中等 肤色
👱🏾‍♀️	金发 女人 ： 中黑 肤色
👱🏾‍♀	金发 女人 ： 中黑 肤色
👱🏿‍♀️	金发 女人 ： 深色 肤色
👱🏿‍♀	金发 女人 ： 深色 肤色
👨‍🦰	男人 ， 红头发
👨🏻‍🦰	男 ， 红发 ： 浅肤色
👨🏼‍🦰	男 ， 红发 ： 中浅 肤色
👨🏽‍🦰	男性 ， 红发 ： 中等 肤色
👨🏾‍🦰	男 ， 红发 ： 中黑 肤色
👨🏿‍🦰	男性 ， 红发 ： 深色 肤色
👩‍🦰	女人 ， 红头发
👩🏻‍🦰	女人 ， 红发 ： 浅肤色
👩🏼‍🦰	女人 ， 红发 ： 中浅 肤色
