😀	笑臉
🧒🏽	兒童 ： 中等 膚色
🧒🏾	兒童 ： 中 黑 膚色
🧒🏿	孩子 ： 深色 膚色
👦	男生
👦🏻	男孩 ： 淺 膚色
👦🏼	男孩 ： 中淺 膚色
👦🏽	男孩 ： 中等 膚色
👦🏾	男孩 ： 中 黑 膚色
👦🏿	男孩 ： 深色 膚色
👧	女孩
👧🏻	女孩 ： 淺 膚色
👧🏼	女孩 ： 中淺 膚色
👧🏽	女孩 ： 中等 膚色
👧🏾	女孩 ： 中 黑 膚色
👧🏿	女孩 ： 深色 膚色
🧑	成人
🧑🏻	成人 ： 淺膚色
🧑🏼	成人 ： 中淺 膚色
🧑🏽	成人 ： 中等 膚色
🧑🏾	成人 ： 中黑 膚色
🧑🏿	成人 ： 深色 膚色
👨	男人
👨🏻	男 ： 淺膚色
👨🏼	男 ： 中淺 膚色
👨🏽	男 ： 中等 膚色
👨🏾	男 ： 中黑 膚色
👨🏿	男 ： 深色 膚色
👩	女士
👩🏻	女 ： 淺膚色
👩🏼	女 ： 中淺 膚色
👩🏽	女性 ： 中等 膚色
👩🏾	女性 ： 中黑 膚色
👩🏿	女 ： 深色 膚色
🧓	老年人
🧓🏻	老年人 ： 淺膚色
🧓🏼	老年人 ： 中淺 膚色
🧓🏽	老年人 ： 中等 膚色
🧓🏾	老年人 ： 中黑 膚色
🧓🏿	老年人 ： 深色 膚色
👴	老人
👴🏻	老人 ： 淺膚色
👴🏼	老人 ： 中淺 膚色
👴🏽	老人 ： 中等 膚色
👴🏾	老人 ： 中黑 膚色
👴🏿	老人 ： 深色 膚色
👵	老婦人
👵🏻	老婦人 ： 淺膚色
👵🏼	老婦人 ： 中淺 膚色
👵🏽	老婦人 ： 中等 膚色
👵🏾	老婦人 ： 中黑 膚色
👵🏿	老婦人 ： 深色 膚色
👨‍⚕️	男保 健員
👨‍⚕	男保 健員
👨🏻‍⚕️	男保 健員 ： 淺 膚色
👨🏻‍⚕	男保 健員 ： 淺 膚色
👨🏼‍⚕️	男保 健員 ： 中淺 膚色
👨🏼‍⚕	男保 健員 ： 中淺 膚色
👨🏽‍⚕️	男保 健員 ： 中等 膚色
👨🏽‍⚕	男保 健員 ： 中等 膚色
👨🏾‍⚕️	男保 健員 ： 中 黑 膚色
👨🏾‍⚕	男保 健員 ： 中 黑 膚色
👨🏿‍⚕️	男保 健員 ： 深色 膚色
👨🏿‍⚕	男保 健員 ： 深色 膚色
👩‍⚕️	女 保健員
👩‍⚕	女 保健員
👩🏻‍⚕️	女 保健員 ： 淺 膚色
👩🏻‍⚕	女 保健員 ： 淺 膚色
👩🏼‍⚕️	女 保健員 ： 中淺 膚色
👩🏼‍⚕	女 保健員 ： 中淺 膚色
👩🏽‍⚕️	女 保健員 ： 中等 膚色
👩🏽‍⚕	女 保健員 ： 中等 膚色
👩🏾‍⚕️	女 保健員 ： 中 黑 膚色
👩🏾‍⚕	女 保健員 ： 中 黑 膚色
👩🏿‍⚕️	女 保健員 ： 深色 膚色
👩🏿‍⚕	女 保健員 ： 深色 膚色
👨‍🎓	男 學生
👨🏻‍🎓	男學生 ： 淺膚色
👨🏼‍🎓	男學生 ： 中淺 膚色
👨🏽‍🎓	男學生 ： 中等 膚色
👨🏾‍🎓	男學生 ： 中 黑 膚色
👨🏿‍🎓	男學生 ： 深色 膚色
👩‍🎓	女 學生
👩🏻‍🎓	女 學生 ： 淺膚色
👩🏼‍🎓	女 學生 ： 中淺 膚色
👩🏽‍🎓	女 學生 ： 中等 膚色
👩🏾‍🎓	女 學生 ： 中 黑 膚色
👩🏿‍🎓	女 學生 ： 深色 膚色
👨‍🏫	男 老師
👨🏻‍🏫	男 老師 ： 淺 膚色
👨🏼‍🏫	男 老師 ： 中淺 膚色
👨🏽‍🏫	男 老師 ： 中等 膚色
👨🏾‍🏫	男 老師 ： 中 黑 膚色
👨🏿‍🏫	男 老師 ： 深色 膚色
👩‍🏫	女 老師
👩🏻‍🏫	女 老師 ： 淺 膚色
👩🏼‍🏫	女 老師 ： 中淺 膚色
👩🏽‍🏫	女 老師 ： 中等 膚色
👩🏾‍🏫	女 老師 ： 中 黑 膚色
👩🏿‍🏫	女 老師 ： 深色 膚色
👨‍⚖️	男 法官
👨‍⚖	男 法官
👨🏻‍⚖️	男 評審 ： 淺 膚色
👨🏻‍⚖	男 評審 ： 淺 膚色
👨🏼‍⚖️	男 評審 ： 中淺 膚色
👨🏼‍⚖	男 評審 ： 中淺 膚色
👨🏽‍⚖️	男 評審 ： 中等 膚色
👨🏽‍⚖	男 評審 ： 中等 膚色
👨🏾‍⚖️	男 法官 ： 中 黑 膚色
👨🏾‍⚖	男 法官 ： 中 黑 膚色
👨🏿‍⚖️	男 法官 ： 深色 膚色
👨🏿‍⚖	男 法官 ： 深色 膚色
👩‍⚖️	女 法官
👩‍⚖	女 法官
👩🏻‍⚖️	女 法官 ： 淺 膚色
👩🏻‍⚖	女 法官 ： 淺 膚色
👩🏼‍⚖️	女 評審 ： 中淺 膚色
👩🏼‍⚖	女 評審 ： 中淺 膚色
👩🏽‍⚖️	女 法官 ： 中等 膚色
👩🏽‍⚖	女 法官 ： 中等 膚色
👩🏾‍⚖️	女 法官 ： 中 黑 膚色
👩🏾‍⚖	女 法官 ： 中 黑 膚色
👩🏿‍⚖️	女 法官 ： 深色 膚色
👩🏿‍⚖	女 法官 ： 深色 膚色
👨‍🌾	男 農民
👨🏻‍🌾	男農 ： 淺 膚色
👨🏼‍🌾	男農 ： 中淺 膚色
👨🏽‍🌾	男 農民 ： 中等 膚色
👨🏾‍🌾	男農 ： 中 黑 膚色
👨🏿‍🌾	男農 ： 深色 膚色
👩‍🌾	女 農民
👩🏻‍🌾	女農 ： 淺 膚色
👩🏼‍🌾	女農 ： 中淺 膚色
👩🏽‍🌾	女農 ： 中等 膚色
👩🏾‍🌾	女農 ： 中 黑 膚色
👩🏿‍🌾	女農 ： 深色 膚色
👨‍🍳	男廚 師
👨🏻‍🍳	男 廚師 ： 淺 膚色
👨🏼‍🍳	男 廚師 ： 中淺 膚色
👨🏽‍🍳	男 廚師 ： 中等 膚色
👨🏾‍🍳	男 主廚 ： 中 深 膚色
👨🏿‍🍳	男 廚師 ： 深色 膚色
👩‍🍳	女 廚師
👩🏻‍🍳	女 廚師 ： 淺 膚色
👩🏼‍🍳	女 廚師 ： 中淺 膚色
👩🏽‍🍳	女 廚師 ： 中等 膚色
👩🏾‍🍳	女 廚師 ： 中 黑 膚色
👩🏿‍🍳	女 廚師 ： 深色 膚色
👨‍🔧	男機 械師
👨🏻‍🔧	男機 械師 ： 淺 膚色
👨🏼‍🔧	男機 械師 ： 中淺 膚色
👨🏽‍🔧	男機 械師 ： 中等 膚色
👨🏾‍🔧	男機 械師 ： 中 深 膚色
👨🏿‍🔧	男機 械師 ： 深色 膚色
👩‍🔧	女性 機械 師
👩🏻‍🔧	女機 械師 ： 淺 膚色
👩🏼‍🔧	女機 械師 ： 中淺 膚色
👩🏽‍🔧	女機 械師 ： 中等 膚色
👩🏾‍🔧	女機 械師 ： 中 黑 膚色
👩🏿‍🔧	女機 械師 ： 深色 膚色
👨‍🏭	男工 廠 工人
👨🏻‍🏭	男工 廠 工人 ： 淺膚色
👨🏼‍🏭	男工 廠 工人 ： 中淺 膚色
👨🏽‍🏭	男工 廠 工人 ： 中等 膚色
👨🏾‍🏭	男工 廠 工人 ： 中黑 膚色
👨🏿‍🏭	男工 廠 工人 ： 深色 膚色
👩‍🏭	女工 廠 工人
👩🏻‍🏭	女工 廠 工人 ： 淺膚色
👩🏼‍🏭	工廠 女工 ： 中淺 膚色
👩🏽‍🏭	女工 廠 工人 ： 中等 膚色
👩🏾‍🏭	女工 廠 工人 ： 中黑 膚色
👩🏿‍🏭	女工 廠 工人 ： 深色 膚色
👨‍💼	男性 辦公室 職員
👨🏻‍💼	男性 辦公室 職員 ： 淺 膚色
👨🏼‍💼	男性 辦公室 職員 ： 中淺 膚色
👨🏽‍💼	男性 辦公室 職員 ： 中等 膚色
👨🏾‍💼	男性 辦公室 職員 ： 中 黑 膚色
👨🏿‍💼	男性 辦公室 職員 ： 深色 膚色
👩‍💼	女辦 公室 職員
👩🏻‍💼	女 上班族 ： 淺膚色
👩🏼‍💼	女 上班族 ： 中淺 膚色
👩🏽‍💼	女 上班族 ： 中等 膚色
👩🏾‍💼	女 上班族 ： 中黑 膚色
👩🏿‍💼	女 上班族 ： 深色 膚色
👨‍🔬	人 類科 學家
👨🏻‍🔬	男科 學家 ： 淺 膚色
👨🏼‍🔬	男科 學家 ： 中淺 膚色
👨🏽‍🔬	男科 學家 ： 中等 膚色
👨🏾‍🔬	男科 學家 ： 中 黑 膚色
👨🏿‍🔬	男科 學家 ： 深色 膚色
👩‍🔬	女科 學家
👩🏻‍🔬	女科 學家 ： 淺 膚色
👩🏼‍🔬	女科 學家 ： 中淺 膚色
👩🏽‍🔬	女科 學家 ： 中等 膚色
👩🏾‍🔬	女科 學家 ： 中 黑 膚色
👩🏿‍🔬	女科 學家 ： 深色 膚色
👨‍💻	男性 技術 專家
👨🏻‍💻	男技 術員 ： 淺 膚色
👨🏼‍💻	男技 術員 ： 中淺 膚色
👨🏽‍💻	男技 術員 ： 中等 膚色
👨🏾‍💻	男性 技術 員 ： 中 深 膚色
👨🏿‍💻	男技 術員 ： 深色 膚色
👩‍💻	女技 術員
👩🏻‍💻	女技 術員 ： 淺 膚色
👩🏼‍💻	女技 術員 ： 中淺 膚色
👩🏽‍💻	女技 術員 ： 中等 膚色
👩🏾‍💻	女技 術員 ： 中 黑 膚色
👩🏿‍💻	女技 術員 ： 深色 膚色
👨‍🎤	男 歌手
👨🏻‍🎤	男 歌手 ： 淺 膚色
👨🏼‍🎤	男 歌手 ： 中淺 膚色
👨🏽‍🎤	男 歌手 ： 中等 膚色
👨🏾‍🎤	男 歌手 ： 中 黑 膚色
👨🏿‍🎤	男 歌手 ： 深色 膚色
👩‍🎤	女 歌手
👩🏻‍🎤	女 歌手 ： 淺 膚色
👩🏼‍🎤	女 歌手 ： 中淺 膚色
👩🏽‍🎤	女 歌手 ： 中等 膚色
👩🏾‍🎤	女 歌手 ： 中 黑 膚色
👩🏿‍🎤	女 歌手 ： 深色 膚色
👨‍🎨	男藝 術家
👨🏻‍🎨	男藝 術家 ： 淺 膚色
👨🏼‍🎨	男藝 術家 ： 中淺 膚色
👨🏽‍🎨	男藝 術家 ： 中等 膚色
👨🏾‍🎨	男藝 術家 ： 中 黑 膚色
👨🏿‍🎨	男藝 術家 ： 深色 膚色
👩‍🎨	女藝 術家
👩🏻‍🎨	女藝 術家 ： 淺 膚色
👩🏼‍🎨	女藝 術家 ： 中淺 膚色
👩🏽‍🎨	女藝 術家 ： 中等 膚色
👩🏾‍🎨	女藝 術家 ： 中 黑 膚色
👩🏿‍🎨	女藝 術家 ： 深色 膚色
👨‍✈️	男飛 行員
👨‍✈	男飛 行員
👨🏻‍✈️	男飛 行員 ： 淺 膚色
👨🏻‍✈	男飛 行員 ： 淺 膚色
👨🏼‍✈️	男飛 行員 ： 中淺 膚色
👨🏼‍✈	男飛 行員 ： 中淺 膚色
👨🏽‍✈️	男飛 行員 ： 中等 膚色
👨🏽‍✈	男飛 行員 ： 中等 膚色
👨🏾‍✈️	男飛 行員 ： 中 黑 膚色
👨🏾‍✈	男飛 行員 ： 中 黑 膚色
👨🏿‍✈️	男飛 行員 ： 深色 膚色
👨🏿‍✈	男飛 行員 ： 深色 膚色
👩‍✈️	女飛 行員
👩‍✈	女飛 行員
👩🏻‍✈️	女飛 行員 ： 淺 膚色
👩🏻‍✈	女飛 行員 ： 淺 膚色
👩🏼‍✈️	女飛 行員 ： 中淺 膚色
👩🏼‍✈	女飛 行員 ： 中淺 膚色
👩🏽‍✈️	女飛 行員 ： 中等 膚色
👩🏽‍✈	女飛 行員 ： 中等 膚色
👩🏾‍✈️	女飛 行員 ： 中 黑 膚色
👩🏾‍✈	女飛 行員 ： 中 黑 膚色
👩🏿‍✈️	女飛 行員 ： 深色 膚色
👩🏿‍✈	女飛 行員 ： 深色 膚色
👨‍🚀	男 太空人
👨🏻‍🚀	男 太空人 ： 淺膚色
👨🏼‍🚀	男 太空人 ： 中淺 膚色
👨🏽‍🚀	男 太空人 ： 中等 膚色
👨🏾‍🚀	男 太空人 ： 中 深 膚色
👨🏿‍🚀	男 太空人 ： 深色 膚色
👩‍🚀	女 太空人
👩🏻‍🚀	女 太空人 ： 淺膚色
👩🏼‍🚀	女 太空人 ： 中淺 膚色
👩🏽‍🚀	女 太空人 ： 中等 膚色
👩🏾‍🚀	女 太空人 ： 中黑 膚色
👩🏿‍🚀	女 太空人 ： 深色 膚色
👨‍🚒	男 消防員
👨🏻‍🚒	男 消防 人員 ： 淺 膚色
👨🏼‍🚒	男 消防 隊員 ： 中淺 膚色
👨🏽‍🚒	男 消防 人員 ： 中等 膚色
👨🏾‍🚒	男 消防 隊員 ： 中 黑 膚色
👨🏿‍🚒	男 消防 人員 ： 深色 膚色
👩‍🚒	女 消防員
👩🏻‍🚒	女 消防 隊員 ： 淺 膚色
👩🏼‍🚒	女 消防 隊員 ： 中淺 膚色
👩🏽‍🚒	女 消防 人員 ： 中等 膚色
👩🏾‍🚒	女 消防 隊員 ： 中 黑 膚色
👩🏿‍🚒	女 消防 隊員 ： 深色 膚色
👮	警官
👮🏻	警官 ： 淺 膚色
👮🏼	警官 ： 中淺 膚色
👮🏽	警官 ： 中等 膚色
👮🏾	警官 ： 中 黑 膚色
👮🏿	警官 ： 深色 膚色
👮‍♂️	男警
👮‍♂	男警
👮🏻‍♂️	男 警官 ： 淺 膚色
👮🏻‍♂	男 警官 ： 淺 膚色
👮🏼‍♂️	男 警官 ： 中淺 膚色
👮🏼‍♂	男 警官 ： 中淺 膚色
👮🏽‍♂️	男 警官 ： 中等 膚色
👮🏽‍♂	男 警官 ： 中等 膚色
👮🏾‍♂️	男 警官 ： 中 黑 膚色
👮🏾‍♂	男 警官 ： 中 黑 膚色
👮🏿‍♂️	男 警官 ： 深色 膚色
👮🏿‍♂	男 警官 ： 深色 膚色
👮‍♀️	女警
👮‍♀	女警
👮🏻‍♀️	女 警官 ： 淺 膚色
👮🏻‍♀	女 警官 ： 淺 膚色
👮🏼‍♀️	女 警官 ： 中淺 膚色
👮🏼‍♀	女 警官 ： 中淺 膚色
👮🏽‍♀️	女 警官 ： 中等 膚色
👮🏽‍♀	女 警官 ： 中等 膚色
👮🏾‍♀️	女 警官 ： 中 黑 膚色
👮🏾‍♀	女 警官 ： 中 黑 膚色
👮🏿‍♀️	女 警官 ： 深色 膚色
👮🏿‍♀	女 警官 ： 深色 膚色
🕵️	偵探
🕵	偵探
🕵🏻	偵探 ： 淺 膚色
🕵🏼	偵探 ： 中淺 膚色
🕵🏽	偵探 ： 中等 膚色
🕵🏾	偵探 ： 中 黑 膚色
🕵🏿	偵探 ： 深色 膚色
🕵️‍♂️	男偵 探
🕵‍♂️	男偵 探
🕵️‍♂	男偵 探
🕵‍♂	男偵 探
🕵🏻‍♂️	男 偵探 ： 淺 膚色
🕵🏻‍♂	男 偵探 ： 淺 膚色
🕵🏼‍♂️	男 偵探 ： 中淺 膚色
🕵🏼‍♂	男 偵探 ： 中淺 膚色
🕵🏽‍♂️	男 偵探 ： 中等 膚色
🕵🏽‍♂	男 偵探 ： 中等 膚色
🕵🏾‍♂️	男 偵探 ： 中 黑 膚色
🕵🏾‍♂	男 偵探 ： 中 黑 膚色
🕵🏿‍♂️	男 偵探 ： 深色 膚色
🕵🏿‍♂	男 偵探 ： 深色 膚色
🕵️‍♀️	女 偵探
🕵‍♀️	女 偵探
🕵️‍♀	女 偵探
🕵‍♀	女 偵探
🕵🏻‍♀️	女 偵探 ： 淺 膚色
🕵🏻‍♀	女 偵探 ： 淺 膚色
🕵🏼‍♀️	女 偵探 ： 中淺 膚色
🕵🏼‍♀	女 偵探 ： 中淺 膚色
🕵🏽‍♀️	女 偵探 ： 中等 膚色
🕵🏽‍♀	女 偵探 ： 中等 膚色
🕵🏾‍♀️	女 偵探 ： 中 黑 膚色
🕵🏾‍♀	女 偵探 ： 中 黑 膚色
🕵🏿‍♀️	女 偵探 ： 深色 膚色
🕵🏿‍♀	女 偵探 ： 深色 膚色
💂	警衛
💂🏻	後衛 ： 淺 膚色
💂🏼	後衛 ： 中淺 膚色
💂🏽	後衛 ： 中等 膚色
💂🏾	警衛 ： 中 黑 膚色
💂🏿	警衛 ： 深色 膚色
💂‍♂️	男子 警衛
💂‍♂	男子 警衛
💂🏻‍♂️	男後衛 ： 淺 膚色
💂🏻‍♂	男後衛 ： 淺 膚色
💂🏼‍♂️	男 警衛 ： 中淺 膚色
💂🏼‍♂	男 警衛 ： 中淺 膚色
💂🏽‍♂️	男後衛 ： 中等 膚色
💂🏽‍♂	男後衛 ： 中等 膚色
💂🏾‍♂️	男 警衛 ： 中 黑 膚色
💂🏾‍♂	男 警衛 ： 中 黑 膚色
💂🏿‍♂️	男 警衛 ： 深色 膚色
💂🏿‍♂	男 警衛 ： 深色 膚色
💂‍♀️	女 警衛
💂‍♀	女 警衛
💂🏻‍♀️	女 守衛 ： 淺 膚色
💂🏻‍♀	女 守衛 ： 淺 膚色
💂🏼‍♀️	女 守衛 ： 中淺 膚色
💂🏼‍♀	女 守衛 ： 中淺 膚色
💂🏽‍♀️	女 守衛 ： 中等 膚色
💂🏽‍♀	女 守衛 ： 中等 膚色
💂🏾‍♀️	女 守衛 ： 中 黑 膚色
💂🏾‍♀	女 守衛 ： 中 黑 膚色
💂🏿‍♀️	女 守衛 ： 深色 膚色
💂🏿‍♀	女 守衛 ： 深色 膚色
👷	建築 工人
👷🏻	建築 工人 ： 淺膚色
👷🏼	建築 工人 ： 中淺 膚色
👷🏽	建築 工人 ： 中等 膚色
👷🏾	建築 工人 ： 中黑 膚色
👷🏿	建築 工人 ： 深色 膚色
👷‍♂️	男建 築 工人
👷‍♂	男建 築 工人
👷🏻‍♂️	男建 築工人 ： 淺膚色
👷🏻‍♂	男建 築工人 ： 淺膚色
👷🏼‍♂️	男建 築工人 ： 中淺 膚色
👷🏼‍♂	男建 築工人 ： 中淺 膚色
👷🏽‍♂️	男建 築工人 ： 中等 膚色
👷🏽‍♂	男建 築工人 ： 中等 膚色
👷🏾‍♂️	男建 築工人 ： 中黑 膚色
👷🏾‍♂	男建 築工人 ： 中黑 膚色
👷🏿‍♂️	男建 築工人 ： 深色 膚色
👷🏿‍♂	男建 築工人 ： 深色 膚色
👷‍♀️	女 建築 工人
👷‍♀	女 建築 工人
👷🏻‍♀️	女 建築 工人 ： 淺膚色
👷🏻‍♀	女 建築 工人 ： 淺膚色
👷🏼‍♀️	女 建築 工人 ： 中淺 膚色
👷🏼‍♀	女 建築 工人 ： 中淺 膚色
👷🏽‍♀️	女 建築 工人 ： 中等 膚色
👷🏽‍♀	女 建築 工人 ： 中等 膚色
👷🏾‍♀️	女 建築 工人 ： 中黑 膚色
👷🏾‍♀	女 建築 工人 ： 中黑 膚色
👷🏿‍♀️	女 建築 工人 ： 深色 膚色
👷🏿‍♀	女 建築 工人 ： 深色 膚色
🤴	王子
🤴🏻	王子 ： 淺 膚色
🤴🏼	王子 ： 中淺 膚色
🤴🏽	王子 ： 中等 膚色
🤴🏾	王子 ： 中 黑 膚色
🤴🏿	王子 ： 深色 膚色
👸	公主
👸🏻	公主 ： 淺膚色
👸🏼	公主 ： 中淺 膚色
👸🏽	公主 ： 中等 膚色
👸🏾	公主 ： 中黑 膚色
👸🏿	公主 ： 深色 膚色
👳	戴 頭巾 的 人
👳🏻	戴 頭巾 的 人 ： 淺膚色
👳🏼	戴 頭巾 的 人 ： 中淺 膚色
👳🏽	戴 頭巾 的 人 ： 中等 膚色
👳🏾	戴 頭巾 的 人 ： 中黑 膚色
👳🏿	戴 頭巾 的 人 ： 深色 膚色
👳‍♂️	戴 頭巾 的 男人
👳‍♂	戴 頭巾 的 男人
👳🏻‍♂️	戴 頭巾 的 男人 ： 淺膚色
👳🏻‍♂	戴 頭巾 的 男人 ： 淺膚色
👳🏼‍♂️	戴 頭巾 的 男人 ： 中淺 膚色
👳🏼‍♂	戴 頭巾 的 男人 ： 中淺 膚色
👳🏽‍♂️	戴 頭巾 的 男人 ： 中等 膚色
👳🏽‍♂	戴 頭巾 的 男人 ： 中等 膚色
👳🏾‍♂️	戴 頭巾 的 男人 ： 中黑 膚色
👳🏾‍♂	戴 頭巾 的 男人 ： 中黑 膚色
👳🏿‍♂️	戴 頭巾 的 男人 ： 深色 膚色
👳🏿‍♂	戴 頭巾 的 男人 ： 深色 膚色
👳‍♀️	戴 頭巾 的 女人
👳‍♀	戴 頭巾 的 女人
👳🏻‍♀️	戴 頭巾 的 女人 ： 淺膚色
👳🏻‍♀	戴 頭巾 的 女人 ： 淺膚色
👳🏼‍♀️	戴 頭巾 的 女人 ： 中淺 膚色
👳🏼‍♀	戴 頭巾 的 女人 ： 中淺 膚色
👳🏽‍♀️	戴 頭巾 的 女人 ： 中等 膚色
👳🏽‍♀	戴 頭巾 的 女人 ： 中等 膚色
👳🏾‍♀️	戴 頭巾 的 女人 ： 中黑 膚色
👳🏾‍♀	戴 頭巾 的 女人 ： 中黑 膚色
👳🏿‍♀️	戴 頭巾 的 女人 ： 深色 膚色
👳🏿‍♀	戴 頭巾 的 女人 ： 深色 膚色
👲	戴 中 國帽 的 男人
👲🏻	戴 中 國帽 的 男人 ： 淺膚色
👲🏼	戴 中 國帽 的 男人 ： 中淺 膚色
👲🏽	戴 中 國帽 的 男人 ： 中等 膚色
👲🏾	戴 中 國帽 的 男人 : 中 黑 膚色
👲🏿	戴 中 國帽 的 男人 ： 深色 膚色
🧕	戴 頭巾 的 女人
🧕🏻	戴 頭巾 的 女人 ： 淺膚色
🧕🏼	戴 頭巾 的 女人 ： 中淺 膚色
🧕🏽	戴 頭巾 的 女人 ： 中等 膚色
🧕🏾	戴 頭巾 的 女人 ： 中黑 膚色
🧕🏿	戴 頭巾 的 女人 ： 深色 膚色
🧔	有 鬍子 的 人
🧔🏻	有 鬍子 的 人 ： 淺膚色
🧔🏼	有 鬍子 的 人 ： 中淺 膚色
🧔🏽	有 鬍子 的 人 ： 中等 膚色
🧔🏾	有 鬍子 的 人 ： 中黑 膚色
🧔🏿	有 鬍子 的 人 ： 深色 膚色
👱	金髮人
👱🏻	金髮人 ： 淺膚色
👱🏼	金髮人 ： 中淺 膚色
👱🏽	金髮人 ： 中等 膚色
👱🏾	金髮人 ： 中黑 膚色
👱🏿	金髮人 ： 深色 膚色
👱‍♂️	金髮 男子
👱‍♂	金髮 男子
👱🏻‍♂️	金髮男 ： 淺膚色
👱🏻‍♂	金髮男 ： 淺膚色
👱🏼‍♂️	金髮男 ： 中淺 膚色
👱🏼‍♂	金髮男 ： 中淺 膚色
👱🏽‍♂️	金髮男 ： 中等 膚色
👱🏽‍♂	金髮男 ： 中等 膚色
👱🏾‍♂️	金髮男 ： 中黑 膚色
👱🏾‍♂	金髮男 ： 中黑 膚色
👱🏿‍♂️	金髮男 ： 深色 膚色
👱🏿‍♂	金髮男 ： 深色 膚色
👱‍♀️	金髮 女子
👱‍♀	金髮 女子
👱🏻‍♀️	金髮 女子 ： 淺 膚色
👱🏻‍♀	金髮 女子 ： 淺 膚色
👱🏼‍♀️	金髮 女子 ： 中淺 膚色
👱🏼‍♀	金髮 女子 ： 中淺 膚色
👱🏽‍♀️	金髮 女子 ： 中等 膚色
👱🏽‍♀	金髮 女子 ： 中等 膚色
👱🏾‍♀️	金髮 女子 ： 中 黑 膚色
👱🏾‍♀	金髮 女子 ： 中 黑 膚色
👱🏿‍♀️	金髮 女子 ： 深色 膚色
👱🏿‍♀	金髮 女子 ： 深色 膚色
👨‍🦰	男人 ， 紅頭 髮
