😀	γελαστό πρόσωπο
👨🏾	άνδρας: μεσαίος-σκούρος τόνος δέρματος
👨🏿	άνδρας: σκούρος τόνος δέρματος
👩	γυναίκα
👩🏻	γυναίκα: ανοιχτόχρωμος τόνος δέρματος
👩🏼	γυναίκα: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽	γυναίκα: μεσαίου τόνου δέρματος
👩🏾	γυναίκα: μεσαίος-σκούρος τόνος δέρματος
👩🏿	γυναίκα: σκούρος τόνος δέρματος
🧓	μεγαλύτερος ενήλικας
🧓🏻	μεγαλύτερος ενήλικας: ανοιχτόχρωμος τόνος δέρματος
🧓🏼	μεγαλύτερος ενήλικας: μεσαίου-ανοιχτός τόνος δέρματος
🧓🏽	μεγαλύτερος ενήλικας: μεσαίος τόνος δέρματος
🧓🏾	μεγαλύτερος ενήλικας: μεσαίος-σκούρος τόνος δέρματος
🧓🏿	μεγαλύτερος ενήλικας: σκούρος τόνος δέρματος
👴	γέρος
👴🏻	γέρος: ανοιχτόχρωμος τόνος δέρματος
👴🏼	γέρος: μεσαίος-ανοιχτός τόνος δέρματος
👴🏽	γέρος: μεσαίος τόνος δέρματος
👴🏾	γέρος: μεσαίος-σκούρος τόνος δέρματος
👴🏿	γέρος: σκούρος τόνος δέρματος
👵	ΗΛΙΚΙΩΜΕΝΗ
👵🏻	ηλικιωμένη γυναίκα: ανοιχτόχρωμος τόνος δέρματος
👵🏼	ηλικιωμένη γυναίκα: μεσαίος-ανοιχτός τόνος δέρματος
👵🏽	ηλικιωμένη γυναίκα: μεσαίος τόνος δέρματος
👵🏾	ηλικιωμένη γυναίκα: μεσαίος-σκούρος τόνος δέρματος
👵🏿	ηλικιωμένη γυναίκα: σκούρος τόνος δέρματος
👨‍⚕️	άνδρας εργαζόμενος υγείας
👨‍⚕	άνδρας εργαζόμενος υγείας
👨🏻‍⚕️	άνδρας υπάλληλος υγείας: ανοιχτόχρωμος τόνος δέρματος
👨🏻‍⚕	άνδρας υπάλληλος υγείας: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍⚕️	άνδρας εργαζόμενος στον τομέα της υγείας: μεσαίος-ανοιχτός τόνος δέρματος
👨🏼‍⚕	άνδρας εργαζόμενος στον τομέα της υγείας: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍⚕️	άνδρας υπάλληλος υγείας: μεσαίου τόνου δέρματος
👨🏽‍⚕	άνδρας υπάλληλος υγείας: μεσαίου τόνου δέρματος
👨🏾‍⚕️	άνδρας εργαζόμενος στον τομέα της υγείας: μεσαίος-σκούρος τόνος δέρματος
👨🏾‍⚕	άνδρας εργαζόμενος στον τομέα της υγείας: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍⚕️	άνδρας υπάλληλος υγείας: σκούρος τόνος δέρματος
👨🏿‍⚕	άνδρας υπάλληλος υγείας: σκούρος τόνος δέρματος
👩‍⚕️	γυναίκα υπάλληλος υγείας
👩‍⚕	γυναίκα υπάλληλος υγείας
👩🏻‍⚕️	γυναίκα υπάλληλος υγείας: ανοιχτόχρωμος τόνος δέρματος
👩🏻‍⚕	γυναίκα υπάλληλος υγείας: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍⚕️	γυναίκα υπάλληλος υγείας: μεσαίου-ανοιχτός τόνος δέρματος
👩🏼‍⚕	γυναίκα υπάλληλος υγείας: μεσαίου-ανοιχτός τόνος δέρματος
👩🏽‍⚕️	γυναίκα υπάλληλος υγείας: μεσαίου τόνου δέρματος
👩🏽‍⚕	γυναίκα υπάλληλος υγείας: μεσαίου τόνου δέρματος
👩🏾‍⚕️	γυναίκα υπάλληλος υγείας: μεσαίος-σκούρος τόνος δέρματος
👩🏾‍⚕	γυναίκα υπάλληλος υγείας: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍⚕️	γυναίκα υπάλληλος υγείας: σκούρος τόνος δέρματος
👩🏿‍⚕	γυναίκα υπάλληλος υγείας: σκούρος τόνος δέρματος
👨‍🎓	άνδρας μαθητής
👨🏻‍🎓	άνδρας μαθητής: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🎓	άνδρας μαθητής: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🎓	άνδρας μαθητής: μεσαίος τόνος δέρματος
👨🏾‍🎓	άνδρας μαθητής: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🎓	άνδρας μαθητής: σκούρος τόνος δέρματος
👩‍🎓	γυναίκα φοιτήτρια
👩🏻‍🎓	φοιτήτρια: ανοιχτόχρωμη επιδερμίδα
👩🏼‍🎓	γυναίκα φοιτήτρια: μεσαίου-ανοιχτός τόνος δέρματος
👩🏽‍🎓	γυναίκα φοιτήτρια: μεσαίου τόνου δέρματος
👩🏾‍🎓	φοιτήτρια: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🎓	γυναίκα φοιτήτρια: σκούρος τόνος δέρματος
👨‍🏫	άνθρωπος δάσκαλος
👨🏻‍🏫	άντρας δάσκαλος: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🏫	άντρας δάσκαλος: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🏫	άντρας δάσκαλος: μεσαίου τόνου δέρματος
👨🏾‍🏫	άντρας δάσκαλος: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🏫	άντρας δάσκαλος: σκούρος τόνος δέρματος
👩‍🏫	γυναίκα δασκάλα
👩🏻‍🏫	γυναίκα δασκάλα: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🏫	γυναίκα δασκάλα: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🏫	γυναίκα δασκάλα: μεσαίου τόνου δέρματος
👩🏾‍🏫	γυναίκα δασκάλα: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🏫	γυναίκα δασκάλα: σκούρος τόνος δέρματος
👨‍⚖️	άνθρωπος δικαστής
👨‍⚖	άνθρωπος δικαστής
👨🏻‍⚖️	άντρας κριτής: ανοιχτόχρωμος τόνος δέρματος
👨🏻‍⚖	άντρας κριτής: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍⚖️	άνδρας κριτής: μεσαίος-ανοιχτός τόνος δέρματος
👨🏼‍⚖	άνδρας κριτής: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍⚖️	άντρας κριτής: μεσαίου τόνου δέρματος
👨🏽‍⚖	άντρας κριτής: μεσαίου τόνου δέρματος
👨🏾‍⚖️	άνδρας κριτής: μεσαίος-σκούρος τόνος δέρματος
👨🏾‍⚖	άνδρας κριτής: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍⚖️	άντρας κριτής: σκούρος τόνος δέρματος
👨🏿‍⚖	άντρας κριτής: σκούρος τόνος δέρματος
👩‍⚖️	γυναίκα κριτής
👩‍⚖	γυναίκα κριτής
👩🏻‍⚖️	γυναίκα κριτής: ανοιχτόχρωμος τόνος δέρματος
👩🏻‍⚖	γυναίκα κριτής: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍⚖️	γυναίκα κριτής: μεσαίος-ανοιχτός τόνος δέρματος
👩🏼‍⚖	γυναίκα κριτής: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍⚖️	γυναίκα κριτής: μεσαίος τόνος δέρματος
👩🏽‍⚖	γυναίκα κριτής: μεσαίος τόνος δέρματος
👩🏾‍⚖️	γυναίκα κριτής: μεσαίος-σκούρος τόνος δέρματος
👩🏾‍⚖	γυναίκα κριτής: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍⚖️	γυναίκα κριτής: σκούρος τόνος δέρματος
👩🏿‍⚖	γυναίκα κριτής: σκούρος τόνος δέρματος
👨‍🌾	άνθρωπος αγρότης
👨🏻‍🌾	άνδρας αγρότης: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🌾	άνδρας αγρότης: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🌾	άνδρας αγρότης: μεσαίου τόνου δέρματος
👨🏾‍🌾	άνδρας αγρότης: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🌾	άνδρας αγρότης: σκούρος τόνος δέρματος
👩‍🌾	γυναίκα αγρότης
👩🏻‍🌾	γυναίκα αγρότης: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🌾	γυναίκα αγρότης: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🌾	γυναίκα αγρότης: μεσαίος τόνος δέρματος
👩🏾‍🌾	γυναίκα αγρότης: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🌾	γυναίκα αγρότης: σκούρος τόνος δέρματος
👨‍🍳	άντρας μάγειρας
👨🏻‍🍳	άντρας μάγειρας: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🍳	άντρας μάγειρας: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🍳	άντρας μάγειρας: μεσαίος τόνος δέρματος
👨🏾‍🍳	άντρας μάγειρας: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🍳	άντρας μάγειρας: σκούρος τόνος δέρματος
👩‍🍳	γυναίκα μαγείρισσα
👩🏻‍🍳	γυναίκα μαγείρισσα: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🍳	γυναίκα μαγείρισσα: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🍳	γυναίκα μαγείρισσα: μεσαίου τόνου δέρματος
👩🏾‍🍳	γυναίκα μαγείρισσα: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🍳	γυναίκα μαγείρισσα: σκούρο δέρμα
👨‍🔧	άνθρωπος μηχανικός
👨🏻‍🔧	άνδρας μηχανικός: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🔧	άνδρας μηχανικός: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🔧	άνδρας μηχανικός: μεσαίος τόνος δέρματος
👨🏾‍🔧	άνδρας μηχανικός: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🔧	άνδρας μηχανικός: σκούρος τόνος δέρματος
👩‍🔧	γυναίκα μηχανικός
👩🏻‍🔧	γυναίκα μηχανικός: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🔧	γυναίκα μηχανικός: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🔧	γυναίκα μηχανικός: μεσαίου τόνου δέρματος
👩🏾‍🔧	γυναίκα μηχανικός: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🔧	γυναίκα μηχανικός: σκουρόχρωμος τόνος δέρματος
👨‍🏭	άνδρας εργάτης εργοστασίου
👨🏻‍🏭	άνδρας εργάτης στο εργοστάσιο: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🏭	άνδρας εργάτης στο εργοστάσιο: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🏭	άνδρας εργάτης στο εργοστάσιο: μεσαίου τόνου δέρματος
👨🏾‍🏭	άνδρας εργάτης στο εργοστάσιο: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🏭	άνδρας εργάτης στο εργοστάσιο: σκουρόχρωμος τόνος δέρματος
👩‍🏭	γυναίκα εργάτρια εργοστασίου
👩🏻‍🏭	εργάτρια εργοστασίου: ανοιχτόχρωμη επιδερμίδα
👩🏼‍🏭	Γυναίκα εργάτης στο εργοστάσιο: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🏭	εργάτρια εργοστασίου: μεσαίου τόνου δέρματος
👩🏾‍🏭	Γυναίκα εργαζόμενη στο εργοστάσιο: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🏭	γυναίκα εργάτης στο εργοστάσιο: σκουρόχρωμος τόνος δέρματος
👨‍💼	άνδρας υπάλληλος γραφείου
👨🏻‍💼	άνδρας υπάλληλος γραφείου: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍💼	άνδρας υπάλληλος γραφείου: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍💼	άνδρας υπάλληλος γραφείου: μεσαίου τόνου δέρματος
👨🏾‍💼	άνδρας υπάλληλος γραφείου: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍💼	άνδρας υπάλληλος γραφείου: σκουρόχρωμος τόνος δέρματος
👩‍💼	γυναίκα υπάλληλος γραφείου
👩🏻‍💼	γυναίκα υπάλληλος γραφείου: ανοιχτόχρωμη επιδερμίδα
👩🏼‍💼	γυναίκα υπάλληλος γραφείου: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍💼	γυναίκα υπάλληλος γραφείου: μεσαίου τόνου δέρματος
👩🏾‍💼	γυναίκα υπάλληλος γραφείου: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍💼	γυναίκα υπάλληλος γραφείου: σκούρο δέρμα
👨‍🔬	άνθρωπος επιστήμονας
👨🏻‍🔬	άνδρας επιστήμονας: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🔬	άνδρας επιστήμονας: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🔬	άνδρας επιστήμονας: μεσαίος τόνος δέρματος
👨🏾‍🔬	άνδρας επιστήμονας: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🔬	άνδρας επιστήμονας: σκούρος τόνος δέρματος
👩‍🔬	γυναίκα επιστήμονας
👩🏻‍🔬	γυναίκα επιστήμονας: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🔬	γυναίκα επιστήμονας: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🔬	γυναίκα επιστήμονας: μεσαίος τόνος δέρματος
👩🏾‍🔬	γυναίκα επιστήμονας: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🔬	γυναίκα επιστήμονας: σκούρος τόνος δέρματος
👨‍💻	άνθρωπος τεχνολόγος
👨🏻‍💻	άνδρας τεχνολόγος: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍💻	άνδρας τεχνολόγος: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍💻	άνδρας τεχνολόγος: μεσαίου τόνου δέρματος
👨🏾‍💻	άνδρας τεχνολόγος: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍💻	άνδρας τεχνολόγος: σκούρος τόνος δέρματος
👩‍💻	γυναίκα τεχνολόγος
👩🏻‍💻	γυναίκα τεχνολόγος: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍💻	γυναίκα τεχνολόγος: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍💻	γυναίκα τεχνολόγος: μεσαίου τόνου δέρματος
👩🏾‍💻	γυναίκα τεχνολόγος: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍💻	γυναίκα τεχνολόγος: σκούρος τόνος δέρματος
👨‍🎤	άντρας τραγουδιστής
👨🏻‍🎤	άντρας τραγουδιστής: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🎤	άντρας τραγουδιστής: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🎤	άντρας τραγουδιστής: μεσαίος τόνος δέρματος
👨🏾‍🎤	άντρας τραγουδιστής: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🎤	άντρας τραγουδιστής: σκούρος τόνος δέρματος
👩‍🎤	γυναίκα τραγουδίστρια
👩🏻‍🎤	τραγουδίστρια: ανοιχτόχρωμη επιδερμίδα
👩🏼‍🎤	γυναίκα τραγουδίστρια: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🎤	γυναίκα τραγουδίστρια: μεσαίος τόνος δέρματος
👩🏾‍🎤	τραγουδίστρια: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🎤	γυναίκα τραγουδίστρια: σκούρος τόνος δέρματος
👨‍🎨	άνθρωπος καλλιτέχνης
👨🏻‍🎨	άντρας καλλιτέχνης: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🎨	άνδρας καλλιτέχνης: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🎨	άντρας καλλιτέχνης: μεσαίος τόνος δέρματος
👨🏾‍🎨	άντρας καλλιτέχνης: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🎨	άντρας καλλιτέχνης: σκούρος τόνος δέρματος
👩‍🎨	γυναίκα καλλιτέχνης
👩🏻‍🎨	γυναίκα καλλιτέχνης: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🎨	γυναίκα καλλιτέχνης: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🎨	γυναίκα καλλιτέχνης: μεσαίου τόνου δέρματος
👩🏾‍🎨	γυναίκα καλλιτέχνης: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🎨	γυναίκα καλλιτέχνης: σκούρος τόνος δέρματος
👨‍✈️	άνδρας πιλότος
👨‍✈	άνδρας πιλότος
👨🏻‍✈️	άνδρας πιλότος: ανοιχτόχρωμος τόνος δέρματος
👨🏻‍✈	άνδρας πιλότος: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍✈️	άνδρας πιλότος: μεσαίος-ανοιχτός τόνος δέρματος
👨🏼‍✈	άνδρας πιλότος: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍✈️	άνδρας πιλότος: μεσαίος τόνος δέρματος
👨🏽‍✈	άνδρας πιλότος: μεσαίος τόνος δέρματος
👨🏾‍✈️	άνδρας πιλότος: μεσαίος-σκούρος τόνος δέρματος
👨🏾‍✈	άνδρας πιλότος: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍✈️	άνδρας πιλότος: σκούρος τόνος δέρματος
👨🏿‍✈	άνδρας πιλότος: σκούρος τόνος δέρματος
👩‍✈️	γυναίκα πιλότος
👩‍✈	γυναίκα πιλότος
👩🏻‍✈️	γυναίκα πιλότος: ανοιχτόχρωμος τόνος δέρματος
👩🏻‍✈	γυναίκα πιλότος: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍✈️	γυναίκα πιλότος: μεσαίος-ανοιχτός τόνος δέρματος
👩🏼‍✈	γυναίκα πιλότος: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍✈️	γυναίκα πιλότος: μεσαίου τόνου δέρματος
👩🏽‍✈	γυναίκα πιλότος: μεσαίου τόνου δέρματος
👩🏾‍✈️	γυναίκα πιλότος: μεσαίος-σκούρος τόνος δέρματος
👩🏾‍✈	γυναίκα πιλότος: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍✈️	γυναίκα πιλότος: σκούρος τόνος δέρματος
👩🏿‍✈	γυναίκα πιλότος: σκούρος τόνος δέρματος
👨‍🚀	άνθρωπος αστροναύτης
👨🏻‍🚀	άνδρας αστροναύτης: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🚀	άνδρας αστροναύτης: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🚀	άνδρας αστροναύτης: μεσαίος τόνος δέρματος
👨🏾‍🚀	άνδρας αστροναύτης: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🚀	άνδρας αστροναύτης: σκούρος τόνος δέρματος
👩‍🚀	γυναίκα αστροναύτης
👩🏻‍🚀	γυναίκα αστροναύτης: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🚀	γυναίκα αστροναύτης: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🚀	γυναίκα αστροναύτης: μεσαίος τόνος δέρματος
👩🏾‍🚀	γυναίκα αστροναύτης: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🚀	γυναίκα αστροναύτης: σκούρος τόνος δέρματος
👨‍🚒	άνδρας πυροσβέστης
👨🏻‍🚒	άνδρας πυροσβέστης: ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🚒	άνδρας πυροσβέστης: μεσαίος-ανοιχτός τόνος δέρματος
👨🏽‍🚒	άνδρας πυροσβέστης: μεσαίος τόνος δέρματος
👨🏾‍🚒	άνδρας πυροσβέστης: μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🚒	άνδρας πυροσβέστης: σκούρος τόνος δέρματος
👩‍🚒	γυναίκα πυροσβέστης
👩🏻‍🚒	γυναίκα πυροσβέστης: ανοιχτόχρωμος τόνος δέρματος
👩🏼‍🚒	γυναίκα πυροσβέστης: μεσαίος-ανοιχτός τόνος δέρματος
👩🏽‍🚒	γυναίκα πυροσβέστης: μεσαίου τόνου δέρματος
👩🏾‍🚒	γυναίκα πυροσβέστης: μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🚒	γυναίκα πυροσβέστης: σκούρος τόνος δέρματος
👮	αστυνομικός
👮🏻	αστυνομικός: ανοιχτόχρωμος τόνος δέρματος
👮🏼	αστυνομικός: μεσαίος-ανοιχτός τόνος δέρματος
👮🏽	αστυνομικός: μεσαίου τόνου δέρματος
👮🏾	αστυνομικός: μεσαίος-σκούρος τόνος δέρματος
👮🏿	αστυνομικός: σκουρόχρωμος τόνος δέρματος
