😀	ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
🤕	ମୁଣ୍ଡ-ବ୍ୟାଣ୍ଡେଜ୍ ସହିତ ମୁହଁ |
🤢	ବାନ୍ତି
🤮	ମୁହଁ ବାନ୍ତି
🤧	ଛିଙ୍କିବା ମୁହଁ |
😇	ହାଲୋ ସହିତ ହସୁଥିବା ଚେହେରା |
🤠	ଗା boy ବୋ ଟୋପି ଚେହେରା |
🥳	ପାର୍ଟି କରୁଥିବା ଚେହେରା |
🥴	ଚେହେରା
🥺	ନିବେଦନ କରୁଥିବା ଚେହେରା |
🤥	ମିଛ ମୁହଁ
🤫	ମୁହଁ
🤭	ମୁହଁକୁ ମୁହଁ କରି ମୁହଁ |
🧐	ମୋନୋକଲ୍ ସହିତ ମୁହଁ |
🤓	ନର୍ଡ ଚେହେରା |
😈	ଶିଙ୍ଗ ସହିତ ହସୁଥିବା ଚେହେରା |
👿	ଶିଙ୍ଗ ସହିତ କ୍ରୋଧିତ ମୁଖ |
🤡	କ୍ଲାଉନ୍ ଚେହେରା |
👹	ogre
👺	ଗୋବଲିନ୍ |
💀	ଖପୁରୀ
☠️	ଖପୁରୀ ଏବଂ କ୍ରସବୋନ |
☠	ଖପୁରୀ ଏବଂ କ୍ରସବୋନ |
👻	ଭୂତ
👽	ବିଦେଶୀ
👾	ବିଦେଶୀ ରାକ୍ଷସ |
🤖	ରୋବଟ୍ ଚେହେରା |
💩	ଗଦା
😺	ବିଲେଇ ମୁହଁ
😸	ହସୁଥିବା ଆଖିରେ ବିଲେଇ ବିଲେଇ ମୁହଁ |
😹	ଖୁସିର ଲୁହରେ ବିଲେଇ ମୁହଁ |
😻	ହୃଦୟ ଆଖିରେ ହସୁଥିବା ବିଲେଇ ମୁହଁ |
😼	ହସଖୁସିରେ ବିଲେଇ ମୁହଁ |
😽	ବିଲେଇ ମୁହଁକୁ ଚୁମ୍ବନ |
🙀	କ୍ଳାନ୍ତ ବିଲେଇ ମୁହଁ |
😿	କାନ୍ଦୁଥିବା ବିଲେଇ ମୁହଁ |
😾	ବିଲେଇ ମୁହଁ
🙈	ଦେଖ-ନା-ମନ୍ଦ ମାଙ୍କଡ଼ |
🙉	ଶୁଣ-ନା-ମନ୍ଦ ମାଙ୍କଡ଼ |
🙊	କଥାବାର୍ତ୍ତା-ଦୁଷ୍ଟ ମାଙ୍କଡ଼ |
🏻	ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🏼	ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🏽	ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର
🏾	ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🏿	ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👶	ଶିଶୁ
👶🏻	ଶିଶୁ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👶🏼	ଶିଶୁ: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👶🏽	ଶିଶୁ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👶🏾	ଶିଶୁ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👶🏿	ଶିଶୁ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
🧒	ପିଲା
🧒🏻	ପିଲା: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧒🏼	ପିଲା: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧒🏽	ପିଲା: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
🧒🏾	ପିଲା: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🧒🏿	ପିଲା: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👦	ପୁଅ
👦🏻	ବାଳକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👦🏼	ବାଳକ: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👦🏽	ବାଳକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👦🏾	ବାଳକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👦🏿	ବାଳକ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👧	girl ିଅ
👧🏻	girl ିଅ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👧🏼	girl ିଅ: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👧🏽	girl ିଅ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👧🏾	girl ିଅ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👧🏿	girl ିଅ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🧑	ବୟସ୍କ
🧑🏻	ବୟସ୍କ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧑🏼	ବୟସ୍କ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧑🏽	ବୟସ୍କ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
🧑🏾	ବୟସ୍କ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🧑🏿	ବୟସ୍କ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👨	ମଣିଷ
👨🏻	ପୁରୁଷ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼	ପୁରୁଷ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽	ପୁରୁଷ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾	ପୁରୁଷ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿	ପୁରୁଷ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👩	ମହିଳା
👩🏻	ମହିଳା: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼	ମହିଳା: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽	ମହିଳା: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾	ମହିଳା: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿	ନାରୀ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🧓	ବୟସ୍କ ବୟସ୍କ
🧓🏻	ବୟସ୍କ ବୟସ୍କ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧓🏼	ବୟସ୍କ ବୟସ୍କ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
🧓🏽	ବୟସ୍କ ବୟସ୍କ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
🧓🏾	ବୟସ୍କ ବୟସ୍କ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
🧓🏿	ବୟସ୍କ ବୟସ୍କ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👴	ବୃଦ୍ଧଲୋକ
👴🏻	ବୃଦ୍ଧ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👴🏼	ବୃଦ୍ଧ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👴🏽	ବୃଦ୍ଧ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👴🏾	ବୃଦ୍ଧ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👴🏿	ବୃଦ୍ଧ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👵	ବୁ woman ୀ
👵🏻	ବୃଦ୍ଧ ମହିଳା: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👵🏼	ବୃଦ୍ଧ ମହିଳା: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👵🏽	ବୃଦ୍ଧ ମହିଳା: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👵🏾	ବୃଦ୍ଧ ମହିଳା: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👵🏿	ବୃଦ୍ଧ ମହିଳା: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ |
👨‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ |
👨🏻‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏻‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏽‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏾‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍⚕️	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍⚕	ପୁରୁଷ ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ
👩‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ
👩🏻‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏻‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏽‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏾‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍⚕️	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍⚕	ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ କର୍ମୀ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍🎓	ପୁରୁଷ ଛାତ୍ର
👨🏻‍🎓	ପୁରୁଷ ଛାତ୍ର: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🎓	ପୁରୁଷ ଛାତ୍ର: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🎓	ପୁରୁଷ ଛାତ୍ର: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🎓	ପୁରୁଷ ଛାତ୍ର: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍🎓	ପୁରୁଷ ଛାତ୍ର: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍🎓	ମହିଳା ଛାତ୍ର
👩🏻‍🎓	ମହିଳା ଛାତ୍ର: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍🎓	ମହିଳା ଛାତ୍ର: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍🎓	ମହିଳା ଛାତ୍ର: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍🎓	ମହିଳା ଛାତ୍ର: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍🎓	ମହିଳା ଛାତ୍ର: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍🏫	ପୁରୁଷ ଶିକ୍ଷକ
👨🏻‍🏫	ପୁରୁଷ ଶିକ୍ଷକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🏫	ପୁରୁଷ ଶିକ୍ଷକ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🏫	ପୁରୁଷ ଶିକ୍ଷକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🏫	ପୁରୁଷ ଶିକ୍ଷକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍🏫	ପୁରୁଷ ଶିକ୍ଷକ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍🏫	ମହିଳା ଶିକ୍ଷକ
👩🏻‍🏫	ମହିଳା ଶିକ୍ଷକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍🏫	ମହିଳା ଶିକ୍ଷକ: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍🏫	ମହିଳା ଶିକ୍ଷକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍🏫	ମହିଳା ଶିକ୍ଷକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍🏫	ମହିଳା ଶିକ୍ଷକ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👨‍⚖️	ମଣିଷ ବିଚାରକ |
👨‍⚖	ମଣିଷ ବିଚାରକ |
👨🏻‍⚖️	ମଣିଷ ବିଚାରକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏻‍⚖	ମଣିଷ ବିଚାରକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍⚖️	ମଣିଷ ବିଚାରକ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍⚖	ମଣିଷ ବିଚାରକ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍⚖️	ପୁରୁଷ ବିଚାରକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏽‍⚖	ପୁରୁଷ ବିଚାରକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍⚖️	ମଣିଷ ବିଚାରକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏾‍⚖	ମଣିଷ ବିଚାରକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍⚖️	ମଣିଷ ବିଚାରକ: ଅନ୍ଧାର ଚର୍ମ ସ୍ୱର |
👨🏿‍⚖	ମଣିଷ ବିଚାରକ: ଅନ୍ଧାର ଚର୍ମ ସ୍ୱର |
👩‍⚖️	ମହିଳା ବିଚାରପତି
👩‍⚖	ମହିଳା ବିଚାରପତି
👩🏻‍⚖️	ମହିଳା ବିଚାରକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏻‍⚖	ମହିଳା ବିଚାରକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍⚖️	ମହିଳା ବିଚାରପତି: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍⚖	ମହିଳା ବିଚାରପତି: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍⚖️	ମହିଳା ବିଚାରପତି: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏽‍⚖	ମହିଳା ବିଚାରପତି: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍⚖️	ମହିଳା ବିଚାରକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏾‍⚖	ମହିଳା ବିଚାରକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍⚖️	ମହିଳା ବିଚାରପତି: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍⚖	ମହିଳା ବିଚାରପତି: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍🌾	ମଣିଷ କୃଷକ
👨🏻‍🌾	ପୁରୁଷ କୃଷକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🌾	ପୁରୁଷ କୃଷକ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🌾	ପୁରୁଷ କୃଷକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🌾	ପୁରୁଷ କୃଷକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍🌾	ମଣିଷ କୃଷକ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍🌾	ମହିଳା କୃଷକ
👩🏻‍🌾	ମହିଳା କୃଷକ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍🌾	ମହିଳା କୃଷକ: ମଧ୍ୟମ ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍🌾	ମହିଳା କୃଷକ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍🌾	ମହିଳା କୃଷକ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍🌾	ମହିଳା କୃଷକ: ଗା skin ଼ ଚର୍ମ ସ୍ୱର |
👨‍🍳	ମଣିଷ ରାନ୍ଧ |
👨🏻‍🍳	ମଣିଷ ରାନ୍ଧ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🍳	ମଣିଷ ରାନ୍ଧ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🍳	ମଣିଷ ରାନ୍ଧ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🍳	ମଣିଷ ରାନ୍ଧ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍🍳	ମଣିଷ ରାନ୍ଧ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍🍳	ମହିଳା ରାନ୍ଧ |
👩🏻‍🍳	ମହିଳା ରୋଷେଇ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍🍳	ମହିଳା ରୋଷେଇ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍🍳	ମହିଳା ରୋଷେଇ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍🍳	ମହିଳା ରୋଷେଇ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍🍳	ମହିଳା ରୋଷେଇ: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍ |
👨🏻‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨🏿‍🔧	ମ୍ୟାନ୍ ମେକାନିକ୍: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩‍🔧	ମହିଳା ମେକାନିକ୍ |
👩🏻‍🔧	ମହିଳା ମେକାନିକ୍: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏼‍🔧	ମହିଳା ମେକାନିକ୍: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👩🏽‍🔧	ମହିଳା ମେକାନିକ୍: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👩🏾‍🔧	ମହିଳା ମେକାନିକ୍: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👩🏿‍🔧	ମହିଳା ମେକାନିକ୍: ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
👨‍🏭	ପୁରୁଷ କାରଖାନା କର୍ମଚାରୀ |
👨🏻‍🏭	ପୁରୁଷ କାରଖାନା କର୍ମଚାରୀ: ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏼‍🏭	ପୁରୁଷ କାରଖାନା କର୍ମଚାରୀ: ମଧ୍ୟମ-ହାଲୁକା ଚର୍ମ ସ୍ୱର |
👨🏽‍🏭	ପୁରୁଷ କାରଖାନା କର୍ମଚାରୀ: ମଧ୍ୟମ ଚର୍ମ ସ୍ୱର |
👨🏾‍🏭	ପୁରୁଷ କାରଖାନା କର୍ମଚାରୀ: ମଧ୍ୟମ-ଗା dark ଼ ଚର୍ମ ସ୍ୱର |
