😀	nacereno lice
👩🏽	žena: srednja boja kože
👩🏾	žena: srednje tamna koža
👩🏿	žena: tamna koža
🧓	starija odrasla osoba
🧓🏻	starija odrasla osoba: svijetla boja kože
🧓🏼	starija odrasla osoba: srednje svijetla boja kože
🧓🏽	starija odrasla osoba: srednja boja kože
🧓🏾	starija odrasla osoba: srednje tamna koža
🧓🏿	starija odrasla osoba: tamna boja kože
👴	starac
👴🏻	starac: svijetla boja kože
👴🏼	starac: srednje svijetla boja kože
👴🏽	starac: srednja boja kože
👴🏾	starac: srednje tamna koža
👴🏿	starac: tamna boja kože
👵	starica
👵🏻	starica: svijetla boja kože
👵🏼	starica: srednje svijetla boja kože
👵🏽	starica: srednja boja kože
👵🏾	starica: srednje tamna koža
👵🏿	starica: tamna boja kože
👨‍⚕️	muškarac zdravstveni radnik
👨‍⚕	muškarac zdravstveni radnik
👨🏻‍⚕️	muškarac zdravstveni radnik: svijetla boja kože
👨🏻‍⚕	muškarac zdravstveni radnik: svijetla boja kože
👨🏼‍⚕️	muškarac zdravstveni radnik: srednje svijetla boja kože
👨🏼‍⚕	muškarac zdravstveni radnik: srednje svijetla boja kože
👨🏽‍⚕️	muškarac zdravstveni radnik: srednja boja kože
👨🏽‍⚕	muškarac zdravstveni radnik: srednja boja kože
👨🏾‍⚕️	muškarac zdravstveni radnik: srednje tamna boja kože
👨🏾‍⚕	muškarac zdravstveni radnik: srednje tamna boja kože
👨🏿‍⚕️	muškarac zdravstveni radnik: tamna boja kože
👨🏿‍⚕	muškarac zdravstveni radnik: tamna boja kože
👩‍⚕️	žena zdravstvena radnica
👩‍⚕	žena zdravstvena radnica
👩🏻‍⚕️	žena zdravstvena radnica: svijetla boja kože
👩🏻‍⚕	žena zdravstvena radnica: svijetla boja kože
👩🏼‍⚕️	žena zdravstvena radnica: srednje svijetla boja kože
👩🏼‍⚕	žena zdravstvena radnica: srednje svijetla boja kože
👩🏽‍⚕️	žena zdravstvena radnica: srednja boja kože
👩🏽‍⚕	žena zdravstvena radnica: srednja boja kože
👩🏾‍⚕️	žena zdravstvena radnica: srednje tamna koža
👩🏾‍⚕	žena zdravstvena radnica: srednje tamna koža
👩🏿‍⚕️	žena zdravstvena radnica: tamna boja kože
👩🏿‍⚕	žena zdravstvena radnica: tamna boja kože
👨‍🎓	muškarac student
👨🏻‍🎓	muškarac student: svijetla boja kože
👨🏼‍🎓	muškarac student: srednje svijetla boja kože
👨🏽‍🎓	muškarac student: srednja boja kože
👨🏾‍🎓	muškarac student: srednje tamna koža
👨🏿‍🎓	muškarac student: tamna boja kože
👩‍🎓	studentica
👩🏻‍🎓	studentica: svijetla boja kože
👩🏼‍🎓	studentica: srednje svijetla boja kože
👩🏽‍🎓	studentica: srednja boja kože
👩🏾‍🎓	studentica: srednje tamna boja kože
👩🏿‍🎓	studentica: tamna boja kože
👨‍🏫	čovjek učitelj
👨🏻‍🏫	muškarac učitelj: svijetla boja kože
👨🏼‍🏫	muškarac učitelj: srednje svijetla boja kože
👨🏽‍🏫	muškarac učitelj: srednja boja kože
👨🏾‍🏫	muškarac učitelj: srednje tamna koža
👨🏿‍🏫	muškarac učitelj: tamna boja kože
👩‍🏫	žena učiteljica
👩🏻‍🏫	učiteljica: svijetla boja kože
👩🏼‍🏫	učiteljica: srednje svijetla boja kože
👩🏽‍🏫	učiteljica: srednja boja kože
👩🏾‍🏫	učiteljica: srednje tamna koža
👩🏿‍🏫	učiteljica: tamna koža
👨‍⚖️	čovjek sudac
👨‍⚖	čovjek sudac
👨🏻‍⚖️	muškarac sudac: svijetla boja kože
👨🏻‍⚖	muškarac sudac: svijetla boja kože
👨🏼‍⚖️	muškarac sudac: srednje svijetla boja kože
👨🏼‍⚖	muškarac sudac: srednje svijetla boja kože
👨🏽‍⚖️	muškarac sudac: srednja boja kože
👨🏽‍⚖	muškarac sudac: srednja boja kože
👨🏾‍⚖️	čovjek sudac: srednje tamna koža
👨🏾‍⚖	čovjek sudac: srednje tamna koža
👨🏿‍⚖️	muškarac sudac: tamna koža
👨🏿‍⚖	muškarac sudac: tamna koža
👩‍⚖️	žena sudac
👩‍⚖	žena sudac
👩🏻‍⚖️	žena sudac: svijetla boja kože
👩🏻‍⚖	žena sudac: svijetla boja kože
👩🏼‍⚖️	žena sudac: srednje svijetla boja kože
👩🏼‍⚖	žena sudac: srednje svijetla boja kože
👩🏽‍⚖️	žena sudac: srednja boja kože
👩🏽‍⚖	žena sudac: srednja boja kože
👩🏾‍⚖️	žena sudac: srednje tamna koža
👩🏾‍⚖	žena sudac: srednje tamna koža
👩🏿‍⚖️	žena sudac: tamna koža
👩🏿‍⚖	žena sudac: tamna koža
👨‍🌾	čovjek poljoprivrednik
👨🏻‍🌾	muškarac farmer: svijetla boja kože
👨🏼‍🌾	muškarac farmer: srednje svijetla boja kože
👨🏽‍🌾	muškarac farmer: srednja boja kože
👨🏾‍🌾	muškarac farmer: srednje tamna koža
👨🏿‍🌾	čovjek farmer: tamna koža
👩‍🌾	žena poljoprivrednica
👩🏻‍🌾	žena farmer: svijetla boja kože
👩🏼‍🌾	žena farmer: srednje svijetla boja kože
👩🏽‍🌾	žena farmer: srednja boja kože
👩🏾‍🌾	žena farmer: srednje tamna koža
👩🏿‍🌾	žena farmer: tamna boja kože
👨‍🍳	čovjek kuhar
👨🏻‍🍳	muškarac kuhar: svijetla koža
👨🏼‍🍳	muškarac kuhar: srednje svijetla boja kože
👨🏽‍🍳	muškarac kuhar: srednja boja kože
👨🏾‍🍳	muškarac kuhar: srednje tamna koža
👨🏿‍🍳	muškarac kuhar: tamna koža
👩‍🍳	žena kuharica
👩🏻‍🍳	kuharica: svijetla koža
👩🏼‍🍳	kuharica: srednje svijetla koža
👩🏽‍🍳	kuharica: srednja boja kože
👩🏾‍🍳	kuharica: srednje tamna koža
👩🏿‍🍳	kuharica: tamna koža
👨‍🔧	čovjek mehaničar
👨🏻‍🔧	čovjek mehaničar: svijetla koža
👨🏼‍🔧	muškarac mehaničar: srednje svijetla koža
👨🏽‍🔧	čovjek mehaničar: srednja boja kože
👨🏾‍🔧	čovjek mehaničar: srednje tamna koža
👨🏿‍🔧	čovjek mehaničar: tamna koža
👩‍🔧	žena mehaničar
👩🏻‍🔧	žena mehaničar: svijetla koža
👩🏼‍🔧	žena mehaničar: srednje svijetla koža
👩🏽‍🔧	žena mehaničar: srednja boja kože
👩🏾‍🔧	žena mehaničar: srednje tamna koža
👩🏿‍🔧	žena mehaničar: tamna koža
👨‍🏭	čovjek tvornički radnik
👨🏻‍🏭	čovjek tvornički radnik: svijetla boja kože
👨🏼‍🏭	čovjek tvornički radnik: srednje svijetla boja kože
👨🏽‍🏭	čovjek tvornički radnik: srednja boja kože
👨🏾‍🏭	čovjek tvornički radnik: srednje tamna koža
👨🏿‍🏭	čovjek tvornički radnik: tamna boja kože
👩‍🏭	žena tvornička radnica
👩🏻‍🏭	tvornička radnica: svijetla koža
👩🏼‍🏭	tvornička radnica: srednje svijetla boja kože
👩🏽‍🏭	tvornička radnica: srednja boja kože
👩🏾‍🏭	tvornička radnica: srednje tamna koža
👩🏿‍🏭	tvornička radnica: tamna koža
👨‍💼	čovjek uredski radnik
👨🏻‍💼	muškarac uredski radnik: svijetla boja kože
👨🏼‍💼	muškarac uredski radnik: srednje svijetla boja kože
👨🏽‍💼	muškarac uredski radnik: srednja boja kože
👨🏾‍💼	muškarac uredski radnik: srednje tamna koža
👨🏿‍💼	muškarac uredski radnik: tamna boja kože
👩‍💼	žena uredska radnica
👩🏻‍💼	žena uredska djelatnica: svijetla boja kože
👩🏼‍💼	uredska djelatnica: srednje svijetla boja kože
👩🏽‍💼	uredska djelatnica: srednja boja kože
👩🏾‍💼	uredska djelatnica: srednje tamna koža
👩🏿‍💼	uredska djelatnica: tamna koža
👨‍🔬	čovjek znanstvenik
👨🏻‍🔬	čovjek znanstvenik: svijetla boja kože
👨🏼‍🔬	čovjek znanstvenik: srednje svijetla boja kože
👨🏽‍🔬	čovjek znanstvenik: srednja boja kože
👨🏾‍🔬	čovjek znanstvenik: srednje tamna koža
👨🏿‍🔬	čovjek znanstvenik: tamna boja kože
👩‍🔬	žena znanstvenica
👩🏻‍🔬	žena znanstvenica: svijetla boja kože
👩🏼‍🔬	znanstvenica: srednje svijetla boja kože
👩🏽‍🔬	znanstvenica: srednja boja kože
👩🏾‍🔬	znanstvenica: srednje tamna koža
👩🏿‍🔬	žena znanstvenica: tamna koža
👨‍💻	čovjek tehnolog
👨🏻‍💻	muškarac tehnolog: svijetla koža
👨🏼‍💻	čovjek tehnolog: srednje svijetla boja kože
👨🏽‍💻	čovjek tehnolog: srednja boja kože
👨🏾‍💻	čovjek tehnolog: srednje tamna koža
👨🏿‍💻	čovjek tehnolog: tamna boja kože
👩‍💻	žena tehnolog
👩🏻‍💻	žena tehnolog: svijetla koža
👩🏼‍💻	žena tehnolog: srednje svijetla koža
👩🏽‍💻	žena tehnolog: srednja boja kože
👩🏾‍💻	žena tehnolog: srednje tamna koža
👩🏿‍💻	žena tehnolog: tamna koža
👨‍🎤	čovjek pjevač
👨🏻‍🎤	muškarac pjevač: svijetla boja kože
👨🏼‍🎤	muškarac pjevač: srednje svijetla boja kože
👨🏽‍🎤	muškarac pjevač: srednja boja kože
👨🏾‍🎤	muškarac pjevač: srednje tamna koža
👨🏿‍🎤	muškarac pjevač: tamna boja kože
👩‍🎤	žena pjevačica
👩🏻‍🎤	pjevačica: svijetla koža
👩🏼‍🎤	pjevačica: srednje svijetla boja kože
👩🏽‍🎤	pjevačica: srednja boja kože
👩🏾‍🎤	pjevačica: srednje tamna koža
👩🏿‍🎤	pjevačica: tamna koža
👨‍🎨	čovjek umjetnik
👨🏻‍🎨	muškarac umjetnik: svijetla boja kože
👨🏼‍🎨	čovjek umjetnik: srednje svijetla boja kože
👨🏽‍🎨	čovjek umjetnik: srednja boja kože
👨🏾‍🎨	čovjek umjetnik: srednje tamna boja kože
👨🏿‍🎨	čovjek umjetnik: tamna boja kože
👩‍🎨	žena umjetnica
👩🏻‍🎨	umjetnica: svijetla boja kože
👩🏼‍🎨	umjetnica: srednje svijetla boja kože
👩🏽‍🎨	umjetnica: srednja boja kože
👩🏾‍🎨	umjetnica: srednje tamna koža
👩🏿‍🎨	žena umjetnica: tamna boja kože
👨‍✈️	čovjek pilot
👨‍✈	čovjek pilot
👨🏻‍✈️	čovjek pilot: svijetla koža
👨🏻‍✈	čovjek pilot: svijetla koža
👨🏼‍✈️	muškarac pilot: srednje svijetla boja kože
👨🏼‍✈	muškarac pilot: srednje svijetla boja kože
👨🏽‍✈️	čovjek pilot: srednja boja kože
👨🏽‍✈	čovjek pilot: srednja boja kože
👨🏾‍✈️	čovjek pilot: srednje tamna koža
👨🏾‍✈	čovjek pilot: srednje tamna koža
👨🏿‍✈️	čovjek pilot: tamna koža
👨🏿‍✈	čovjek pilot: tamna koža
👩‍✈️	žena pilot
👩‍✈	žena pilot
👩🏻‍✈️	žena pilot: svijetla koža
👩🏻‍✈	žena pilot: svijetla koža
👩🏼‍✈️	žena pilot: srednje svijetla koža
👩🏼‍✈	žena pilot: srednje svijetla koža
👩🏽‍✈️	žena pilot: srednja boja kože
👩🏽‍✈	žena pilot: srednja boja kože
👩🏾‍✈️	žena pilot: srednje tamna koža
👩🏾‍✈	žena pilot: srednje tamna koža
👩🏿‍✈️	žena pilot: tamna koža
👩🏿‍✈	žena pilot: tamna koža
👨‍🚀	čovjek astronaut
👨🏻‍🚀	čovjek astronaut: svijetla boja kože
👨🏼‍🚀	čovjek astronaut: srednje svijetla boja kože
👨🏽‍🚀	čovjek astronaut: srednja boja kože
👨🏾‍🚀	čovjek astronaut: srednje tamna koža
👨🏿‍🚀	čovjek astronaut: tamna koža
👩‍🚀	žena astronaut
👩🏻‍🚀	žena astronaut: svijetla boja kože
👩🏼‍🚀	žena astronaut: srednje svijetla boja kože
👩🏽‍🚀	žena astronaut: srednja boja kože
👩🏾‍🚀	žena astronaut: srednje tamna koža
👩🏿‍🚀	žena astronaut: tamna koža
👨‍🚒	čovjek vatrogasac
👨🏻‍🚒	muškarac vatrogasac: svijetla koža
👨🏼‍🚒	muškarac vatrogasac: srednje svijetla koža
👨🏽‍🚒	muškarac vatrogasac: srednja boja kože
👨🏾‍🚒	muškarac vatrogasac: srednje tamna koža
👨🏿‍🚒	muškarac vatrogasac: tamna koža
👩‍🚒	žena vatrogasac
👩🏻‍🚒	žena vatrogasac: svijetla boja kože
👩🏼‍🚒	žena vatrogasac: srednje svijetla koža
👩🏽‍🚒	žena vatrogasac: srednja boja kože
👩🏾‍🚒	žena vatrogasac: srednje tamna koža
👩🏿‍🚒	žena vatrogasac: tamna koža
👮	policajac
👮🏻	policajac: svijetla koža
👮🏼	policajac: srednje svijetla koža
👮🏽	policajac: srednja boja kože
👮🏾	policajac: srednje tamna koža
👮🏿	policajac: tamna koža
👮‍♂️	čovjek policajac
👮‍♂	čovjek policajac
👮🏻‍♂️	muškarac policajac: svijetla koža
👮🏻‍♂	muškarac policajac: svijetla koža
👮🏼‍♂️	muškarac policajac: srednje svijetla boja kože
👮🏼‍♂	muškarac policajac: srednje svijetla boja kože
👮🏽‍♂️	muškarac policajac: srednja boja kože
👮🏽‍♂	muškarac policajac: srednja boja kože
👮🏾‍♂️	muškarac policajac: srednje tamna koža
👮🏾‍♂	muškarac policajac: srednje tamna koža
👮🏿‍♂️	muškarac policajac: tamna koža
👮🏿‍♂	muškarac policajac: tamna koža
👮‍♀️	žena policajac
👮‍♀	žena policajac
👮🏻‍♀️	žena policajac: svijetla koža
👮🏻‍♀	žena policajac: svijetla koža
👮🏼‍♀️	žena policajac: srednje svijetla boja kože
👮🏼‍♀	žena policajac: srednje svijetla boja kože
👮🏽‍♀️	žena policajac: srednja boja kože
👮🏽‍♀	žena policajac: srednja boja kože
👮🏾‍♀️	žena policajac: srednje tamna koža
👮🏾‍♀	žena policajac: srednje tamna koža
👮🏿‍♀️	žena policajac: tamna koža
👮🏿‍♀	žena policajac: tamna koža
🕵️	detektiv
🕵	detektiv
🕵🏻	detektiv: svijetla boja kože
🕵🏼	detektiv: srednje svijetla boja kože
🕵🏽	detektiv: srednja boja kože
🕵🏾	detektiv: srednje tamna koža
🕵🏿	detektiv: tamna koža
🕵️‍♂️	čovjek detektiv
🕵‍♂️	čovjek detektiv
🕵️‍♂	čovjek detektiv
🕵‍♂	čovjek detektiv
🕵🏻‍♂️	čovjek detektiv: svijetla koža
🕵🏻‍♂	čovjek detektiv: svijetla koža
🕵🏼‍♂️	čovjek detektiv: srednje svijetla boja kože
🕵🏼‍♂	čovjek detektiv: srednje svijetla boja kože
🕵🏽‍♂️	čovjek detektiv: srednja boja kože
🕵🏽‍♂	čovjek detektiv: srednja boja kože
🕵🏾‍♂️	čovjek detektiv: srednje tamna koža
🕵🏾‍♂	čovjek detektiv: srednje tamna koža
🕵🏿‍♂️	čovjek detektiv: tamna koža
🕵🏿‍♂	čovjek detektiv: tamna koža
🕵️‍♀️	žena detektivka
🕵‍♀️	žena detektivka
🕵️‍♀	žena detektivka
🕵‍♀	žena detektivka
🕵🏻‍♀️	žena detektiv: svijetla koža
🕵🏻‍♀	žena detektiv: svijetla koža
🕵🏼‍♀️	žena detektiv: srednje svijetla boja kože
🕵🏼‍♀	žena detektiv: srednje svijetla boja kože
🕵🏽‍♀️	žena detektiv: srednja boja kože
🕵🏽‍♀	žena detektiv: srednja boja kože
🕵🏾‍♀️	žena detektiv: srednje tamna koža
🕵🏾‍♀	žena detektiv: srednje tamna koža
🕵🏿‍♀️	žena detektiv: tamna koža
🕵🏿‍♀	žena detektiv: tamna koža
💂	straža
💂🏻	stražar: svijetla boja kože
💂🏼	stražar: srednje svijetla boja kože
💂🏽	stražar: srednja boja kože
💂🏾	stražar: srednje tamna koža
💂🏿	stražar: tamna boja kože
💂‍♂️	čovjek stražar
💂‍♂	čovjek stražar
💂🏻‍♂️	čovjek stražar: svijetla koža
💂🏻‍♂	čovjek stražar: svijetla koža
💂🏼‍♂️	čovjek stražar: srednje svijetla boja kože
💂🏼‍♂	čovjek stražar: srednje svijetla boja kože
💂🏽‍♂️	čovjek stražar: srednja boja kože
💂🏽‍♂	čovjek stražar: srednja boja kože
💂🏾‍♂️	čovjek stražar: srednje tamna koža
💂🏾‍♂	čovjek stražar: srednje tamna koža
💂🏿‍♂️	čovjek stražar: tamna boja kože
💂🏿‍♂	čovjek stražar: tamna boja kože
💂‍♀️	žena stražar
💂‍♀	žena stražar
💂🏻‍♀️	žena čuvar: svijetla koža
💂🏻‍♀	žena čuvar: svijetla koža
💂🏼‍♀️	žena čuvar: srednje svijetla koža
💂🏼‍♀	žena čuvar: srednje svijetla koža
💂🏽‍♀️	žena čuvar: srednja boja kože
💂🏽‍♀	žena čuvar: srednja boja kože
💂🏾‍♀️	žena čuvar: srednje tamna koža
💂🏾‍♀	žena čuvar: srednje tamna koža
💂🏿‍♀️	žena čuvar: tamna koža
💂🏿‍♀	žena čuvar: tamna koža
👷	građevinski radnik
👷🏻	građevinski radnik: svijetla koža
👷🏼	građevinski radnik: srednje svijetla boja kože
👷🏽	građevinski radnik: srednja boja kože
👷🏾	građevinski radnik: srednje tamna koža
👷🏿	građevinski radnik: tamna boja kože
👷‍♂️	muškarac građevinski radnik
👷‍♂	muškarac građevinski radnik
👷🏻‍♂️	muškarac građevinski radnik: svijetla koža
👷🏻‍♂	muškarac građevinski radnik: svijetla koža
👷🏼‍♂️	muškarac građevinski radnik: srednje svijetla boja kože
👷🏼‍♂	muškarac građevinski radnik: srednje svijetla boja kože
👷🏽‍♂️	muškarac građevinski radnik: srednja boja kože
👷🏽‍♂	muškarac građevinski radnik: srednja boja kože
👷🏾‍♂️	muškarac građevinski radnik: srednje tamna koža
👷🏾‍♂	muškarac građevinski radnik: srednje tamna koža
👷🏿‍♂️	muškarac građevinski radnik: tamna boja kože
👷🏿‍♂	muškarac građevinski radnik: tamna boja kože
👷‍♀️	žena građevinski radnik
👷‍♀	žena građevinski radnik
👷🏻‍♀️	žena građevinski radnik: svijetla boja kože
👷🏻‍♀	žena građevinski radnik: svijetla boja kože
👷🏼‍♀️	žena građevinski radnik: srednje svijetla boja kože
👷🏼‍♀	žena građevinski radnik: srednje svijetla boja kože
👷🏽‍♀️	žena građevinski radnik: srednja boja kože
👷🏽‍♀	žena građevinski radnik: srednja boja kože
👷🏾‍♀️	žena građevinski radnik: srednje tamna koža
👷🏾‍♀	žena građevinski radnik: srednje tamna koža
👷🏿‍♀️	žena građevinski radnik: tamna boja kože
👷🏿‍♀	žena građevinski radnik: tamna boja kože
🤴	princ
🤴🏻	princ: svijetla boja kože
🤴🏼	princ: srednje svijetla boja kože
🤴🏽	princ: srednja boja kože
🤴🏾	princ: srednje tamna koža
🤴🏿	princ: tamna boja kože
👸	princeza
👸🏻	princeza: svijetla koža
👸🏼	princeza: srednje svijetla boja kože
👸🏽	princeza: srednja boja kože
👸🏾	princeza: srednje tamna koža
👸🏿	princeza: tamna boja kože
👳	osoba koja nosi turban
👳🏻	osoba koja nosi turban: svijetla boja kože
👳🏼	osoba koja nosi turban: srednje svijetla boja kože
👳🏽	osoba koja nosi turban: srednja boja kože
👳🏾	osoba koja nosi turban: srednje tamna koža
👳🏿	osoba koja nosi turban: tamna koža
👳‍♂️	čovjek koji nosi turban
👳‍♂	čovjek koji nosi turban
👳🏻‍♂️	muškarac koji nosi turban: svijetla boja kože
👳🏻‍♂	muškarac koji nosi turban: svijetla boja kože
👳🏼‍♂️	muškarac koji nosi turban: srednje svijetla boja kože
👳🏼‍♂	muškarac koji nosi turban: srednje svijetla boja kože
👳🏽‍♂️	muškarac koji nosi turban: srednja boja kože
👳🏽‍♂	muškarac koji nosi turban: srednja boja kože
👳🏾‍♂️	muškarac koji nosi turban: srednje tamna koža
👳🏾‍♂	muškarac koji nosi turban: srednje tamna koža
👳🏿‍♂️	muškarac koji nosi turban: tamna koža
👳🏿‍♂	muškarac koji nosi turban: tamna koža
👳‍♀️	žena koja nosi turban
👳‍♀	žena koja nosi turban
👳🏻‍♀️	žena koja nosi turban: svijetla boja kože
👳🏻‍♀	žena koja nosi turban: svijetla boja kože
👳🏼‍♀️	žena s turbanom: srednje svijetla boja kože
👳🏼‍♀	žena s turbanom: srednje svijetla boja kože
👳🏽‍♀️	žena s turbanom: srednja boja kože
👳🏽‍♀	žena s turbanom: srednja boja kože
👳🏾‍♀️	žena s turbanom: srednje tamna koža
👳🏾‍♀	žena s turbanom: srednje tamna koža
👳🏿‍♀️	žena s turbanom: tamna koža
👳🏿‍♀	žena s turbanom: tamna koža
👲	čovjek s kineskom kapom
👲🏻	muškarac s kineskom kapom: svijetla boja kože
👲🏼	muškarac s kineskom kapom: srednje svijetla boja kože
👲🏽	muškarac s kineskom kapom: srednja boja kože
👲🏾	muškarac s kineskom kapom: srednje tamna koža
👲🏿	muškarac s kineskom kapom: tamna koža
🧕	žena s maramom
🧕🏻	žena s maramom: svijetla koža
🧕🏼	žena s maramom na glavi: srednje svijetla boja kože
🧕🏽	žena s maramom: srednja boja kože
🧕🏾	žena s maramom: srednje tamna koža
🧕🏿	žena s maramom: tamna koža
🧔	bradata osoba
🧔🏻	bradata osoba: svijetla boja kože
🧔🏼	bradata osoba: srednje svijetla boja kože
🧔🏽	bradata osoba: srednja boja kože
🧔🏾	bradata osoba: srednje tamna boja kože
🧔🏿	bradata osoba: tamna boja kože
👱	plavokosa osoba
👱🏻	plavokosa osoba: svijetla koža
👱🏼	plavokosa osoba: srednje svijetla boja kože
👱🏽	plavokosa osoba: srednja boja kože
👱🏾	plavokosa osoba: srednje tamna koža
👱🏿	plavokosa osoba: tamna boja kože
👱‍♂️	plavokos muškarac
👱‍♂	plavokos muškarac
👱🏻‍♂️	plavokosi muškarac: svijetla koža
👱🏻‍♂	plavokosi muškarac: svijetla koža
👱🏼‍♂️	plavokosi muškarac: srednje svijetla boja kože
👱🏼‍♂	plavokosi muškarac: srednje svijetla boja kože
👱🏽‍♂️	plavokosi muškarac: srednja boja kože
👱🏽‍♂	plavokosi muškarac: srednja boja kože
👱🏾‍♂️	plavokosi muškarac: srednje tamna koža
👱🏾‍♂	plavokosi muškarac: srednje tamna koža
👱🏿‍♂️	plavokosi muškarac: tamna koža
👱🏿‍♂	plavokosi muškarac: tamna koža
👱‍♀️	plavokosa žena
👱‍♀	plavokosa žena
👱🏻‍♀️	žena plave kose: svijetla koža
👱🏻‍♀	žena plave kose: svijetla koža
👱🏼‍♀️	žena plave kose: srednje svijetla boja kože
👱🏼‍♀	žena plave kose: srednje svijetla boja kože
👱🏽‍♀️	žena plave kose: srednja boja kože
👱🏽‍♀	žena plave kose: srednja boja kože
👱🏾‍♀️	žena plave kose: srednje tamna koža
👱🏾‍♀	žena plave kose: srednje tamna koža
👱🏿‍♀️	žena plave kose: tamna boja kože
👱🏿‍♀	žena plave kose: tamna boja kože
👨‍🦰	muškarac, crvenokos
👨🏻‍🦰	muškarac, crvenokos: svijetla koža
