😀	የሚስቅ ፊት
🧑🏿	አዋቂ: ጥቁር የቆዳ ቀለም
👨	ሰው
👨🏻	ሰው፡ ቀላል የቆዳ ቀለም
👨🏼	ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽	ሰው: መሃከለኛ የቆዳ ቀለም
👨🏾	ሰው: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿	ሰው: ጥቁር የቆዳ ቀለም
👩	ሴት
👩🏻	ሴት: ቀላል የቆዳ ቀለም
👩🏼	ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽	ሴት: መሃከለኛ የቆዳ ቀለም
👩🏾	ሴት: መሃከለኛ-ጥቁር የቆዳ ቀለም
👩🏿	ሴት: ጥቁር የቆዳ ቀለም
🧓	አረጋዊ አዋቂ
🧓🏻	ትልቅ ሰው፡ ቀላል የቆዳ ቀለም
🧓🏼	ትልቅ ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🧓🏽	ትልቅ ሰው፡ መሃከለኛ የቆዳ ቀለም
🧓🏾	አዛውንት: መሃከለኛ-ጥቁር የቆዳ ቀለም
🧓🏿	አረጋዊ: ጥቁር የቆዳ ቀለም
👴	ሽማግሌ
👴🏻	ሽማግሌ፡ ቀላል የቆዳ ቀለም
👴🏼	ሽማግሌ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👴🏽	አዛውንት: መሃከለኛ የቆዳ ቀለም
👴🏾	ሽማግሌ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👴🏿	ሽማግሌ: ጥቁር የቆዳ ቀለም
👵	አሮጊት
👵🏻	አሮጊት ሴት: ቀላል የቆዳ ቀለም
👵🏼	አሮጊት ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👵🏽	አሮጊት ሴት: መሃከለኛ የቆዳ ቀለም
👵🏾	አሮጊት ሴት: መሃከለኛ-ጥቁር የቆዳ ቀለም
👵🏿	አሮጊት ሴት: ጥቁር የቆዳ ቀለም
👨‍⚕️	ሰው የጤና ሰራተኛ
👨‍⚕	ሰው የጤና ሰራተኛ
👨🏻‍⚕️	ወንድ የጤና ባለሙያ፡ ቀላል የቆዳ ቀለም
👨🏻‍⚕	ወንድ የጤና ባለሙያ፡ ቀላል የቆዳ ቀለም
👨🏼‍⚕️	ወንድ የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏼‍⚕	ወንድ የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍⚕️	ወንድ የጤና ባለሙያ፡ መሃከለኛ የቆዳ ቀለም
👨🏽‍⚕	ወንድ የጤና ባለሙያ፡ መሃከለኛ የቆዳ ቀለም
👨🏾‍⚕️	ወንድ የጤና ባለሙያ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏾‍⚕	ወንድ የጤና ባለሙያ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍⚕️	ወንድ የጤና ባለሙያ: ጥቁር የቆዳ ቀለም
👨🏿‍⚕	ወንድ የጤና ባለሙያ: ጥቁር የቆዳ ቀለም
👩‍⚕️	ሴት የጤና ሰራተኛ
👩‍⚕	ሴት የጤና ሰራተኛ
👩🏻‍⚕️	ሴት የጤና ሰራተኛ፡ ቀላል የቆዳ ቀለም
👩🏻‍⚕	ሴት የጤና ሰራተኛ፡ ቀላል የቆዳ ቀለም
👩🏼‍⚕️	ሴት የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏼‍⚕	ሴት የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍⚕️	ሴት የጤና ሰራተኛ፡ መሃከለኛ የቆዳ ቀለም
👩🏽‍⚕	ሴት የጤና ሰራተኛ፡ መሃከለኛ የቆዳ ቀለም
👩🏾‍⚕️	ሴት የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏾‍⚕	ሴት የጤና ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍⚕️	ሴት የጤና ሰራተኛ፡ ጥቁር የቆዳ ቀለም
👩🏿‍⚕	ሴት የጤና ሰራተኛ፡ ጥቁር የቆዳ ቀለም
👨‍🎓	ወንድ ተማሪ
👨🏻‍🎓	ወንድ ተማሪ: ቀላል የቆዳ ቀለም
👨🏼‍🎓	ወንድ ተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🎓	ወንድ ተማሪ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🎓	ወንድ ተማሪ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🎓	ወንድ ተማሪ: ጥቁር የቆዳ ቀለም
👩‍🎓	ሴት ተማሪ
👩🏻‍🎓	ሴት ተማሪ: ቀላል የቆዳ ቀለም
👩🏼‍🎓	ሴት ተማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🎓	ሴት ተማሪ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🎓	ሴት ተማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🎓	ሴት ተማሪ: ጥቁር የቆዳ ቀለም
👨‍🏫	ሰው አስተማሪ
👨🏻‍🏫	ወንድ አስተማሪ: ቀላል የቆዳ ቀለም
👨🏼‍🏫	ወንድ አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🏫	ወንድ አስተማሪ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🏫	ወንድ አስተማሪ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🏫	ወንድ አስተማሪ: ጥቁር የቆዳ ቀለም
👩‍🏫	ሴት መምህር
👩🏻‍🏫	ሴት አስተማሪ: ቀላል የቆዳ ቀለም
👩🏼‍🏫	ሴት አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🏫	ሴት አስተማሪ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🏫	ሴት መምህር፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🏫	ሴት አስተማሪ: ጥቁር የቆዳ ቀለም
👨‍⚖️	ሰው ዳኛ
👨‍⚖	ሰው ዳኛ
👨🏻‍⚖️	ሰው ዳኛ: ቀላል የቆዳ ቀለም
👨🏻‍⚖	ሰው ዳኛ: ቀላል የቆዳ ቀለም
👨🏼‍⚖️	ሰው ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏼‍⚖	ሰው ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍⚖️	ሰው ዳኛ: መሃከለኛ የቆዳ ቀለም
👨🏽‍⚖	ሰው ዳኛ: መሃከለኛ የቆዳ ቀለም
👨🏾‍⚖️	ሰው ዳኛ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏾‍⚖	ሰው ዳኛ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍⚖️	ሰው ዳኛ: ጥቁር የቆዳ ቀለም
👨🏿‍⚖	ሰው ዳኛ: ጥቁር የቆዳ ቀለም
👩‍⚖️	ሴት ዳኛ
👩‍⚖	ሴት ዳኛ
👩🏻‍⚖️	ሴት ዳኛ: ቀላል የቆዳ ቀለም
👩🏻‍⚖	ሴት ዳኛ: ቀላል የቆዳ ቀለም
👩🏼‍⚖️	ሴት ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏼‍⚖	ሴት ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍⚖️	ሴት ዳኛ: መሃከለኛ የቆዳ ቀለም
👩🏽‍⚖	ሴት ዳኛ: መሃከለኛ የቆዳ ቀለም
👩🏾‍⚖️	ሴት ዳኛ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👩🏾‍⚖	ሴት ዳኛ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👩🏿‍⚖️	ሴት ዳኛ: ጥቁር የቆዳ ቀለም
👩🏿‍⚖	ሴት ዳኛ: ጥቁር የቆዳ ቀለም
👨‍🌾	ሰው ገበሬ
👨🏻‍🌾	ወንድ ገበሬ፡ ቀላል የቆዳ ቀለም
👨🏼‍🌾	ወንድ ገበሬ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🌾	ወንድ ገበሬ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🌾	ሰው ገበሬ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍🌾	ወንድ ገበሬ: ጥቁር የቆዳ ቀለም
👩‍🌾	ሴት ገበሬ
👩🏻‍🌾	ሴት ገበሬ፡ ቀላል የቆዳ ቀለም
👩🏼‍🌾	ሴት ገበሬ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🌾	ሴት ገበሬ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🌾	ሴት ገበሬ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🌾	ሴት ገበሬ: ጥቁር የቆዳ ቀለም
👨‍🍳	ሰው ማብሰል
👨🏻‍🍳	ሰው አብሳይ: ቀላል የቆዳ ቀለም
👨🏼‍🍳	ሰው አብሳይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🍳	ሰው አብሳይ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🍳	ሰው አብሳይ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🍳	ሰው አብሳይ: ጥቁር የቆዳ ቀለም
👩‍🍳	ሴት ምግብ አዘጋጅ
👩🏻‍🍳	ሴት ምግብ አዘጋጅ: ቀላል የቆዳ ቀለም
👩🏼‍🍳	ሴት ምግብ አዘጋጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🍳	ሴት ምግብ አዘጋጅ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🍳	ሴት ምግብ አዘጋጅ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👩🏿‍🍳	ሴት ምግብ አዘጋጅ: ጥቁር የቆዳ ቀለም
👨‍🔧	ሰው መካኒክ
👨🏻‍🔧	ሰው ሜካኒክ: ቀላል የቆዳ ቀለም
👨🏼‍🔧	ወንድ ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🔧	ወንድ ሜካኒክ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🔧	ሰው ሜካኒክ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🔧	ወንድ ሜካኒክ: ጥቁር የቆዳ ቀለም
👩‍🔧	ሴት መካኒክ
👩🏻‍🔧	ሴት ሜካኒክ: ቀላል የቆዳ ቀለም
👩🏼‍🔧	ሴት ሜካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🔧	ሴት ሜካኒክ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🔧	ሴት መካኒክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🔧	ሴት ሜካኒክ: ጥቁር የቆዳ ቀለም
👨‍🏭	ሰው የፋብሪካ ሰራተኛ
👨🏻‍🏭	ወንድ የፋብሪካ ሰራተኛ: ቀላል የቆዳ ቀለም
👨🏼‍🏭	ወንድ የፋብሪካ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🏭	ወንድ የፋብሪካ ሰራተኛ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🏭	ወንድ የፋብሪካ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍🏭	ወንድ የፋብሪካ ሰራተኛ: ጥቁር የቆዳ ቀለም
👩‍🏭	ሴት የፋብሪካ ሰራተኛ
👩🏻‍🏭	ሴት የፋብሪካ ሰራተኛ፡ ቀላል የቆዳ ቀለም
👩🏼‍🏭	ሴት የፋብሪካ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🏭	ሴት የፋብሪካ ሰራተኛ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🏭	ሴት የፋብሪካ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🏭	ሴት የፋብሪካ ሰራተኛ: ጥቁር የቆዳ ቀለም
👨‍💼	ሰው የቢሮ ሰራተኛ
👨🏻‍💼	ወንድ የቢሮ ሰራተኛ: ቀላል የቆዳ ቀለም
👨🏼‍💼	ወንድ የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍💼	ወንድ የቢሮ ሰራተኛ: መሃከለኛ የቆዳ ቀለም
👨🏾‍💼	ወንድ የቢሮ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍💼	ወንድ የቢሮ ሰራተኛ: ጥቁር የቆዳ ቀለም
👩‍💼	ሴት የቢሮ ሰራተኛ
👩🏻‍💼	ሴት የቢሮ ሰራተኛ፡ ቀላል የቆዳ ቀለም
👩🏼‍💼	ሴት የቢሮ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍💼	ሴት የቢሮ ሰራተኛ: መሃከለኛ የቆዳ ቀለም
👩🏾‍💼	ሴት የቢሮ ሰራተኛ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍💼	ሴት የቢሮ ሰራተኛ: ጥቁር የቆዳ ቀለም
👨‍🔬	ሰው ሳይንቲስት
👨🏻‍🔬	ሰው ሳይንቲስት: ቀላል የቆዳ ቀለም
👨🏼‍🔬	ሰው ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🔬	ሰው ሳይንቲስት: መሃከለኛ የቆዳ ቀለም
👨🏾‍🔬	ሰው ሳይንቲስት: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🔬	ሰው ሳይንቲስት: ጥቁር የቆዳ ቀለም
👩‍🔬	ሴት ሳይንቲስት
👩🏻‍🔬	ሴት ሳይንቲስት: ቀላል የቆዳ ቀለም
👩🏼‍🔬	ሴት ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🔬	ሴት ሳይንቲስት: መሃከለኛ የቆዳ ቀለም
👩🏾‍🔬	ሴት ሳይንቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🔬	ሴት ሳይንቲስት: ጥቁር የቆዳ ቀለም
👨‍💻	ሰው ቴክኖሎጅስት
👨🏻‍💻	ሰው ቴክኖሎጂስት: ቀላል የቆዳ ቀለም
👨🏼‍💻	ሰው ቴክኖሎጂስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍💻	ሰው ቴክኖሎጂስት: መሃከለኛ የቆዳ ቀለም
👨🏾‍💻	ሰው ቴክኖሎጂስት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍💻	ሰው ቴክኖሎጂስት: ጥቁር የቆዳ ቀለም
👩‍💻	ሴት የቴክኖሎጂ ባለሙያ
👩🏻‍💻	ሴት ቴክኖሎጅ: ቀላል የቆዳ ቀለም
👩🏼‍💻	ሴት ቴክኖሎጅስት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍💻	ሴት ቴክኖሎጂስት: መሃከለኛ የቆዳ ቀለም
👩🏾‍💻	ሴት ቴክኖሎጅስት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍💻	ሴት ቴክኖሎጅ: ጥቁር የቆዳ ቀለም
👨‍🎤	ሰው ዘፋኝ
👨🏻‍🎤	ወንድ ዘፋኝ: ቀላል የቆዳ ቀለም
👨🏼‍🎤	ወንድ ዘፋኝ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🎤	ወንድ ዘፋኝ: መሃከለኛ የቆዳ ቀለም
👨🏾‍🎤	ወንድ ዘፋኝ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🎤	ወንድ ዘፋኝ: ጥቁር የቆዳ ቀለም
👩‍🎤	ሴት ዘፋኝ
👩🏻‍🎤	ሴት ዘፋኝ: ቀላል የቆዳ ቀለም
👩🏼‍🎤	ሴት ዘፋኝ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🎤	ሴት ዘፋኝ: መሃከለኛ የቆዳ ቀለም
👩🏾‍🎤	ሴት ዘፋኝ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🎤	ሴት ዘፋኝ: ጥቁር የቆዳ ቀለም
👨‍🎨	ሰው አርቲስት
👨🏻‍🎨	ወንድ አርቲስት: ቀላል የቆዳ ቀለም
👨🏼‍🎨	ወንድ አርቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🎨	ወንድ አርቲስት: መሃከለኛ የቆዳ ቀለም
👨🏾‍🎨	ወንድ አርቲስት: መሃከለኛ-ጥቁር የቆዳ ቀለም
👨🏿‍🎨	ወንድ አርቲስት: ጥቁር የቆዳ ቀለም
👩‍🎨	ሴት አርቲስት
👩🏻‍🎨	ሴት አርቲስት: ቀላል የቆዳ ቀለም
👩🏼‍🎨	ሴት አርቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🎨	ሴት አርቲስት: መሃከለኛ የቆዳ ቀለም
👩🏾‍🎨	ሴት አርቲስት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🎨	ሴት አርቲስት: ጥቁር የቆዳ ቀለም
👨‍✈️	ሰው አብራሪ
👨‍✈	ሰው አብራሪ
👨🏻‍✈️	ሰው አብራሪ: ቀላል የቆዳ ቀለም
👨🏻‍✈	ሰው አብራሪ: ቀላል የቆዳ ቀለም
👨🏼‍✈️	ወንድ አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏼‍✈	ወንድ አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍✈️	ሰው አብራሪ: መሃከለኛ የቆዳ ቀለም
👨🏽‍✈	ሰው አብራሪ: መሃከለኛ የቆዳ ቀለም
👨🏾‍✈️	ወንድ አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏾‍✈	ወንድ አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍✈️	ሰው አብራሪ: ጥቁር የቆዳ ቀለም
👨🏿‍✈	ሰው አብራሪ: ጥቁር የቆዳ ቀለም
👩‍✈️	ሴት አብራሪ
👩‍✈	ሴት አብራሪ
👩🏻‍✈️	ሴት አብራሪ፡ ቀላል የቆዳ ቀለም
👩🏻‍✈	ሴት አብራሪ፡ ቀላል የቆዳ ቀለም
👩🏼‍✈️	ሴት አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏼‍✈	ሴት አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍✈️	ሴት አብራሪ፡ መሃከለኛ የቆዳ ቀለም
👩🏽‍✈	ሴት አብራሪ፡ መሃከለኛ የቆዳ ቀለም
👩🏾‍✈️	ሴት አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏾‍✈	ሴት አብራሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍✈️	ሴት አብራሪ: ጥቁር የቆዳ ቀለም
👩🏿‍✈	ሴት አብራሪ: ጥቁር የቆዳ ቀለም
👨‍🚀	ሰው የጠፈር ተመራማሪ
👨🏻‍🚀	ሰው የጠፈር ተመራማሪ፡ ቀላል የቆዳ ቀለም
👨🏼‍🚀	ሰው የጠፈር ተመራማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏽‍🚀	ሰው የጠፈር ተመራማሪ፡ መሃከለኛ የቆዳ ቀለም
👨🏾‍🚀	ሰው የጠፈር ተመራማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👨🏿‍🚀	ሰው የጠፈር ተመራማሪ፡ ጥቁር የቆዳ ቀለም
👩‍🚀	ሴት ጠፈርተኛ
👩🏻‍🚀	ሴት የጠፈር ተመራማሪ፡ ቀላል የቆዳ ቀለም
👩🏼‍🚀	ሴት የጠፈር ተመራማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏽‍🚀	ሴት የጠፈር ተመራማሪ፡ መሃከለኛ የቆዳ ቀለም
👩🏾‍🚀	ሴት የጠፈር ተመራማሪ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏿‍🚀	ሴት ጠፈርተኛ: ጥቁር የቆዳ ቀለም
👨‍🚒	ሰው የእሳት አደጋ መከላከያ ሠራተኛ
