😀	ನಗುವ ಮುಖ
😓	ಬೆವರಿನಿಂದ ಕೆಳಮುಖವಾದ ಮುಖ
😔	ಚಿಂತನಶೀಲ ಮುಖ
😕	ಗೊಂದಲದ ಮುಖ
🙃	ತಲೆಕೆಳಗಾದ ಮುಖ
🤑	ಹಣ-ಬಾಯಿ ಮುಖ
😲	ಆಶ್ಚರ್ಯದ ಮುಖ
☹️	ಗಂಟಿಕ್ಕಿದ ಮುಖ
☹	ಗಂಟಿಕ್ಕಿದ ಮುಖ
🙁	ಸ್ವಲ್ಪ ಗಂಟಿಕ್ಕಿದ ಮುಖ
😖	ಗೊಂದಲದ ಮುಖ
😞	ನಿರಾಶೆಯ ಮುಖ
😟	ಚಿಂತೆಯ ಮುಖ
😤	ಮೂಗಿನಿಂದ ಉಗಿ ಮುಖ
😢	ಅಳುವ ಮುಖ
😭	ಜೋರಾಗಿ ಅಳುವ ಮುಖ
😦	ತೆರೆದ ಬಾಯಿಯಿಂದ ಗಂಟಿಕ್ಕಿದ ಮುಖ
😧	ವೇದನೆಯ ಮುಖ
😨	ಭಯದ ಮುಖ
😩	ದಣಿದ ಮುಖ
🤯	ಸ್ಫೋಟಿಸುವ ತಲೆ
😬	ನಕ್ಕ ಮುಖ
😰	ಬೆವರಿನಿಂದ ಆತಂಕದ ಮುಖ
😱	ಭಯದಿಂದ ಕಿರುಚುವ ಮುಖ
🥵	ಬಿಸಿ ಮುಖ
🥶	ತಣ್ಣನೆಯ ಮುಖ
😳	ಅರಳಿದ ಮುಖ
🤪	ಜಾಣ ಮುಖ
😵	ತಲೆತಿರುಗುವ ಮುಖ
😡	ಚುಚ್ಚುವ ಮುಖ
😠	ಕೋಪದ ಮುಖ
🤬	ಬಾಯಿಯ ಮೇಲೆ ಚಿಹ್ನೆಗಳನ್ನು ಹೊಂದಿರುವ ಮುಖ
😷	ವೈದ್ಯಕೀಯ ಮುಖವಾಡದೊಂದಿಗೆ ಮುಖ
🤒	ಥರ್ಮಾಮೀಟರ್ನೊಂದಿಗೆ ಮುಖ
🤕	ತಲೆ ಬ್ಯಾಂಡೇಜ್ನೊಂದಿಗೆ ಮುಖ
🤢	ವಾಕರಿಕೆ ಮುಖ
🤮	ಮುಖ ವಾಂತಿ
🤧	ಸೀನುವ ಮುಖ
😇	ಪ್ರಭಾವಲಯದೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
🤠	ಕೌಬಾಯ್ ಟೋಪಿ ಮುಖ
🥳	ಪಾರ್ಟಿ ಮಾಡುವ ಮುಖ
🥴	ವೂಸಿ ಮುಖ
🥺	ಮನವಿ ಮುಖ
🤥	ಸುಳ್ಳು ಮುಖ
🤫	ಶುಶಿಂಗ್ ಮುಖ
🤭	ಮುಖದ ಮೇಲೆ ಕೈಯಿಂದ ಮುಖ
🧐	ಮೊನೊಕಲ್ನೊಂದಿಗೆ ಮುಖ
🤓	ದಡ್ಡ ಮುಖ
😈	ಕೊಂಬುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಮುಖ
👿	ಕೊಂಬುಗಳೊಂದಿಗೆ ಕೋಪದ ಮುಖ
🤡	ಕೋಡಂಗಿ ಮುಖ
👹	ಓಗ್ರೆ
👺	ತುಂಟ
💀	ತಲೆಬುರುಡೆ
☠️	ತಲೆಬುರುಡೆ ಮತ್ತು ಅಡ್ಡಾದ ಎಲುಬುಗಳು
☠	ತಲೆಬುರುಡೆ ಮತ್ತು ಅಡ್ಡಾದ ಎಲುಬುಗಳು
👻	ಭೂತ
👽	ಅನ್ಯಲೋಕದ
👾	ಅನ್ಯಲೋಕದ ದೈತ್ಯಾಕಾರದ
🤖	ರೋಬೋಟ್ ಮುಖ
💩	ಪೂ ರಾಶಿ
😺	ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ
😸	ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ಬೆಕ್ಕಿನ ಮುಖ
😹	ಸಂತೋಷದ ಕಣ್ಣೀರಿನಿಂದ ಬೆಕ್ಕಿನ ಮುಖ
😻	ಹೃದಯ-ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ
😼	ಬೆಕ್ಕಿನ ಮುಖದ ನಗು
😽	ಬೆಕ್ಕಿನ ಮುಖವನ್ನು ಚುಂಬಿಸುತ್ತಿದೆ
🙀	ದಣಿದ ಬೆಕ್ಕಿನ ಮುಖ
😿	ಅಳುವ ಬೆಕ್ಕಿನ ಮುಖ
😾	ಬೆಕ್ಕಿನ ಮುಖವನ್ನು ಹೊಡೆಯುವುದು
🙈	ನೋಡಿ-ನೋ-ದುಷ್ಟ ಕೋತಿ
🙉	ಕೇಳಲು-ಯಾವುದೇ ದುಷ್ಟ ಕೋತಿ
🙊	ಮಾತನಾಡು-ಯಾವುದೇ ದುಷ್ಟ ಕೋತಿ
🏻	ತಿಳಿ ಚರ್ಮದ ಟೋನ್
🏼	ಮಧ್ಯಮ-ತಿಳಿ ಚರ್ಮದ ಟೋನ್
🏽	ಮಧ್ಯಮ ಚರ್ಮದ ಟೋನ್
🏾	ಮಧ್ಯಮ-ಗಾಢ ಚರ್ಮದ ಟೋನ್
🏿	ಗಾಢ ಚರ್ಮದ ಟೋನ್
👶	ಮಗು
👶🏻	ಮಗು: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👶🏼	ಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👶🏽	ಮಗು: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👶🏾	ಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👶🏿	ಮಗು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧒	ಮಗು
🧒🏻	ಮಗು: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧒🏼	ಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧒🏽	ಮಗು: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧒🏾	ಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧒🏿	ಮಗು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👦	ಹುಡುಗ
👦🏻	ಹುಡುಗ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👦🏼	ಹುಡುಗ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👦🏽	ಹುಡುಗ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👦🏾	ಹುಡುಗ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👦🏿	ಹುಡುಗ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👧	ಹುಡುಗಿ
👧🏻	ಹುಡುಗಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👧🏼	ಹುಡುಗಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👧🏽	ಹುಡುಗಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👧🏾	ಹುಡುಗಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👧🏿	ಹುಡುಗಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧑	ವಯಸ್ಕ
🧑🏻	ವಯಸ್ಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧑🏼	ವಯಸ್ಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧑🏽	ವಯಸ್ಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧑🏾	ವಯಸ್ಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧑🏿	ವಯಸ್ಕ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
👨	ಮನುಷ್ಯ
👨🏻	ಮನುಷ್ಯ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼	ಮನುಷ್ಯ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽	ಪುರುಷ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾	ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿	ಪುರುಷ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩	ಮಹಿಳೆ
👩🏻	ಮಹಿಳೆ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼	ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽	ಮಹಿಳೆ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾	ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿	ಮಹಿಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🧓	ಹಿರಿಯ ವಯಸ್ಕ
🧓🏻	ಹಿರಿಯ ವಯಸ್ಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🧓🏼	ಹಿರಿಯ ವಯಸ್ಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧓🏽	ಹಿರಿಯ ವಯಸ್ಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🧓🏾	ಹಿರಿಯ ವಯಸ್ಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🧓🏿	ಹಿರಿಯ ವಯಸ್ಕ: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
👴	ಮುದುಕ
👴🏻	ಮುದುಕ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👴🏼	ಮುದುಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👴🏽	ಮುದುಕ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👴🏾	ಮುದುಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👴🏿	ಮುದುಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👵	ಮುದುಕಿ
👵🏻	ಮುದುಕಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👵🏼	ಮುದುಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👵🏽	ಮುದುಕಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👵🏾	ಮುದುಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👵🏿	ಮುದುಕಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍⚕️	ಮನುಷ್ಯ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ
👨‍⚕	ಮನುಷ್ಯ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ
👨🏻‍⚕️	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏻‍⚕	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍⚕️	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍⚕	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏽‍⚕️	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍⚕	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍⚕️	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏾‍⚕	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍⚕️	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍⚕	ಪುರುಷ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ
👩‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ
👩🏻‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏻‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍⚕️	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍⚕	ಮಹಿಳಾ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🎓	ಮನುಷ್ಯ ವಿದ್ಯಾರ್ಥಿ
👨🏻‍🎓	ವಿದ್ಯಾರ್ಥಿ ವಿದ್ಯಾರ್ಥಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🎓	ವಿದ್ಯಾರ್ಥಿ ವಿದ್ಯಾರ್ಥಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🎓	ವಿದ್ಯಾರ್ಥಿ ವಿದ್ಯಾರ್ಥಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🎓	ಪುರುಷ ವಿದ್ಯಾರ್ಥಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🎓	ವಿದ್ಯಾರ್ಥಿ ವಿದ್ಯಾರ್ಥಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🎓	ಮಹಿಳಾ ವಿದ್ಯಾರ್ಥಿನಿ
👩🏻‍🎓	ವಿದ್ಯಾರ್ಥಿನಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🎓	ವಿದ್ಯಾರ್ಥಿನಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🎓	ವಿದ್ಯಾರ್ಥಿನಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍🎓	ವಿದ್ಯಾರ್ಥಿನಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🎓	ವಿದ್ಯಾರ್ಥಿನಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🏫	ಮನುಷ್ಯ ಶಿಕ್ಷಕ
👨🏻‍🏫	ಪುರುಷ ಶಿಕ್ಷಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🏫	ಪುರುಷ ಶಿಕ್ಷಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🏫	ಪುರುಷ ಶಿಕ್ಷಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🏫	ಪುರುಷ ಶಿಕ್ಷಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🏫	ಪುರುಷ ಶಿಕ್ಷಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ
👩🏻‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🏫	ಮಹಿಳಾ ಶಿಕ್ಷಕಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍⚖️	ಮನುಷ್ಯ ನ್ಯಾಯಾಧೀಶ
👨‍⚖	ಮನುಷ್ಯ ನ್ಯಾಯಾಧೀಶ
👨🏻‍⚖️	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏻‍⚖	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍⚖️	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍⚖	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍⚖️	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍⚖	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍⚖️	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍⚖	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍⚖️	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍⚖	ಪುರುಷ ನ್ಯಾಯಾಧೀಶ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍⚖️	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು
👩‍⚖	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು
👩🏻‍⚖️	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏻‍⚖	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍⚖️	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍⚖	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍⚖️	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍⚖	ಮಹಿಳೆ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍⚖️	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍⚖	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍⚖️	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍⚖	ಮಹಿಳಾ ನ್ಯಾಯಾಧೀಶರು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🌾	ಮನುಷ್ಯ ರೈತ
👨🏻‍🌾	ರೈತ ರೈತ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍🌾	ರೈತ ರೈತ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏽‍🌾	ರೈತ ರೈತ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👨🏾‍🌾	ರೈತ ರೈತ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍🌾	ರೈತ ರೈತ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🌾	ಮಹಿಳೆ ರೈತ
👩🏻‍🌾	ರೈತ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🌾	ರೈತ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🌾	ರೈತ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
