😀	صورت پوزخند
😻	صورت گربه ای خندان با چشمان قلبی
😼	صورت گربه ای با لبخند هولناک
😽	بوسیدن صورت گربه
🙀	صورت خسته گربه
😿	صورت گربه گریان
😾	صورت گربه ی خفن
🙈	میمون نمیبینه
🙉	میمون بشنو
🙊	میمون حرف نزن
🏻	رنگ پوست روشن
🏼	رنگ پوست متوسط روشن
🏽	رنگ پوست متوسط
🏾	رنگ پوست متوسط تا تیره
🏿	رنگ پوست تیره
👶	عزیزم
👶🏻	کودک: رنگ پوست روشن
👶🏼	کودک: رنگ پوست متوسط تا روشن
👶🏽	کودک: رنگ پوست متوسط
👶🏾	کودک: رنگ پوست متوسط تا تیره
👶🏿	کودک: رنگ پوست تیره
🧒	کودک
🧒🏻	کودک: رنگ پوست روشن
🧒🏼	کودک: رنگ پوست متوسط تا روشن
🧒🏽	کودک: رنگ پوست متوسط
🧒🏾	کودک: رنگ پوست متوسط تا تیره
🧒🏿	کودک: رنگ پوست تیره
👦	پسر
👦🏻	پسر: رنگ پوست روشن
👦🏼	پسر: رنگ پوست متوسط و روشن
👦🏽	پسر: رنگ پوست متوسط
👦🏾	پسر: رنگ پوست متوسط تا تیره
👦🏿	پسر: رنگ پوست تیره
👧	دختر
👧🏻	دختر: رنگ پوست روشن
👧🏼	دختر: رنگ پوست متوسط روشن
👧🏽	دختر: رنگ پوست متوسط
👧🏾	دختر: رنگ پوست متوسط تا تیره
👧🏿	دختر: رنگ پوست تیره
🧑	بالغ
🧑🏻	بزرگسالان: رنگ پوست روشن
🧑🏼	بزرگسالان: رنگ پوست متوسط تا روشن
🧑🏽	بزرگسالان: رنگ پوست متوسط
🧑🏾	بزرگسالان: رنگ پوست متوسط تا تیره
🧑🏿	بزرگسالان: رنگ پوست تیره
👨	مرد
👨🏻	مرد: رنگ پوست روشن
👨🏼	مرد: رنگ پوست متوسط تا روشن
👨🏽	مرد: رنگ پوست متوسط
👨🏾	مرد: رنگ پوست متوسط تا تیره
👨🏿	مرد: رنگ پوست تیره
👩	زن
👩🏻	زن: رنگ پوست روشن
👩🏼	زن: رنگ پوست متوسط تا روشن
👩🏽	زن: رنگ پوست متوسط
👩🏾	زن: رنگ پوست متوسط تا تیره
👩🏿	زن: رنگ پوست تیره
🧓	بزرگسالان مسن
🧓🏻	بزرگسالان مسن: رنگ پوست روشن
🧓🏼	بزرگسالان مسن: رنگ پوست متوسط تا روشن
🧓🏽	بزرگسالان مسن: رنگ پوست متوسط
🧓🏾	بزرگسالان مسن: رنگ پوست متوسط تا تیره
🧓🏿	بزرگسالان مسن: رنگ پوست تیره
👴	پیرمرد
👴🏻	پیرمرد: رنگ پوست روشن
👴🏼	پیرمرد: رنگ پوست متوسط تا روشن
👴🏽	پیرمرد: رنگ پوست متوسط
👴🏾	پیرمرد: رنگ پوست متوسط تا تیره
👴🏿	پیرمرد: رنگ پوست تیره
👵	پیرزن
👵🏻	پیرزن: رنگ پوست روشن
👵🏼	پیرزن: رنگ پوست متوسط تا روشن
👵🏽	پیرزن: رنگ پوست متوسط
👵🏾	پیرزن: رنگ پوست متوسط تا تیره
👵🏿	پیرزن: رنگ پوست تیره
👨‍⚕️	کارمند بهداشت مرد
👨‍⚕	کارمند بهداشت مرد
👨🏻‍⚕️	کارمند بهداشت مرد: رنگ پوست روشن
👨🏻‍⚕	کارمند بهداشت مرد: رنگ پوست روشن
👨🏼‍⚕️	کارمند بهداشت مرد: رنگ پوست متوسط تا روشن
👨🏼‍⚕	کارمند بهداشت مرد: رنگ پوست متوسط تا روشن
👨🏽‍⚕️	کارمند بهداشت مرد: رنگ پوست متوسط
👨🏽‍⚕	کارمند بهداشت مرد: رنگ پوست متوسط
👨🏾‍⚕️	کارمند بهداشت مرد: رنگ پوست متوسط تا تیره
👨🏾‍⚕	کارمند بهداشت مرد: رنگ پوست متوسط تا تیره
👨🏿‍⚕️	کارمند بهداشت مرد: رنگ پوست تیره
👨🏿‍⚕	کارمند بهداشت مرد: رنگ پوست تیره
👩‍⚕️	کارمند بهداشت زن
👩‍⚕	کارمند بهداشت زن
👩🏻‍⚕️	کارمند بهداشت زن: رنگ پوست روشن
👩🏻‍⚕	کارمند بهداشت زن: رنگ پوست روشن
👩🏼‍⚕️	کارمند بهداشت زن: رنگ پوست متوسط تا روشن
👩🏼‍⚕	کارمند بهداشت زن: رنگ پوست متوسط تا روشن
👩🏽‍⚕️	کارمند بهداشت زن: رنگ پوست متوسط
👩🏽‍⚕	کارمند بهداشت زن: رنگ پوست متوسط
👩🏾‍⚕️	کارمند بهداشت زن: رنگ پوست متوسط تا تیره
👩🏾‍⚕	کارمند بهداشت زن: رنگ پوست متوسط تا تیره
👩🏿‍⚕️	کارمند بهداشت زن: رنگ پوست تیره
👩🏿‍⚕	کارمند بهداشت زن: رنگ پوست تیره
👨‍🎓	دانشجوی مرد
👨🏻‍🎓	دانشجوی مرد: رنگ پوست روشن
👨🏼‍🎓	دانشجوی مرد: رنگ پوست متوسط تا روشن
👨🏽‍🎓	دانشجوی مرد: رنگ پوست متوسط
👨🏾‍🎓	دانشجوی مرد: رنگ پوست متوسط تا تیره
👨🏿‍🎓	دانشجوی مرد: رنگ پوست تیره
👩‍🎓	دانشجوی زن
👩🏻‍🎓	دانشجوی زن: رنگ پوست روشن
👩🏼‍🎓	دانشجوی زن: رنگ پوست متوسط تا روشن
👩🏽‍🎓	دانشجوی زن: رنگ پوست متوسط
👩🏾‍🎓	دانشجوی زن: رنگ پوست متوسط تا تیره
👩🏿‍🎓	دانشجوی زن: رنگ پوست تیره
👨‍🏫	معلم مرد
👨🏻‍🏫	معلم مرد: رنگ پوست روشن
👨🏼‍🏫	معلم مرد: رنگ پوست متوسط تا روشن
👨🏽‍🏫	معلم مرد: رنگ پوست متوسط
👨🏾‍🏫	معلم مرد: رنگ پوست متوسط تا تیره
👨🏿‍🏫	معلم مرد: رنگ پوست تیره
👩‍🏫	معلم زن
👩🏻‍🏫	معلم زن: رنگ پوست روشن
👩🏼‍🏫	معلم زن: رنگ پوست متوسط تا روشن
👩🏽‍🏫	معلم زن: رنگ پوست متوسط
👩🏾‍🏫	معلم زن: رنگ پوست متوسط تا تیره
👩🏿‍🏫	معلم زن: رنگ پوست تیره
👨‍⚖️	مرد قاضی
👨‍⚖	مرد قاضی
👨🏻‍⚖️	قاضی مرد: رنگ پوست روشن
👨🏻‍⚖	قاضی مرد: رنگ پوست روشن
👨🏼‍⚖️	قاضی مرد: رنگ پوست متوسط و روشن
👨🏼‍⚖	قاضی مرد: رنگ پوست متوسط و روشن
👨🏽‍⚖️	قاضی مرد: رنگ پوست متوسط
👨🏽‍⚖	قاضی مرد: رنگ پوست متوسط
👨🏾‍⚖️	مرد داور: رنگ پوست متوسط تا تیره
👨🏾‍⚖	مرد داور: رنگ پوست متوسط تا تیره
👨🏿‍⚖️	مرد داور: رنگ پوست تیره
👨🏿‍⚖	مرد داور: رنگ پوست تیره
👩‍⚖️	قاضی زن
👩‍⚖	قاضی زن
👩🏻‍⚖️	قاضی زن: رنگ پوست روشن
👩🏻‍⚖	قاضی زن: رنگ پوست روشن
👩🏼‍⚖️	قاضی زن: رنگ پوست متوسط تا روشن
👩🏼‍⚖	قاضی زن: رنگ پوست متوسط تا روشن
👩🏽‍⚖️	قاضی زن: رنگ پوست متوسط
👩🏽‍⚖	قاضی زن: رنگ پوست متوسط
👩🏾‍⚖️	داور زن: رنگ پوست متوسط تا تیره
👩🏾‍⚖	داور زن: رنگ پوست متوسط تا تیره
👩🏿‍⚖️	قاضی زن: رنگ پوست تیره
👩🏿‍⚖	قاضی زن: رنگ پوست تیره
👨‍🌾	مرد کشاورز
👨🏻‍🌾	مرد کشاورز: رنگ پوست روشن
👨🏼‍🌾	مرد کشاورز: رنگ پوست متوسط تا روشن
👨🏽‍🌾	مرد کشاورز: رنگ پوست متوسط
👨🏾‍🌾	مرد کشاورز: رنگ پوست متوسط تا تیره
👨🏿‍🌾	مرد کشاورز: رنگ پوست تیره
👩‍🌾	زن کشاورز
👩🏻‍🌾	زن کشاورز: رنگ پوست روشن
👩🏼‍🌾	زن کشاورز: رنگ پوست متوسط تا روشن
👩🏽‍🌾	زن کشاورز: رنگ پوست متوسط
👩🏾‍🌾	زن کشاورز: رنگ پوست متوسط تا تیره
👩🏿‍🌾	زن کشاورز: رنگ پوست تیره
👨‍🍳	مرد آشپز
👨🏻‍🍳	مرد آشپز: رنگ پوست روشن
👨🏼‍🍳	مرد آشپز: رنگ پوست متوسط تا روشن
👨🏽‍🍳	مرد آشپز: رنگ پوست متوسط
👨🏾‍🍳	مرد آشپز: رنگ پوست متوسط تا تیره
👨🏿‍🍳	مرد آشپز: رنگ پوست تیره
👩‍🍳	آشپز زن
👩🏻‍🍳	آشپز زن: رنگ پوست روشن
👩🏼‍🍳	آشپز زن: رنگ پوست متوسط تا روشن
👩🏽‍🍳	آشپز زن: رنگ پوست متوسط
👩🏾‍🍳	آشپز زن: رنگ پوست متوسط تا تیره
👩🏿‍🍳	آشپز زن: رنگ پوست تیره
👨‍🔧	مرد مکانیک
👨🏻‍🔧	مرد مکانیک: رنگ پوست روشن
👨🏼‍🔧	مرد مکانیک: رنگ پوست متوسط تا روشن
👨🏽‍🔧	مرد مکانیک: رنگ پوست متوسط
👨🏾‍🔧	مرد مکانیک: رنگ پوست متوسط تا تیره
👨🏿‍🔧	مرد مکانیک: رنگ پوست تیره
👩‍🔧	مکانیک زن
👩🏻‍🔧	مکانیک زن: رنگ پوست روشن
👩🏼‍🔧	مکانیک زن: رنگ پوست متوسط تا روشن
👩🏽‍🔧	مکانیک زن: رنگ پوست متوسط
👩🏾‍🔧	مکانیک زن: رنگ پوست متوسط تا تیره
👩🏿‍🔧	مکانیک زن: رنگ پوست تیره
👨‍🏭	مرد کارگر کارخانه
👨🏻‍🏭	مرد کارگر کارخانه: رنگ پوست روشن
👨🏼‍🏭	مرد کارگر کارخانه: رنگ پوست متوسط تا روشن
👨🏽‍🏭	مرد کارگر کارخانه: رنگ پوست متوسط
👨🏾‍🏭	مرد کارگر کارخانه: رنگ پوست متوسط تا تیره
👨🏿‍🏭	مرد کارگر کارخانه: رنگ پوست تیره
👩‍🏭	کارگر زن کارخانه
👩🏻‍🏭	زن کارگر کارخانه: رنگ پوست روشن
👩🏼‍🏭	زن کارگر کارخانه: رنگ پوست متوسط تا روشن
👩🏽‍🏭	زن کارگر کارخانه: رنگ پوست متوسط
👩🏾‍🏭	زن کارگر کارخانه: رنگ پوست متوسط تا تیره
👩🏿‍🏭	زن کارگر کارخانه: رنگ پوست تیره
👨‍💼	مرد کارمند اداری
👨🏻‍💼	مرد کارمند اداری: رنگ پوست روشن
👨🏼‍💼	مرد کارمند اداری: رنگ پوست متوسط تا روشن
👨🏽‍💼	مرد کارمند اداری: رنگ پوست متوسط
👨🏾‍💼	مرد کارمند اداری: رنگ پوست متوسط تا تیره
👨🏿‍💼	مرد کارمند اداری: رنگ پوست تیره
👩‍💼	کارمند دفتر زن
👩🏻‍💼	خانم کارمند اداری: رنگ پوست روشن
👩🏼‍💼	خانم کارمند اداری: رنگ پوست متوسط تا روشن
👩🏽‍💼	خانم کارمند اداری: رنگ پوست متوسط
👩🏾‍💼	خانم کارمند اداری: رنگ پوست متوسط تا تیره
👩🏿‍💼	خانم کارمند اداری: رنگ پوست تیره
👨‍🔬	مرد دانشمند
👨🏻‍🔬	مرد دانشمند: رنگ پوست روشن
👨🏼‍🔬	مرد دانشمند: رنگ پوست متوسط تا روشن
👨🏽‍🔬	مرد دانشمند: رنگ پوست متوسط
👨🏾‍🔬	مرد دانشمند: رنگ پوست متوسط تا تیره
👨🏿‍🔬	مرد دانشمند: رنگ پوست تیره
👩‍🔬	زن دانشمند
👩🏻‍🔬	زن دانشمند: رنگ پوست روشن
👩🏼‍🔬	زن دانشمند: رنگ پوست متوسط تا روشن
👩🏽‍🔬	زن دانشمند: رنگ پوست متوسط
👩🏾‍🔬	زن دانشمند: رنگ پوست متوسط تا تیره
👩🏿‍🔬	زن دانشمند: رنگ پوست تیره
👨‍💻	مرد فناور
👨🏻‍💻	مرد فن: رنگ پوست روشن
👨🏼‍💻	مرد فن: رنگ پوست متوسط تا روشن
👨🏽‍💻	مرد فن: رنگ پوست متوسط
👨🏾‍💻	مرد فن: رنگ پوست متوسط تا تیره
👨🏿‍💻	مرد فن: رنگ پوست تیره
👩‍💻	زن فناور
👩🏻‍💻	زن فن: رنگ پوست روشن
👩🏼‍💻	زن فن: رنگ پوست متوسط تا روشن
👩🏽‍💻	زن فن: رنگ پوست متوسط
👩🏾‍💻	زن فن: رنگ پوست متوسط تا تیره
👩🏿‍💻	زن فن: رنگ پوست تیره
👨‍🎤	مرد خواننده
👨🏻‍🎤	مرد خواننده: رنگ پوست روشن
👨🏼‍🎤	خواننده مرد: رنگ پوست متوسط تا روشن
👨🏽‍🎤	مرد خواننده: رنگ پوست متوسط
👨🏾‍🎤	خواننده مرد: رنگ پوست متوسط تا تیره
👨🏿‍🎤	مرد خواننده: رنگ پوست تیره
👩‍🎤	خواننده زن
👩🏻‍🎤	خواننده زن: رنگ پوست روشن
👩🏼‍🎤	خواننده زن: رنگ پوست متوسط تا روشن
👩🏽‍🎤	خواننده زن: رنگ پوست متوسط
👩🏾‍🎤	خواننده زن: رنگ پوست متوسط تا تیره
👩🏿‍🎤	خواننده زن: رنگ پوست تیره
👨‍🎨	مرد هنرمند
👨🏻‍🎨	مرد هنرمند: رنگ پوست روشن
👨🏼‍🎨	مرد هنرمند: رنگ پوست متوسط تا روشن
👨🏽‍🎨	مرد هنرمند: رنگ پوست متوسط
👨🏾‍🎨	مرد هنرمند: رنگ پوست متوسط تا تیره
👨🏿‍🎨	مرد هنرمند: رنگ پوست تیره
👩‍🎨	زن هنرمند
👩🏻‍🎨	هنرمند زن: رنگ پوست روشن
👩🏼‍🎨	هنرمند زن: رنگ پوست متوسط تا روشن
👩🏽‍🎨	هنرمند زن: رنگ پوست متوسط
👩🏾‍🎨	هنرمند زن: رنگ پوست متوسط تا تیره
👩🏿‍🎨	هنرمند زن: رنگ پوست تیره
👨‍✈️	مرد خلبان
👨‍✈	مرد خلبان
👨🏻‍✈️	مرد خلبان: رنگ پوست روشن
👨🏻‍✈	مرد خلبان: رنگ پوست روشن
👨🏼‍✈️	مرد خلبان: رنگ پوست متوسط تا روشن
👨🏼‍✈	مرد خلبان: رنگ پوست متوسط تا روشن
👨🏽‍✈️	مرد خلبان: رنگ پوست متوسط
👨🏽‍✈	مرد خلبان: رنگ پوست متوسط
👨🏾‍✈️	مرد خلبان: رنگ پوست متوسط تا تیره
👨🏾‍✈	مرد خلبان: رنگ پوست متوسط تا تیره
👨🏿‍✈️	مرد خلبان: رنگ پوست تیره
👨🏿‍✈	مرد خلبان: رنگ پوست تیره
👩‍✈️	خلبان زن
👩‍✈	خلبان زن
👩🏻‍✈️	خلبان زن: رنگ پوست روشن
👩🏻‍✈	خلبان زن: رنگ پوست روشن
👩🏼‍✈️	خلبان زن: رنگ پوست متوسط تا روشن
👩🏼‍✈	خلبان زن: رنگ پوست متوسط تا روشن
👩🏽‍✈️	خلبان زن: رنگ پوست متوسط
👩🏽‍✈	خلبان زن: رنگ پوست متوسط
👩🏾‍✈️	خلبان زن: رنگ پوست متوسط تا تیره
👩🏾‍✈	خلبان زن: رنگ پوست متوسط تا تیره
👩🏿‍✈️	خلبان زن: رنگ پوست تیره
👩🏿‍✈	خلبان زن: رنگ پوست تیره
👨‍🚀	مرد فضانورد
👨🏻‍🚀	مرد فضانورد: رنگ پوست روشن
👨🏼‍🚀	مرد فضانورد: رنگ پوست متوسط تا روشن
👨🏽‍🚀	مرد فضانورد: رنگ پوست متوسط
👨🏾‍🚀	مرد فضانورد: رنگ پوست متوسط تا تیره
👨🏿‍🚀	مرد فضانورد: رنگ پوست تیره
👩‍🚀	زن فضانورد
👩🏻‍🚀	زن فضانورد: رنگ پوست روشن
👩🏼‍🚀	زن فضانورد: رنگ پوست متوسط تا روشن
👩🏽‍🚀	زن فضانورد: رنگ پوست متوسط
👩🏾‍🚀	زن فضانورد: رنگ پوست متوسط تا تیره
👩🏿‍🚀	زن فضانورد: رنگ پوست تیره
👨‍🚒	مرد آتش نشان
👨🏻‍🚒	مرد آتش نشان: رنگ پوست روشن
👨🏼‍🚒	مرد آتش نشان: رنگ پوست متوسط تا روشن
👨🏽‍🚒	مرد آتش نشان: رنگ پوست متوسط
👨🏾‍🚒	مرد آتش نشان: رنگ پوست متوسط تا تیره
👨🏿‍🚒	مرد آتش نشان: رنگ پوست تیره
👩‍🚒	زن آتش نشان
👩🏻‍🚒	زن آتش نشان: رنگ پوست روشن
👩🏼‍🚒	زن آتش نشان: رنگ پوست متوسط تا روشن
👩🏽‍🚒	زن آتش نشان: رنگ پوست متوسط
👩🏾‍🚒	زن آتش نشان: رنگ پوست متوسط تا تیره
👩🏿‍🚒	زن آتش نشان: رنگ پوست تیره
👮	افسر پلیس
👮🏻	افسر پلیس: رنگ پوست روشن
👮🏼	افسر پلیس: رنگ پوست متوسط و روشن
👮🏽	افسر پلیس: رنگ پوست متوسط
👮🏾	افسر پلیس: رنگ پوست متوسط تا تیره
👮🏿	افسر پلیس: رنگ پوست تیره
👮‍♂️	مرد افسر پلیس
👮‍♂	مرد افسر پلیس
👮🏻‍♂️	مرد افسر پلیس: رنگ پوست روشن
👮🏻‍♂	مرد افسر پلیس: رنگ پوست روشن
👮🏼‍♂️	افسر پلیس مرد: رنگ پوست متوسط تا روشن
👮🏼‍♂	افسر پلیس مرد: رنگ پوست متوسط تا روشن
👮🏽‍♂️	مرد افسر پلیس: رنگ پوست متوسط
👮🏽‍♂	مرد افسر پلیس: رنگ پوست متوسط
👮🏾‍♂️	افسر پلیس مرد: رنگ پوست متوسط تا تیره
👮🏾‍♂	افسر پلیس مرد: رنگ پوست متوسط تا تیره
👮🏿‍♂️	مرد افسر پلیس: رنگ پوست تیره
👮🏿‍♂	مرد افسر پلیس: رنگ پوست تیره
👮‍♀️	افسر پلیس زن
👮‍♀	افسر پلیس زن
👮🏻‍♀️	افسر پلیس زن: رنگ پوست روشن
👮🏻‍♀	افسر پلیس زن: رنگ پوست روشن
👮🏼‍♀️	افسر پلیس زن: رنگ پوست متوسط تا روشن
👮🏼‍♀	افسر پلیس زن: رنگ پوست متوسط تا روشن
👮🏽‍♀️	افسر پلیس زن: رنگ پوست متوسط
👮🏽‍♀	افسر پلیس زن: رنگ پوست متوسط
👮🏾‍♀️	افسر پلیس زن: رنگ پوست متوسط تا تیره
👮🏾‍♀	افسر پلیس زن: رنگ پوست متوسط تا تیره
👮🏿‍♀️	افسر پلیس زن: رنگ پوست تیره
👮🏿‍♀	افسر پلیس زن: رنگ پوست تیره
🕵️	کاراگاه
🕵	کاراگاه
🕵🏻	کارآگاه: رنگ پوست روشن
🕵🏼	کارآگاه: رنگ پوست متوسط تا روشن
🕵🏽	کارآگاه: رنگ پوست متوسط
🕵🏾	کارآگاه: رنگ پوست متوسط تا تیره
🕵🏿	کارآگاه: رنگ پوست تیره
🕵️‍♂️	مرد کارآگاه
🕵‍♂️	مرد کارآگاه
🕵️‍♂	مرد کارآگاه
🕵‍♂	مرد کارآگاه
🕵🏻‍♂️	مرد کاراگاه: رنگ پوست روشن
🕵🏻‍♂	مرد کاراگاه: رنگ پوست روشن
🕵🏼‍♂️	مرد کاراگاه: رنگ پوست متوسط تا روشن
🕵🏼‍♂	مرد کاراگاه: رنگ پوست متوسط تا روشن
🕵🏽‍♂️	کارآگاه مرد: رنگ پوست متوسط
🕵🏽‍♂	کارآگاه مرد: رنگ پوست متوسط
🕵🏾‍♂️	مرد کارآگاه: رنگ پوست متوسط تا تیره
🕵🏾‍♂	مرد کارآگاه: رنگ پوست متوسط تا تیره
🕵🏿‍♂️	مرد کارآگاه: رنگ پوست تیره
🕵🏿‍♂	مرد کارآگاه: رنگ پوست تیره
🕵️‍♀️	کارآگاه زن
🕵‍♀️	کارآگاه زن
🕵️‍♀	کارآگاه زن
🕵‍♀	کارآگاه زن
🕵🏻‍♀️	کارآگاه زن: رنگ پوست روشن
🕵🏻‍♀	کارآگاه زن: رنگ پوست روشن
🕵🏼‍♀️	کارآگاه زن: رنگ پوست متوسط تا روشن
🕵🏼‍♀	کارآگاه زن: رنگ پوست متوسط تا روشن
🕵🏽‍♀️	کارآگاه زن: رنگ پوست متوسط
🕵🏽‍♀	کارآگاه زن: رنگ پوست متوسط
🕵🏾‍♀️	کارآگاه زن: رنگ پوست متوسط تا تیره
🕵🏾‍♀	کارآگاه زن: رنگ پوست متوسط تا تیره
🕵🏿‍♀️	کارآگاه زن: رنگ پوست تیره
🕵🏿‍♀	کارآگاه زن: رنگ پوست تیره
💂	نگهبان
💂🏻	محافظ: رنگ پوست روشن
💂🏼	محافظ: رنگ پوست متوسط تا روشن
💂🏽	محافظ: رنگ پوست متوسط
💂🏾	محافظ: رنگ پوست متوسط تا تیره
💂🏿	محافظ: رنگ پوست تیره
💂‍♂️	نگهبان مرد
💂‍♂	نگهبان مرد
💂🏻‍♂️	محافظ مرد: رنگ پوست روشن
💂🏻‍♂	محافظ مرد: رنگ پوست روشن
💂🏼‍♂️	محافظ مرد: رنگ پوست متوسط تا روشن
💂🏼‍♂	محافظ مرد: رنگ پوست متوسط تا روشن
💂🏽‍♂️	محافظ مرد: رنگ پوست متوسط
💂🏽‍♂	محافظ مرد: رنگ پوست متوسط
💂🏾‍♂️	محافظ مرد: رنگ پوست متوسط تا تیره
💂🏾‍♂	محافظ مرد: رنگ پوست متوسط تا تیره
💂🏿‍♂️	محافظ مرد: رنگ پوست تیره
💂🏿‍♂	محافظ مرد: رنگ پوست تیره
💂‍♀️	نگهبان زن
💂‍♀	نگهبان زن
💂🏻‍♀️	محافظ زن: رنگ پوست روشن
💂🏻‍♀	محافظ زن: رنگ پوست روشن
💂🏼‍♀️	محافظ زن: رنگ پوست متوسط تا روشن
💂🏼‍♀	محافظ زن: رنگ پوست متوسط تا روشن
💂🏽‍♀️	محافظ زن: رنگ پوست متوسط
💂🏽‍♀	محافظ زن: رنگ پوست متوسط
💂🏾‍♀️	محافظ زن: رنگ پوست متوسط تا تیره
💂🏾‍♀	محافظ زن: رنگ پوست متوسط تا تیره
💂🏿‍♀️	محافظ زن: رنگ پوست تیره
💂🏿‍♀	محافظ زن: رنگ پوست تیره
👷	کارگر ساختمانی
👷🏻	کارگر ساختمانی: رنگ پوست روشن
👷🏼	کارگر ساختمانی: رنگ پوست متوسط و روشن
👷🏽	کارگر ساختمانی: رنگ پوست متوسط
👷🏾	کارگر ساختمانی: رنگ پوست متوسط تا تیره
👷🏿	کارگر ساختمانی: رنگ پوست تیره
👷‍♂️	مرد کارگر ساختمانی
👷‍♂	مرد کارگر ساختمانی
👷🏻‍♂️	مرد کارگر ساختمانی: رنگ پوست روشن
👷🏻‍♂	مرد کارگر ساختمانی: رنگ پوست روشن
👷🏼‍♂️	مرد کارگر ساختمانی: رنگ پوست متوسط تا روشن
👷🏼‍♂	مرد کارگر ساختمانی: رنگ پوست متوسط تا روشن
👷🏽‍♂️	مرد کارگر ساختمانی: رنگ پوست متوسط
👷🏽‍♂	مرد کارگر ساختمانی: رنگ پوست متوسط
👷🏾‍♂️	مرد کارگر ساختمانی: رنگ پوست متوسط تا تیره
👷🏾‍♂	مرد کارگر ساختمانی: رنگ پوست متوسط تا تیره
👷🏿‍♂️	مرد کارگر ساختمانی: رنگ پوست تیره
👷🏿‍♂	مرد کارگر ساختمانی: رنگ پوست تیره
👷‍♀️	زن کارگر ساختمانی
👷‍♀	زن کارگر ساختمانی
👷🏻‍♀️	زن کارگر ساختمانی: رنگ پوست روشن
👷🏻‍♀	زن کارگر ساختمانی: رنگ پوست روشن
👷🏼‍♀️	زن کارگر ساختمانی: رنگ پوست متوسط تا روشن
👷🏼‍♀	زن کارگر ساختمانی: رنگ پوست متوسط تا روشن
👷🏽‍♀️	زن کارگر ساختمانی: رنگ پوست متوسط
👷🏽‍♀	زن کارگر ساختمانی: رنگ پوست متوسط
👷🏾‍♀️	زن کارگر ساختمانی: رنگ پوست متوسط تا تیره
👷🏾‍♀	زن کارگر ساختمانی: رنگ پوست متوسط تا تیره
👷🏿‍♀️	زن کارگر ساختمانی: رنگ پوست تیره
👷🏿‍♀	زن کارگر ساختمانی: رنگ پوست تیره
🤴	شاهزاده
🤴🏻	شاهزاده: رنگ پوست روشن
🤴🏼	شاهزاده: رنگ پوست متوسط و روشن
🤴🏽	شاهزاده: رنگ پوست متوسط
🤴🏾	شاهزاده: رنگ پوست متوسط تا تیره
🤴🏿	شاهزاده: رنگ پوست تیره
👸	شاهزاده
👸🏻	پرنسس: رنگ پوست روشن
