😀	خندونکې مخ
🧑🏻	بالغ: د پوستکي رنګ
🧑🏼	بالغ: د پوستکي منځنۍ رنګ
🧑🏽	بالغ: د پوستکي منځنی رنګ
🧑🏾	بالغ: منځنی تور پوستکی
🧑🏿	بالغ: تور پوستکی
👨	سړی
👨🏻	سړی: د پوستکي رنګ
👨🏼	سړی: د پوستکي منځنۍ رنګ
👨🏽	سړی: د پوستکي منځنی رنګ
👨🏾	سړی: د پوستکي منځنی تور رنګ
👨🏿	سړی: تور پوستکی
👩	ښځه
👩🏻	ښځه: د پوستکي رنګ
👩🏼	ښځه: د پوستکي منځنۍ رنګ
👩🏽	ښځه: د پوستکي منځنی رنګ
👩🏾	ښځه: د پوستکي منځنی تور رنګ
👩🏿	ښځه: تور پوستکی
🧓	زوړ بالغ
🧓🏻	زوړ بالغ: د پوستکي رنګ
🧓🏼	زوړ بالغ: د پوستکي منځنۍ رنګ
🧓🏽	زوړ بالغ: د پوستکي منځنۍ رنګ
🧓🏾	زوړ بالغ: منځنی تور پوستکی
🧓🏿	زوړ بالغ: تور پوستکی
👴	زوړ سړی
👴🏻	زوړ سړی: د پوستکي رنګ
👴🏼	زوړ سړی: د پوستکي منځنۍ رنګ
👴🏽	زوړ سړی: د پوستکي منځنی رنګ
👴🏾	زوړ سړی: د پوستکي منځنی تور رنګ
👴🏿	زوړ سړی: تور پوستکی
👵	زړه ښځه
👵🏻	بوډا: د پوستکي رنګ
👵🏼	بوډا: د پوستکي منځنۍ رنګ
👵🏽	بوډا: د پوستکي منځنی رنګ
👵🏾	بوډا: د پوستکي منځنی تور رنګ
👵🏿	زوړ ښځه: تور پوستکی
👨‍⚕️	سړی روغتیایی کارکوونکی
👨‍⚕	سړی روغتیایی کارکوونکی
👨🏻‍⚕️	سړی روغتیایی کارکوونکی: د پوستکي رنګ
👨🏻‍⚕	سړی روغتیایی کارکوونکی: د پوستکي رنګ
👨🏼‍⚕️	نارینه روغتیایی کارکونکی: د پوستکي متوسط رنګ
👨🏼‍⚕	نارینه روغتیایی کارکونکی: د پوستکي متوسط رنګ
👨🏽‍⚕️	نارینه روغتیایی کارکونکی: د پوستکي منځنی رنګ
👨🏽‍⚕	نارینه روغتیایی کارکونکی: د پوستکي منځنی رنګ
👨🏾‍⚕️	نارینه روغتیایی کارکونکی: د پوستکي منځنی تور رنګ
👨🏾‍⚕	نارینه روغتیایی کارکونکی: د پوستکي منځنی تور رنګ
👨🏿‍⚕️	سړی روغتیایی کارکوونکی: تور پوستکی
👨🏿‍⚕	سړی روغتیایی کارکوونکی: تور پوستکی
👩‍⚕️	ښځینه روغتیایی کارکوونکې
👩‍⚕	ښځینه روغتیایی کارکوونکې
👩🏻‍⚕️	ښځه روغتیایی کارکونکی: د پوستکي رنګ
👩🏻‍⚕	ښځه روغتیایی کارکونکی: د پوستکي رنګ
👩🏼‍⚕️	ښځینه روغتیایی کارکونکی: د پوستکي متوسط رنګ
👩🏼‍⚕	ښځینه روغتیایی کارکونکی: د پوستکي متوسط رنګ
👩🏽‍⚕️	ښځینه روغتیایی کارکونکی: د پوستکي منځنی رنګ
👩🏽‍⚕	ښځینه روغتیایی کارکونکی: د پوستکي منځنی رنګ
👩🏾‍⚕️	ښځینه روغتیایی کارکونکی: د پوستکي منځنی تور رنګ
👩🏾‍⚕	ښځینه روغتیایی کارکونکی: د پوستکي منځنی تور رنګ
👩🏿‍⚕️	ښځه روغتیایی کارکونکی: تور پوستکی
👩🏿‍⚕	ښځه روغتیایی کارکونکی: تور پوستکی
👨‍🎓	سړی زده کوونکی
👨🏻‍🎓	سړی زده کوونکی: د پوستکي رنګ
👨🏼‍🎓	نارینه زده کوونکی: د پوستکي منځنۍ رنګ
👨🏽‍🎓	سړی زده کوونکی: د پوستکي منځنی رنګ
👨🏾‍🎓	سړی زده کوونکی: منځنی تور پوستکی
👨🏿‍🎓	سړی زده کوونکی: تور پوستکی
👩‍🎓	ښځینه زده کوونکې
👩🏻‍🎓	ښځه زده کونکی: د پوستکي رنګ
👩🏼‍🎓	ښځه زده کونکی: د پوستکي متوسط رنګ
👩🏽‍🎓	ښځه زده کونکی: د پوستکي منځنی رنګ
👩🏾‍🎓	ښځه زده کونکی: منځنی تور پوستکی
👩🏿‍🎓	ښځه زده کونکی: تور پوستکی
👨‍🏫	سړی ښوونکی
👨🏻‍🏫	سړی ښوونکی: د پوستکي رنګ
👨🏼‍🏫	سړی ښوونکی: د پوستکي منځنۍ رنګ
👨🏽‍🏫	سړی ښوونکی: د پوستکي منځنی رنګ
👨🏾‍🏫	سړی ښوونکی: منځنی تور پوستکی
👨🏿‍🏫	سړی ښوونکی: تور پوستکی
👩‍🏫	ښځه ښوونکې
👩🏻‍🏫	ښځه ښوونکې: د پوستکي رنګ
👩🏼‍🏫	ښځه ښوونکې: د پوستکي متوسط رنګ
👩🏽‍🏫	ښځه ښوونکې: د پوستکي منځنی رنګ
👩🏾‍🏫	ښځه ښوونکې: منځنی تور پوستکی
👩🏿‍🏫	ښځه ښوونکې: تور پوستکی
👨‍⚖️	سړی قاضي
👨‍⚖	سړی قاضي
👨🏻‍⚖️	سړی قاضي: د پوستکي رنګ
👨🏻‍⚖	سړی قاضي: د پوستکي رنګ
👨🏼‍⚖️	سړی قاضي: د پوستکي منځنۍ رنګ
👨🏼‍⚖	سړی قاضي: د پوستکي منځنۍ رنګ
👨🏽‍⚖️	سړی قاضي: د پوستکي منځنی رنګ
👨🏽‍⚖	سړی قاضي: د پوستکي منځنی رنګ
👨🏾‍⚖️	سړی قاضي: د پوستکي منځنی تور رنګ
👨🏾‍⚖	سړی قاضي: د پوستکي منځنی تور رنګ
👨🏿‍⚖️	سړی قاضي: تور پوستکی
👨🏿‍⚖	سړی قاضي: تور پوستکی
👩‍⚖️	ښځه قاضي
👩‍⚖	ښځه قاضي
👩🏻‍⚖️	ښځه قاضي: د پوستکي رنګ
👩🏻‍⚖	ښځه قاضي: د پوستکي رنګ
👩🏼‍⚖️	ښځه قاضي: د پوستکي منځنۍ رنګ
👩🏼‍⚖	ښځه قاضي: د پوستکي منځنۍ رنګ
👩🏽‍⚖️	ښځه قاضي: د پوستکي منځنی رنګ
👩🏽‍⚖	ښځه قاضي: د پوستکي منځنی رنګ
👩🏾‍⚖️	ښځه قاضي: د پوستکي منځنی تور رنګ
👩🏾‍⚖	ښځه قاضي: د پوستکي منځنی تور رنګ
👩🏿‍⚖️	ښځه قاضي: تور پوستکی
👩🏿‍⚖	ښځه قاضي: تور پوستکی
👨‍🌾	سړی بزګر
👨🏻‍🌾	سړی بزګر: د پوستکي رنګ
👨🏼‍🌾	سړی بزګر: د پوستکي منځنۍ رنګ
👨🏽‍🌾	سړی بزګر: د پوستکي منځنی رنګ
👨🏾‍🌾	سړی بزګر: د پوستکي منځنی تور رنګ
👨🏿‍🌾	سړی بزګر: تور پوستکی
👩‍🌾	ښځه بزګر
👩🏻‍🌾	ښځه بزګر: د پوستکي رنګ
👩🏼‍🌾	ښځه بزګر: د پوستکي متوسط رنګ
👩🏽‍🌾	ښځه بزګر: د پوستکي منځنی رنګ
👩🏾‍🌾	ښځه بزګر: د پوستکي منځنی تور رنګ
👩🏿‍🌾	ښځه بزګر: تور پوستکی
👨‍🍳	سړی پخلی کوي
👨🏻‍🍳	سړی پخلی: د پوستکي رنګ
👨🏼‍🍳	سړی پخلی: د پوستکي منځنۍ رنګ
👨🏽‍🍳	سړی پخلی: د پوستکي منځنی رنګ
👨🏾‍🍳	سړی پخلی: د پوستکي منځنی تور رنګ
👨🏿‍🍳	سړی پخلی: تور پوستکی
👩‍🍳	ښځه پخلی
👩🏻‍🍳	ښځه پخلی: د پوستکي رنګ
👩🏼‍🍳	ښځه پخلی: د پوستکي منځنۍ رنګ
👩🏽‍🍳	ښځه پخلی: د پوستکي منځنی رنګ
👩🏾‍🍳	ښځه پخلی: د پوستکي منځنی تور رنګ
👩🏿‍🍳	ښځه پخلی: تور پوستکی
👨‍🔧	سړی میخانیک
👨🏻‍🔧	سړی میخانیک: د پوستکي رنګ
👨🏼‍🔧	سړی میخانیک: د پوستکي منځنۍ رنګ
👨🏽‍🔧	سړی میخانیک: د پوستکي منځنی رنګ
👨🏾‍🔧	سړی میخانیک: د پوستکي منځنی تور رنګ
👨🏿‍🔧	سړی میخانیک: تور پوستکی
👩‍🔧	ښځه میخانیک
👩🏻‍🔧	ښځه میخانیک: د پوستکي رنګ
👩🏼‍🔧	ښځه میخانیک: د پوستکي متوسط رنګ
👩🏽‍🔧	ښځه میخانیک: د پوستکي منځنی رنګ
👩🏾‍🔧	ښځه میخانیک: د پوستکي منځنی تور رنګ
👩🏿‍🔧	ښځه میخانیک: تور پوستکی
👨‍🏭	د فابریکې کارګر سړی
👨🏻‍🏭	د فابریکې کارکوونکی: د پوستکي رنګ
👨🏼‍🏭	سړی د فابریکې کارکوونکی: د پوستکي متوسط رنګ
👨🏽‍🏭	د فابریکې کارکوونکی: د پوستکي منځنی رنګ
👨🏾‍🏭	د فابریکې کارکوونکی: منځنی تور پوستکی
👨🏿‍🏭	د فابریکې کارکوونکی: تور پوستکی
👩‍🏭	د فابریکې ښځینه کارکوونکې
👩🏻‍🏭	د فابریکې ښځینه کارکوونکې: د پوستکي رنګ
👩🏼‍🏭	ښځه د فابریکې کارکوونکې: د پوستکي منځنۍ رنګ
👩🏽‍🏭	د فابریکې ښځینه کارکوونکې: د پوستکي منځنی رنګ
👩🏾‍🏭	ښځه د فابریکې کارکوونکې: منځنی تور پوستکی
👩🏿‍🏭	د فابریکې ښځینه کارکوونکې: تور پوستکی
👨‍💼	سړی د دفتر کارکوونکی
👨🏻‍💼	د دفتر کارکوونکی: د پوستکي رنګ
👨🏼‍💼	د سړي دفتر کارکوونکی: د پوستکي متوسط رنګ
👨🏽‍💼	د سړي دفتر کارکوونکی: د پوستکي منځنی رنګ
👨🏾‍💼	د دفتر کارکوونکی: منځنی تور پوستکی
👨🏿‍💼	د دفتر کارکوونکی: تور پوستکی
👩‍💼	ښځینه دفتر کارکوونکې
👩🏻‍💼	ښځه د دفتر کارکوونکې: د پوستکي رنګ
👩🏼‍💼	ښځه د دفتر کارکوونکې: د پوستکي منځنۍ رنګ
👩🏽‍💼	ښځه د دفتر کارکوونکی: د پوستکي منځنی رنګ
👩🏾‍💼	ښځه د دفتر کارکوونکې: منځنی تور پوستکی
👩🏿‍💼	ښځه د دفتر کارکوونکی: تور پوستکی
👨‍🔬	سړی ساینس پوه
👨🏻‍🔬	سړی ساینس پوه: د پوستکي رنګ
👨🏼‍🔬	سړی ساینس پوه: د پوستکي متوسط رنګ
👨🏽‍🔬	سړی ساینس پوه: د پوستکي منځنی رنګ
👨🏾‍🔬	سړی ساینس پوه: د پوستکي منځنی تور رنګ
👨🏿‍🔬	سړی ساینس پوه: تور پوستکی
👩‍🔬	ښځه ساینس پوهه
👩🏻‍🔬	ښځه ساینس پوه: د پوستکي روښانه رنګ
👩🏼‍🔬	ښځه ساینس پوه: د پوستکي متوسط رنګ
👩🏽‍🔬	ښځه ساینس پوه: د پوستکي منځنی رنګ
👩🏾‍🔬	ښځه ساینس پوه: د پوستکي منځنی تور رنګ
👩🏿‍🔬	ښځه ساینس پوه: تور پوستکی
👨‍💻	سړی ټیکنالوژیست
👨🏻‍💻	سړی ټیکنالوژیست: د پوستکي رنګ
👨🏼‍💻	سړی ټیکنالوژیست: د پوستکي متوسط رنګ
👨🏽‍💻	سړی ټیکنالوژیست: د پوستکي منځنی رنګ
👨🏾‍💻	سړی ټیکنالوژیست: منځنی تور پوستکی
👨🏿‍💻	سړی ټیکنالوژیست: تور پوستکی
👩‍💻	ښځینه ټیکنالوژیست
👩🏻‍💻	ښځه ټیکنالوژیست: د پوستکي روښانه رنګ
👩🏼‍💻	ښځه ټیکنالوژیست: د پوستکي متوسط رنګ
👩🏽‍💻	ښځه ټیکنالوژیست: د پوستکي منځنی رنګ
👩🏾‍💻	ښځه ټیکنالوژیست: د پوستکي منځنی تور رنګ
👩🏿‍💻	ښځه ټیکنالوژیست: تور پوستکی
👨‍🎤	سړی سندرغاړی
👨🏻‍🎤	سړی سندرغاړی: د پوستکي رنګ
👨🏼‍🎤	سړی سندرغاړی: د پوستکي منځنۍ رنګ
👨🏽‍🎤	سړی سندرغاړی: د پوستکي منځنی رنګ
👨🏾‍🎤	سړی سندرغاړی: د پوستکي منځنی تور رنګ
👨🏿‍🎤	سړی سندرغاړی: تور پوستکی
👩‍🎤	ښځینه سندرغاړې
👩🏻‍🎤	ښځه سندرغاړې: د پوستکي رنګ
👩🏼‍🎤	ښځه سندرغاړې: د پوستکي منځنۍ رنګ
👩🏽‍🎤	ښځه سندرغاړې: د پوستکي منځنی رنګ
👩🏾‍🎤	ښځه سندرغاړې: د پوستکي منځنی تور رنګ
👩🏿‍🎤	ښځه سندرغاړی: تور پوستکی
👨‍🎨	سړی هنرمند
👨🏻‍🎨	سړی هنرمند: د پوستکي رنګ
👨🏼‍🎨	سړی هنرمند: د پوستکي منځنۍ رنګ
👨🏽‍🎨	سړی هنرمند: د پوستکي منځنی رنګ
👨🏾‍🎨	سړی هنرمند: د پوستکي منځنی تور رنګ
👨🏿‍🎨	سړی هنرمند: تور پوستکی
👩‍🎨	ښځینه هنرمنده
👩🏻‍🎨	ښځه هنرمند: د پوستکي رنګ
👩🏼‍🎨	ښځه هنرمند: د پوستکي منځنۍ رنګ
👩🏽‍🎨	ښځه هنرمند: د پوستکي منځنی رنګ
👩🏾‍🎨	ښځه هنرمند: د پوستکي منځنی تور رنګ
👩🏿‍🎨	ښځه هنرمند: تور پوستکی
👨‍✈️	سړی پیلوټ
👨‍✈	سړی پیلوټ
👨🏻‍✈️	سړی پیلوټ: د پوستکي رنګ
👨🏻‍✈	سړی پیلوټ: د پوستکي رنګ
👨🏼‍✈️	سړی پیلوټ: د پوستکي منځنۍ رنګ
👨🏼‍✈	سړی پیلوټ: د پوستکي منځنۍ رنګ
👨🏽‍✈️	سړی پیلوټ: د پوستکي منځنی رنګ
👨🏽‍✈	سړی پیلوټ: د پوستکي منځنی رنګ
👨🏾‍✈️	سړی پیلوټ: د پوستکي منځنی تور رنګ
👨🏾‍✈	سړی پیلوټ: د پوستکي منځنی تور رنګ
👨🏿‍✈️	سړی پیلوټ: تور پوستکی
👨🏿‍✈	سړی پیلوټ: تور پوستکی
👩‍✈️	ښځه پیلوټه
👩‍✈	ښځه پیلوټه
👩🏻‍✈️	ښځه پیلوټه: د پوستکي رنګ
👩🏻‍✈	ښځه پیلوټه: د پوستکي رنګ
👩🏼‍✈️	ښځه پیلوټه: د پوستکي متوسط رنګ
👩🏼‍✈	ښځه پیلوټه: د پوستکي متوسط رنګ
👩🏽‍✈️	ښځه پیلوټه: د پوستکي منځنی رنګ
👩🏽‍✈	ښځه پیلوټه: د پوستکي منځنی رنګ
👩🏾‍✈️	ښځه پیلوټه: د پوستکي منځنی تور رنګ
👩🏾‍✈	ښځه پیلوټه: د پوستکي منځنی تور رنګ
👩🏿‍✈️	ښځه پیلوټه: تور پوستکی
👩🏿‍✈	ښځه پیلوټه: تور پوستکی
👨‍🚀	سړی خلاباز
👨🏻‍🚀	سړی خلاباز: د پوستکي رنګ
👨🏼‍🚀	سړی خلاباز: د پوستکي متوسط رنګ
👨🏽‍🚀	سړی خلاباز: د پوستکي منځنی رنګ
👨🏾‍🚀	سړی خلاباز: د پوستکي منځنی تور رنګ
👨🏿‍🚀	سړی خلاباز: تور پوستکی
👩‍🚀	ښځه خلاباز
👩🏻‍🚀	ښځه خلاباز: د پوستکي رنګ
👩🏼‍🚀	ښځه خلاباز: د پوستکي متوسط رنګ
👩🏽‍🚀	ښځه خلاباز: د پوستکي منځنی رنګ
👩🏾‍🚀	ښځه خلاباز: د پوستکي منځنی تور رنګ
👩🏿‍🚀	ښځه خلاباز: تور پوستکی
👨‍🚒	سړی اور وژونکی
👨🏻‍🚒	سړی اور وژونکی: د پوستکي رنګ
👨🏼‍🚒	سړی اور وژونکی: د پوستکي منځنۍ رنګ
👨🏽‍🚒	سړی اور وژونکی: د پوستکي منځنی رنګ
👨🏾‍🚒	سړی اور وژونکی: د پوستکي منځنی تور رنګ
👨🏿‍🚒	سړی اور وژونکی: تور پوستکی
👩‍🚒	ښځه اور وژونکی
👩🏻‍🚒	ښځه اور وژونکی: د پوستکي رنګ
👩🏼‍🚒	ښځه اور وژونکی: د پوستکي منځنۍ رنګ
👩🏽‍🚒	ښځه اور وژونکی: د پوستکي منځنی رنګ
👩🏾‍🚒	ښځه اور وژونکی: منځنی تور پوستکی
👩🏿‍🚒	ښځه اور وژونکی: تور پوستکی
👮	د پولیسو مشر
👮🏻	پولیس افسر: د پوستکي رنګ
👮🏼	پولیس افسر: د پوستکي منځنۍ رنګ
👮🏽	پولیس افسر: د پوستکي منځنی رنګ
👮🏾	پولیس افسر: د پوستکي منځنی تور رنګ
👮🏿	پولیس افسر: تور پوستکی
👮‍♂️	سړی پولیس افسر
👮‍♂	سړی پولیس افسر
👮🏻‍♂️	سړی پولیس: د پوستکي رنګ
👮🏻‍♂	سړی پولیس: د پوستکي رنګ
👮🏼‍♂️	سړی پولیس: د پوستکي منځنی رنګ
👮🏼‍♂	سړی پولیس: د پوستکي منځنی رنګ
👮🏽‍♂️	سړی پولیس افسر: د پوستکي منځنی رنګ
👮🏽‍♂	سړی پولیس افسر: د پوستکي منځنی رنګ
👮🏾‍♂️	سړی پولیس افسر: د پوستکي منځنی تور رنګ
👮🏾‍♂	سړی پولیس افسر: د پوستکي منځنی تور رنګ
👮🏿‍♂️	سړی پولیس: تور پوستکی
👮🏿‍♂	سړی پولیس: تور پوستکی
👮‍♀️	ښځینه پولیس افسره
👮‍♀	ښځینه پولیس افسره
👮🏻‍♀️	ښځه پولیس افسر: د پوستکي رنګ
👮🏻‍♀	ښځه پولیس افسر: د پوستکي رنګ
👮🏼‍♀️	ښځه پولیس افسر: د پوستکي متوسط رنګ
👮🏼‍♀	ښځه پولیس افسر: د پوستکي متوسط رنګ
👮🏽‍♀️	ښځه پولیس افسر: د پوستکي منځنی رنګ
👮🏽‍♀	ښځه پولیس افسر: د پوستکي منځنی رنګ
👮🏾‍♀️	ښځه پولیس افسر: د پوستکي منځنی تور رنګ
👮🏾‍♀	ښځه پولیس افسر: د پوستکي منځنی تور رنګ
👮🏿‍♀️	ښځه پولیس افسر: تور پوستکی
👮🏿‍♀	ښځه پولیس افسر: تور پوستکی
🕵️	جاسوس
🕵	جاسوس
🕵🏻	جاسوس: د پوستکي رنګ
🕵🏼	جاسوس: د پوستکي منځنۍ رنګ
🕵🏽	جاسوس: د پوستکي منځنی رنګ
🕵🏾	جاسوس: د پوستکي منځنی تور رنګ
🕵🏿	جاسوس: تور پوستکی
🕵️‍♂️	سړی جاسوس
🕵‍♂️	سړی جاسوس
🕵️‍♂	سړی جاسوس
🕵‍♂	سړی جاسوس
🕵🏻‍♂️	سړی جاسوس: د پوستکي رنګ
🕵🏻‍♂	سړی جاسوس: د پوستکي رنګ
🕵🏼‍♂️	سړی جاسوس: د پوستکي منځنۍ رنګ
🕵🏼‍♂	سړی جاسوس: د پوستکي منځنۍ رنګ
🕵🏽‍♂️	سړی جاسوس: د پوستکي منځنی رنګ
🕵🏽‍♂	سړی جاسوس: د پوستکي منځنی رنګ
🕵🏾‍♂️	سړی جاسوس: د پوستکي منځنی تور رنګ
🕵🏾‍♂	سړی جاسوس: د پوستکي منځنی تور رنګ
🕵🏿‍♂️	سړی جاسوس: تور پوستکی
🕵🏿‍♂	سړی جاسوس: تور پوستکی
🕵️‍♀️	ښځه جاسوس
🕵‍♀️	ښځه جاسوس
🕵️‍♀	ښځه جاسوس
🕵‍♀	ښځه جاسوس
🕵🏻‍♀️	ښځه جاسوس: د پوستکي رنګ
🕵🏻‍♀	ښځه جاسوس: د پوستکي رنګ
🕵🏼‍♀️	ښځه جاسوس: د پوستکي منځنۍ رنګ
🕵🏼‍♀	ښځه جاسوس: د پوستکي منځنۍ رنګ
🕵🏽‍♀️	ښځه جاسوس: د پوستکي منځنی رنګ
🕵🏽‍♀	ښځه جاسوس: د پوستکي منځنی رنګ
🕵🏾‍♀️	ښځه جاسوس: د پوستکي منځنی تور رنګ
🕵🏾‍♀	ښځه جاسوس: د پوستکي منځنی تور رنګ
🕵🏿‍♀️	ښځه جاسوس: تور پوستکی
🕵🏿‍♀	ښځه جاسوس: تور پوستکی
💂	ساتونکی
💂🏻	ساتونکی: د پوستکي رنګ
💂🏼	ساتونکی: د پوستکي منځنۍ رنګ
💂🏽	ساتونکی: د پوستکي منځنی رنګ
💂🏾	ساتونکی: د پوستکي منځنی تور رنګ
💂🏿	ساتونکی: تور پوستکی
💂‍♂️	سړی ساتونکی
💂‍♂	سړی ساتونکی
💂🏻‍♂️	سړی ساتونکی: د پوستکي رنګ
💂🏻‍♂	سړی ساتونکی: د پوستکي رنګ
💂🏼‍♂️	سړی ساتونکی: د پوستکي منځنۍ رنګ
💂🏼‍♂	سړی ساتونکی: د پوستکي منځنۍ رنګ
💂🏽‍♂️	سړی ساتونکی: د پوستکي منځنی رنګ
💂🏽‍♂	سړی ساتونکی: د پوستکي منځنی رنګ
💂🏾‍♂️	سړی ساتونکی: د پوستکي منځنی تور رنګ
💂🏾‍♂	سړی ساتونکی: د پوستکي منځنی تور رنګ
💂🏿‍♂️	سړی ساتونکی: تور پوستکی
💂🏿‍♂	سړی ساتونکی: تور پوستکی
💂‍♀️	ښځه ساتونکی
💂‍♀	ښځه ساتونکی
💂🏻‍♀️	ښځه ساتونکی: د پوستکي رنګ
💂🏻‍♀	ښځه ساتونکی: د پوستکي رنګ
💂🏼‍♀️	ښځه ساتونکی: د پوستکي متوسط رنګ
💂🏼‍♀	ښځه ساتونکی: د پوستکي متوسط رنګ
💂🏽‍♀️	ښځه ساتونکی: د پوستکي منځنی رنګ
💂🏽‍♀	ښځه ساتونکی: د پوستکي منځنی رنګ
💂🏾‍♀️	ښځه ساتونکی: د پوستکي منځنی تور رنګ
💂🏾‍♀	ښځه ساتونکی: د پوستکي منځنی تور رنګ
💂🏿‍♀️	ښځه ساتونکی: تور پوستکی
💂🏿‍♀	ښځه ساتونکی: تور پوستکی
👷	ساختماني کارګر
👷🏻	ساختماني کارکوونکی: د پوستکي رنګ
👷🏼	ساختماني کارکوونکی: د پوستکي منځنۍ رنګ
👷🏽	ساختماني کارکوونکی: د پوستکي منځنی رنګ
👷🏾	ساختماني کارکوونکی: د پوستکي منځنی تور رنګ
👷🏿	ساختماني کارکوونکی: تور پوستکی
👷‍♂️	سړي ساختماني کارګر
👷‍♂	سړي ساختماني کارګر
👷🏻‍♂️	سړی ساختماني کارکوونکی: د پوستکي رنګ
👷🏻‍♂	سړی ساختماني کارکوونکی: د پوستکي رنګ
👷🏼‍♂️	سړی ساختماني کارکوونکی: د پوستکي متوسط رنګ
