😀	nacereno lice
👩🏿‍🏫	žena učiteljica: tamna koža
👨‍⚖️	covek sudija
👨‍⚖	covek sudija
👨🏻‍⚖️	muški sudija: svijetla koža
👨🏻‍⚖	muški sudija: svijetla koža
👨🏼‍⚖️	muškarac sudija: srednje svijetla boja kože
👨🏼‍⚖	muškarac sudija: srednje svijetla boja kože
👨🏽‍⚖️	muškarac sudija: srednji ten kože
👨🏽‍⚖	muškarac sudija: srednji ten kože
👨🏾‍⚖️	muškarac sudija: srednje tamna koža
👨🏾‍⚖	muškarac sudija: srednje tamna koža
👨🏿‍⚖️	muški sudija: tamna koža
👨🏿‍⚖	muški sudija: tamna koža
👩‍⚖️	žena sudija
👩‍⚖	žena sudija
👩🏻‍⚖️	žena sudija: svijetla koža
👩🏻‍⚖	žena sudija: svijetla koža
👩🏼‍⚖️	žena sudija: srednje svetla koža
👩🏼‍⚖	žena sudija: srednje svetla koža
👩🏽‍⚖️	žena sudija: srednji ten
👩🏽‍⚖	žena sudija: srednji ten
👩🏾‍⚖️	žena sudija: srednje tamna koža
👩🏾‍⚖	žena sudija: srednje tamna koža
👩🏿‍⚖️	žena sudija: tamna koža
👩🏿‍⚖	žena sudija: tamna koža
👨‍🌾	čovjek farmer
👨🏻‍🌾	muškarac farmer: svijetla koža
👨🏼‍🌾	muškarac farmer: srednje svijetla koža
👨🏽‍🌾	muškarac farmer: srednja boja kože
👨🏾‍🌾	muškarac farmer: srednje tamna koža
👨🏿‍🌾	muškarac farmer: tamna koža
👩‍🌾	žena farmer
👩🏻‍🌾	žena farmer: svijetla koža
👩🏼‍🌾	žena farmerka: srednje svijetla koža
👩🏽‍🌾	farmerka: srednji ten
👩🏾‍🌾	žena farmer: srednje tamna koža
👩🏿‍🌾	žena farmer: tamna koža
👨‍🍳	covek kuvar
👨🏻‍🍳	kuvar: svetla koža
👨🏼‍🍳	kuvar: srednje svetla koža
👨🏽‍🍳	kuvar: srednja boja kože
👨🏾‍🍳	kuvar: srednje tamna koža
👨🏿‍🍳	kuvar: tamna koža
👩‍🍳	žena kuvarica
👩🏻‍🍳	kuharica: svijetla koža
👩🏼‍🍳	kuharica: srednje svijetla koža
👩🏽‍🍳	kuharica: srednji ten
👩🏾‍🍳	kuharica: srednje tamna koža
👩🏿‍🍳	kuharica: tamna koža
👨‍🔧	čovek mehaničar
👨🏻‍🔧	mehaničar: svijetla koža
👨🏼‍🔧	mehaničar: srednje svijetla koža
👨🏽‍🔧	mehaničar: srednja boja kože
👨🏾‍🔧	mehaničar: srednje tamna koža
👨🏿‍🔧	mehaničar: tamna koža
👩‍🔧	žena mehaničar
👩🏻‍🔧	žena mehaničar: svijetla koža
👩🏼‍🔧	žena mehaničar: srednje svijetla koža
👩🏽‍🔧	žena mehaničar: srednji ten
👩🏾‍🔧	žena mehaničar: srednje tamna koža
👩🏿‍🔧	žena mehaničar: tamna koža
👨‍🏭	radnik u fabrici
👨🏻‍🏭	radnik u fabrici: svijetla koža
👨🏼‍🏭	radnik u fabrici: srednje svijetla koža
👨🏽‍🏭	radnik u fabrici: srednji ten kože
👨🏾‍🏭	radnik u fabrici: srednje tamna koža
👨🏿‍🏭	radnik u fabrici: tamna koža
👩‍🏭	žena radnica u fabrici
👩🏻‍🏭	žena u fabrici: svijetla koža
👩🏼‍🏭	žena u fabrici: srednje svijetla koža
👩🏽‍🏭	radnica u fabrici: srednji ten
👩🏾‍🏭	žena u fabrici: srednje tamna koža
👩🏿‍🏭	žena u fabrici: tamna koža
👨‍💼	muškarac kancelarijski radnik
👨🏻‍💼	muškarac kancelarijski radnik: svijetla koža
👨🏼‍💼	muškarac kancelarijski radnik: srednje svijetla koža
👨🏽‍💼	muškarac kancelarijski radnik: srednja boja kože
👨🏾‍💼	muškarac kancelarijski radnik: srednje tamna koža
👨🏿‍💼	muškarac kancelarijski radnik: tamna koža
👩‍💼	žena kancelarijski radnik
👩🏻‍💼	žena kancelarijski radnik: svijetla koža
👩🏼‍💼	žena u kancelariji: srednje svijetla koža
👩🏽‍💼	žena kancelarijski radnik: srednji ten
👩🏾‍💼	žena kancelarijski radnik: srednje tamna koža
👩🏿‍💼	žena kancelarijski radnik: tamna koža
👨‍🔬	čovek naučnik
👨🏻‍🔬	čovjek naučnik: svijetla koža
👨🏼‍🔬	naučnik: srednje svijetla koža
👨🏽‍🔬	muškarac naučnik: srednji ten kože
👨🏾‍🔬	muškarac naučnik: srednje tamna koža
👨🏿‍🔬	naučnik: tamna koža
👩‍🔬	žena naučnica
👩🏻‍🔬	žena naučnica: svijetla koža
👩🏼‍🔬	žena naučnica: srednje svijetla koža
👩🏽‍🔬	žena naučnica: srednji ten kože
👩🏾‍🔬	žena naučnica: srednje tamna koža
👩🏿‍🔬	žena naučnica: tamna koža
👨‍💻	čovjek tehnolog
👨🏻‍💻	čovjek tehnolog: svijetla koža
👨🏼‍💻	muškarac tehnolog: srednje svijetla koža
👨🏽‍💻	muškarac tehnolog: srednja boja kože
👨🏾‍💻	muškarac tehnolog: srednje tamna koža
👨🏿‍💻	čovjek tehnolog: tamna koža
👩‍💻	žena tehnolog
👩🏻‍💻	žena tehnolog: svijetla koža
👩🏼‍💻	žena tehnolog: srednje svijetla koža
👩🏽‍💻	žena tehnolog: srednja boja kože
👩🏾‍💻	žena tehnolog: srednje tamna koža
👩🏿‍💻	žena tehnolog: tamna koža
👨‍🎤	covek pevac
👨🏻‍🎤	muškarac pjevač: svijetla koža
👨🏼‍🎤	muškarac pjevač: srednje svijetla boja kože
👨🏽‍🎤	muškarac pjevač: srednji ten kože
👨🏾‍🎤	muškarac pjevač: srednje tamna koža
👨🏿‍🎤	muškarac pjevač: tamna koža
👩‍🎤	pevačica
👩🏻‍🎤	pevačica: svetla koža
👩🏼‍🎤	pjevačica: srednje svijetla koža
👩🏽‍🎤	pjevačica: srednji ten
👩🏾‍🎤	pjevačica: srednje tamna koža
👩🏿‍🎤	pjevačica: tamna koža
👨‍🎨	čovjek umjetnik
👨🏻‍🎨	muškarac umjetnik: svijetla koža
👨🏼‍🎨	muškarac umjetnik: srednje svijetla boja kože
👨🏽‍🎨	muškarac umjetnik: srednja boja kože
👨🏾‍🎨	muškarac umjetnik: srednje tamna koža
👨🏿‍🎨	muškarac umjetnik: tamna koža
👩‍🎨	žena umjetnica
👩🏻‍🎨	umjetnica: svijetla koža
👩🏼‍🎨	umjetnica: srednje svijetla koža
👩🏽‍🎨	umjetnica: srednji ten
👩🏾‍🎨	umjetnica: srednje tamna koža
👩🏿‍🎨	umjetnica: tamna koža
👨‍✈️	čovek pilot
👨‍✈	čovek pilot
👨🏻‍✈️	pilot: svijetla koža
👨🏻‍✈	pilot: svijetla koža
👨🏼‍✈️	muškarac pilot: srednje svijetla boja kože
👨🏼‍✈	muškarac pilot: srednje svijetla boja kože
👨🏽‍✈️	muškarac pilot: srednja boja kože
👨🏽‍✈	muškarac pilot: srednja boja kože
👨🏾‍✈️	muškarac pilot: srednje tamna koža
👨🏾‍✈	muškarac pilot: srednje tamna koža
👨🏿‍✈️	muškarac pilot: tamna koža
👨🏿‍✈	muškarac pilot: tamna koža
👩‍✈️	žena pilot
👩‍✈	žena pilot
👩🏻‍✈️	žena pilot: svijetla koža
👩🏻‍✈	žena pilot: svijetla koža
👩🏼‍✈️	žena pilot: srednje svijetla koža
👩🏼‍✈	žena pilot: srednje svijetla koža
👩🏽‍✈️	žena pilot: srednja boja kože
👩🏽‍✈	žena pilot: srednja boja kože
👩🏾‍✈️	žena pilot: srednje tamna koža
👩🏾‍✈	žena pilot: srednje tamna koža
👩🏿‍✈️	žena pilot: tamna koža
👩🏿‍✈	žena pilot: tamna koža
👨‍🚀	covek astronaut
👨🏻‍🚀	muškarac astronaut: svijetla boja kože
👨🏼‍🚀	muškarac astronaut: srednje svijetla boja kože
👨🏽‍🚀	muškarac astronaut: srednja boja kože
👨🏾‍🚀	muškarac astronaut: srednje tamna koža
👨🏿‍🚀	muškarac astronaut: tamna koža
👩‍🚀	zena astronaut
👩🏻‍🚀	žena astronaut: svijetla koža
👩🏼‍🚀	žena astronaut: srednje svijetla boja kože
👩🏽‍🚀	žena astronaut: srednja boja kože
👩🏾‍🚀	žena astronaut: srednje tamna koža
👩🏿‍🚀	žena astronaut: tamna koža
👨‍🚒	muškarac vatrogasac
👨🏻‍🚒	muškarac vatrogasac: svijetla koža
👨🏼‍🚒	muškarac vatrogasac: srednje svijetla boja kože
👨🏽‍🚒	muškarac vatrogasac: srednja boja kože
👨🏾‍🚒	muškarac vatrogasac: srednje tamna koža
👨🏿‍🚒	muškarac vatrogasac: tamna koža
👩‍🚒	žena vatrogasac
👩🏻‍🚒	žena vatrogasac: svijetla koža
👩🏼‍🚒	žena vatrogasac: srednje svijetla koža
👩🏽‍🚒	žena vatrogasac: srednji ten
👩🏾‍🚒	žena vatrogasac: srednje tamna koža
👩🏿‍🚒	žena vatrogasac: tamna koža
👮	policajac
👮🏻	policajac: svijetla koža
👮🏼	policajac: srednje svijetla koža
👮🏽	policajac: srednji ten
👮🏾	policajac: srednje tamna koža
👮🏿	policajac: tamna koža
👮‍♂️	muškarac policajac
👮‍♂	muškarac policajac
👮🏻‍♂️	muškarac policajac: svijetla koža
👮🏻‍♂	muškarac policajac: svijetla koža
👮🏼‍♂️	muškarac policajac: srednje svijetla boja kože
👮🏼‍♂	muškarac policajac: srednje svijetla boja kože
👮🏽‍♂️	muškarac policajac: srednja boja kože
👮🏽‍♂	muškarac policajac: srednja boja kože
👮🏾‍♂️	muškarac policajac: srednje tamna koža
👮🏾‍♂	muškarac policajac: srednje tamna koža
👮🏿‍♂️	muškarac policajac: tamna koža
👮🏿‍♂	muškarac policajac: tamna koža
👮‍♀️	žena policajac
👮‍♀	žena policajac
👮🏻‍♀️	žena policajac: svijetla koža
👮🏻‍♀	žena policajac: svijetla koža
👮🏼‍♀️	žena policajac: srednje svijetla koža
👮🏼‍♀	žena policajac: srednje svijetla koža
👮🏽‍♀️	žena policajka: srednja boja kože
👮🏽‍♀	žena policajka: srednja boja kože
👮🏾‍♀️	žena policajac: srednje tamna koža
👮🏾‍♀	žena policajac: srednje tamna koža
👮🏿‍♀️	žena policajac: tamna koža
👮🏿‍♀	žena policajac: tamna koža
🕵️	detektiv
🕵	detektiv
🕵🏻	detektiv: svijetla koža
🕵🏼	detektiv: srednje svijetla boja kože
🕵🏽	detektiv: srednji ten kože
🕵🏾	detektiv: srednje tamna koža
🕵🏿	detektiv: tamna koža
🕵️‍♂️	covek detektiv
🕵‍♂️	covek detektiv
🕵️‍♂	covek detektiv
🕵‍♂	covek detektiv
🕵🏻‍♂️	detektiv: svijetla koža
🕵🏻‍♂	detektiv: svijetla koža
🕵🏼‍♂️	detektiv: srednje svijetla koža
🕵🏼‍♂	detektiv: srednje svijetla koža
🕵🏽‍♂️	detektiv: srednji ten kože
🕵🏽‍♂	detektiv: srednji ten kože
🕵🏾‍♂️	detektiv: srednje tamna koža
🕵🏾‍♂	detektiv: srednje tamna koža
🕵🏿‍♂️	detektiv: tamna koža
🕵🏿‍♂	detektiv: tamna koža
🕵️‍♀️	detektivka
🕵‍♀️	detektivka
🕵️‍♀	detektivka
🕵‍♀	detektivka
🕵🏻‍♀️	detektivka: svijetla koža
🕵🏻‍♀	detektivka: svijetla koža
🕵🏼‍♀️	detektivka: srednje svijetla koža
🕵🏼‍♀	detektivka: srednje svijetla koža
🕵🏽‍♀️	detektivka: srednji ten
🕵🏽‍♀	detektivka: srednji ten
🕵🏾‍♀️	detektivka: srednje tamna koža
🕵🏾‍♀	detektivka: srednje tamna koža
🕵🏿‍♀️	detektivka: tamna koža
🕵🏿‍♀	detektivka: tamna koža
💂	guard
💂🏻	guard: svijetla koža
💂🏼	guard: srednje svijetla koža
💂🏽	guard: srednja boja kože
💂🏾	guard: srednje tamna koža
💂🏿	guard: tamna koža
💂‍♂️	muškarac stražar
💂‍♂	muškarac stražar
💂🏻‍♂️	muškarac čuvar: svijetla koža
💂🏻‍♂	muškarac čuvar: svijetla koža
💂🏼‍♂️	muškarac gard: srednje svijetla koža
💂🏼‍♂	muškarac gard: srednje svijetla koža
💂🏽‍♂️	muškarac čuvar: srednja boja kože
💂🏽‍♂	muškarac čuvar: srednja boja kože
💂🏾‍♂️	muškarac čuvar: srednje tamna koža
💂🏾‍♂	muškarac čuvar: srednje tamna koža
💂🏿‍♂️	muškarac čuvar: tamna koža
💂🏿‍♂	muškarac čuvar: tamna koža
💂‍♀️	žena čuvar
💂‍♀	žena čuvar
💂🏻‍♀️	žena čuvar: svijetla koža
💂🏻‍♀	žena čuvar: svijetla koža
💂🏼‍♀️	žena čuvar: srednje svijetla koža
💂🏼‍♀	žena čuvar: srednje svijetla koža
💂🏽‍♀️	žena čuvar: srednja boja kože
💂🏽‍♀	žena čuvar: srednja boja kože
💂🏾‍♀️	žena čuvar: srednje tamna koža
💂🏾‍♀	žena čuvar: srednje tamna koža
💂🏿‍♀️	žena čuvar: tamna koža
💂🏿‍♀	žena čuvar: tamna koža
👷	konstruktor
👷🏻	građevinski radnik: svijetla koža
👷🏼	građevinski radnik: srednje svijetla koža
👷🏽	građevinski radnik: srednji ten kože
👷🏾	građevinski radnik: srednje tamna koža
👷🏿	građevinski radnik: tamna koža
👷‍♂️	muškarac građevinski radnik
👷‍♂	muškarac građevinski radnik
👷🏻‍♂️	muškarac građevinski radnik: svijetla koža
👷🏻‍♂	muškarac građevinski radnik: svijetla koža
👷🏼‍♂️	muškarac građevinski radnik: srednje svijetla koža
👷🏼‍♂	muškarac građevinski radnik: srednje svijetla koža
👷🏽‍♂️	muškarac građevinski radnik: srednja boja kože
👷🏽‍♂	muškarac građevinski radnik: srednja boja kože
👷🏾‍♂️	muškarac građevinski radnik: srednje tamna koža
👷🏾‍♂	muškarac građevinski radnik: srednje tamna koža
👷🏿‍♂️	muškarac građevinski radnik: tamna koža
👷🏿‍♂	muškarac građevinski radnik: tamna koža
👷‍♀️	žena građevinski radnik
👷‍♀	žena građevinski radnik
👷🏻‍♀️	žena građevinski radnik: svijetla koža
👷🏻‍♀	žena građevinski radnik: svijetla koža
👷🏼‍♀️	žena građevinski radnik: srednje svijetla koža
👷🏼‍♀	žena građevinski radnik: srednje svijetla koža
👷🏽‍♀️	žena građevinski radnik: srednja boja kože
👷🏽‍♀	žena građevinski radnik: srednja boja kože
👷🏾‍♀️	žena građevinski radnik: srednje tamna koža
👷🏾‍♀	žena građevinski radnik: srednje tamna koža
👷🏿‍♀️	žena građevinski radnik: tamna koža
👷🏿‍♀	žena građevinski radnik: tamna koža
🤴	princ
🤴🏻	princ: svijetla koža
🤴🏼	princ: srednje svijetla koža
🤴🏽	princ: srednja boja kože
🤴🏾	princ: srednje tamna koža
🤴🏿	princ: tamna koža
👸	princezo
👸🏻	princeza: svijetla koža
👸🏼	princeza: srednje svijetla koža
👸🏽	princeza: srednja boja kože
👸🏾	princeza: srednje tamna koža
👸🏿	princeza: tamna koža
👳	osoba koja nosi turban
👳🏻	osoba koja nosi turban: svijetla boja kože
👳🏼	osoba koja nosi turban: srednje svijetla boja kože
👳🏽	osoba koja nosi turban: srednja boja kože
👳🏾	osoba koja nosi turban: srednje tamna koža
👳🏿	osoba koja nosi turban: tamna koža
👳‍♂️	muškarac koji nosi turban
👳‍♂	muškarac koji nosi turban
👳🏻‍♂️	muškarac koji nosi turban: svijetla koža
👳🏻‍♂	muškarac koji nosi turban: svijetla koža
👳🏼‍♂️	muškarac koji nosi turban: srednje svijetla boja kože
👳🏼‍♂	muškarac koji nosi turban: srednje svijetla boja kože
👳🏽‍♂️	muškarac koji nosi turban: srednja boja kože
👳🏽‍♂	muškarac koji nosi turban: srednja boja kože
👳🏾‍♂️	muškarac koji nosi turban: srednje tamna koža
👳🏾‍♂	muškarac koji nosi turban: srednje tamna koža
👳🏿‍♂️	muškarac koji nosi turban: tamna koža
👳🏿‍♂	muškarac koji nosi turban: tamna koža
👳‍♀️	žena koja nosi turban
👳‍♀	žena koja nosi turban
👳🏻‍♀️	žena koja nosi turban: svijetla koža
👳🏻‍♀	žena koja nosi turban: svijetla koža
👳🏼‍♀️	žena koja nosi turban: srednje svijetla boja kože
👳🏼‍♀	žena koja nosi turban: srednje svijetla boja kože
👳🏽‍♀️	žena koja nosi turban: srednja boja kože
👳🏽‍♀	žena koja nosi turban: srednja boja kože
👳🏾‍♀️	žena koja nosi turban: srednje tamna koža
👳🏾‍♀	žena koja nosi turban: srednje tamna koža
👳🏿‍♀️	žena koja nosi turban: tamna koža
👳🏿‍♀	žena koja nosi turban: tamna koža
👲	čovek sa kineskom kapom
👲🏻	muškarac sa kineskom kapom: svijetla koža
👲🏼	muškarac sa kineskom kapom: srednje svijetla koža
👲🏽	muškarac sa kineskom kapom: srednja boja kože
👲🏾	muškarac sa kineskom kapom: srednje tamna koža
👲🏿	muškarac sa kineskom kapom: tamna koža
🧕	žena sa maramom
🧕🏻	žena sa maramom: svijetla koža
🧕🏼	žena sa maramom: srednje svijetla koža
🧕🏽	žena sa maramom: srednji ten
🧕🏾	žena sa maramom: srednje tamna koža
🧕🏿	žena sa maramom: tamna koža
🧔	bradata osoba
🧔🏻	bradata osoba: svijetla koža
🧔🏼	bradata osoba: srednje svijetla boja kože
🧔🏽	bradata osoba: srednja boja kože
🧔🏾	bradata osoba: srednje tamna koža
🧔🏿	bradata osoba: tamna koža
👱	plavokosa osoba
👱🏻	plavokosa osoba: svijetla koža
👱🏼	plavokosa osoba: srednje svijetla koža
👱🏽	plavokosa osoba: srednji ten
👱🏾	plavokosa osoba: srednje tamna koža
👱🏿	plavokosa osoba: tamna koža
👱‍♂️	plavokosi muškarac
👱‍♂	plavokosi muškarac
👱🏻‍♂️	plavokos muškarac: svijetla koža
👱🏻‍♂	plavokos muškarac: svijetla koža
👱🏼‍♂️	plavokos muškarac: srednje svijetla koža
👱🏼‍♂	plavokos muškarac: srednje svijetla koža
👱🏽‍♂️	plavokos muškarac: srednja boja kože
👱🏽‍♂	plavokos muškarac: srednja boja kože
👱🏾‍♂️	plavokos muškarac: srednje tamna koža
👱🏾‍♂	plavokos muškarac: srednje tamna koža
👱🏿‍♂️	plavokos muškarac: tamna koža
👱🏿‍♂	plavokos muškarac: tamna koža
👱‍♀️	plavokosa žena
👱‍♀	plavokosa žena
👱🏻‍♀️	plavokosa žena: svijetla koža
👱🏻‍♀	plavokosa žena: svijetla koža
👱🏼‍♀️	plavokosa žena: srednje svijetla koža
👱🏼‍♀	plavokosa žena: srednje svijetla koža
👱🏽‍♀️	plavokosa žena: srednji ten
👱🏽‍♀	plavokosa žena: srednji ten
👱🏾‍♀️	plavokosa žena: srednje tamna koža
👱🏾‍♀	plavokosa žena: srednje tamna koža
👱🏿‍♀️	plavokosa žena: tamna koža
👱🏿‍♀	plavokosa žena: tamna koža
👨‍🦰	muškarac, crvene kose
👨🏻‍🦰	muškarac, crvenokosa: svijetla koža
👨🏼‍🦰	muškarac, crvenokosa: srednje svijetla boja kože
👨🏽‍🦰	muškarac, crvenokosa: srednja boja kože
👨🏾‍🦰	muškarac, crvenokosa: srednje tamna koža
👨🏿‍🦰	muškarac, crvenokosa: tamna koža
👩‍🦰	žena, crvenokosa
👩🏻‍🦰	žena, crvenokosa: svijetla koža
👩🏼‍🦰	žena, crvenokosa: srednje svijetla koža
👩🏽‍🦰	žena, crvenokosa: srednji ten
👩🏾‍🦰	žena, crvenokosa: srednje tamna koža
👩🏿‍🦰	žena, crvenokosa: tamna koža
👨‍🦱	muškarac, kovrdžave kose
👨🏻‍🦱	muškarac, kovrdžava kosa: svijetla koža
👨🏼‍🦱	muškarac, kovrdžave kose: srednje svijetla koža
👨🏽‍🦱	muškarac, kovrdžave kose: srednje boje kože
👨🏾‍🦱	muškarac, kovrdžava kosa: srednje tamna koža
👨🏿‍🦱	muškarac, kovrdžave kose: tamna koža
👩‍🦱	žena, kovrdžave kose
👩🏻‍🦱	žena, kovrdžave kose: svijetla koža
👩🏼‍🦱	žena, kovrdžave kose: srednje svijetla koža
